type,n_cells,total_in,total_out
(untyped),47071,182379523,19581699
5-HTPLP01,2,12263,47794
5-HTPMPD01,2,8825,9739
5-HTPMPV01,2,9849,21539
5-HTPMPV03,2,32524,66046
5thsLNv_LNd6,4,7015,19447
ADNM1 MN,2,14655,162
ADNM2 MN,2,4287,36
AL-AST1,3,24668,39355
AL-MBDL1,2,11565,40766
ALBN1,2,21835,27048
ALIN1,4,8583,24090
ALIN2,2,11588,25607
ALIN3,4,3750,24266
ALIN4,2,8138,12928
ALIN5,2,4670,36251
ALIN6,2,3772,17188
ALIN7,2,6497,17299
ALIN8,2,1066,9277
ALON1,2,2575,12229
ALON2,2,1755,9448
ALON3,4,17062,15698
AMMC-A1,6,48747,5668
AMMC001,2,1130,5092
AMMC002,8,2856,8804
AMMC003,8,6020,6541
AMMC004,6,5284,7732
AMMC005,12,5246,11671
AMMC006,8,5730,16265
AMMC007,9,4551,7932
AMMC008,2,4732,22757
AMMC009,2,2792,23501
AMMC010,2,2569,23829
AMMC011,2,3380,30845
AMMC012,2,10616,35666
AMMC013,2,16134,29041
AMMC014,4,3648,9523
AMMC015,8,6547,22327
AMMC016,4,1394,9291
AMMC017,4,1856,10444
AMMC018,9,4671,7016
AMMC019,10,7900,9132
AMMC020,10,6749,12998
AMMC021,5,4541,9910
AMMC022,6,6299,15657
AMMC023,4,3667,7054
AMMC024,2,2238,5610
AMMC025,12,9612,12181
AMMC026,10,10947,19698
AMMC027,3,3532,7223
AMMC028,4,6653,22841
AMMC029,2,2843,5837
AMMC030,3,3753,7973
AMMC031,5,4970,12172
AMMC032,4,4579,6749
AMMC033,3,3894,8775
AMMC034_a,3,4443,16855
AMMC034_b,2,2500,12464
AMMC035,10,5267,13715
AMMC036,6,5780,13277
AMMC037,2,2819,7253
AMMC038,2,5456,9530
AN00A002,1,4555,14640
AN00A006,5,14527,83102
AN00A009,1,2816,6413
AN01A006,2,7748,20024
AN01A014,2,6576,24601
AN01A021,2,11478,21488
AN01A033,2,3467,23604
AN01A049,2,1304,6996
AN01A055,2,11060,39386
AN01A086,2,4439,31437
AN01A089,2,17189,56534
AN01B002,6,75067,74877
AN01B004,6,11339,63277
AN01B005,6,11500,57402
AN01B011,6,4277,29057
AN01B014,2,803,10014
AN01B018,2,482,9640
AN02A001,2,15241,112407
AN02A002,2,12384,156027
AN02A005,2,964,24845
AN02A009,2,1677,24255
AN02A016,2,3071,14769
AN02A017,2,1405,25985
AN02A022,2,1041,4878
AN02A025,2,1224,9145
AN02A046,2,570,3566
AN03A002,2,7947,20507
AN03A008,2,3799,42014
AN03B009,2,9594,41671
AN03B011,4,14708,66227
AN03B039,2,5969,14611
AN03B050,2,2204,10637
AN03B094,2,1731,7057
AN03B095,2,1193,4672
AN04A001,6,30095,125268
AN04B001,4,32658,98743
AN04B003,6,11452,92377
AN04B004,4,8165,49207
AN04B023,6,6708,60203
AN04B051,2,1840,9462
AN05B004,2,29403,34620
AN05B005,2,27737,50541
AN05B006,3,28511,64742
