mapping,type_pre,side_pre,type_post,offset_wedges,weight
interleaved,EPG,R,PEG,-6,12
interleaved,EPG,R,PEG,-4,132
interleaved,EPG,R,PEG,-2,81
interleaved,EPG,R,PEG,-1,47
interleaved,EPG,R,PEG,0,2224
interleaved,EPG,R,PEG,1,324
interleaved,EPG,R,PEG,2,59
interleaved,EPG,R,PEG,4,122
interleaved,EPG,R,PEG,6,18
interleaved,EPG,R,PEG,8,122
interleaved,PEN_a(PEN1),L,EPG,-7,12
interleaved,PEN_a(PEN1),L,EPG,-6,73
interleaved,PEN_a(PEN1),L,EPG,-5,374
interleaved,PEN_a(PEN1),L,EPG,-4,1185
interleaved,PEN_a(PEN1),L,EPG,-3,2017
interleaved,PEN_a(PEN1),L,EPG,-2,1988
interleaved,PEN_a(PEN1),L,EPG,-1,1190
interleaved,PEN_a(PEN1),L,EPG,0,415
interleaved,PEN_a(PEN1),L,EPG,1,93
interleaved,PEN_a(PEN1),L,EPG,2,20
interleaved,PEN_a(PEN1),L,EPG,3,1
interleaved,EPG,L,PEG,-6,22
interleaved,EPG,L,PEG,-4,136
interleaved,EPG,L,PEG,-3,6
interleaved,EPG,L,PEG,-2,49
interleaved,EPG,L,PEG,-1,251
interleaved,EPG,L,PEG,0,2127
interleaved,EPG,L,PEG,1,68
interleaved,EPG,L,PEG,2,75
interleaved,EPG,L,PEG,4,130
interleaved,EPG,L,PEG,6,12
interleaved,EPG,L,PEG,8,137
interleaved,PEN_a(PEN1),R,EPG,-2,1
interleaved,PEN_a(PEN1),R,EPG,-1,46
interleaved,PEN_a(PEN1),R,EPG,0,352
interleaved,PEN_a(PEN1),R,EPG,1,1131
interleaved,PEN_a(PEN1),R,EPG,2,2048
interleaved,PEN_a(PEN1),R,EPG,3,1970
interleaved,PEN_a(PEN1),R,EPG,4,1101
interleaved,PEN_a(PEN1),R,EPG,5,321
interleaved,PEN_a(PEN1),R,EPG,6,59
interleaved,PEN_a(PEN1),R,EPG,7,1
interleaved,PEN_b(PEN2),L,EPG,-6,2
interleaved,PEN_b(PEN2),L,EPG,-5,45
interleaved,PEN_b(PEN2),L,EPG,-4,609
interleaved,PEN_b(PEN2),L,EPG,-3,1656
interleaved,PEN_b(PEN2),L,EPG,-2,1821
interleaved,PEN_b(PEN2),L,EPG,-1,629
interleaved,PEN_b(PEN2),L,EPG,0,62
interleaved,PEN_b(PEN2),L,EPG,1,6
interleaved,PEN_b(PEN2),R,EPG,0,56
interleaved,PEN_b(PEN2),R,EPG,1,636
interleaved,PEN_b(PEN2),R,EPG,2,1985
interleaved,PEN_b(PEN2),R,EPG,3,1636
interleaved,PEN_b(PEN2),R,EPG,4,483
interleaved,PEN_b(PEN2),R,EPG,5,42
interleaved,PEN_b(PEN2),R,EPG,6,3
interleaved,Delta7,both,PEN_b(PEN2),-7,1
interleaved,Delta7,both,PEN_b(PEN2),-6,1
interleaved,Delta7,both,PEN_b(PEN2),-4,1
interleaved,Delta7,both,PEN_b(PEN2),-2,116
interleaved,Delta7,both,PEN_b(PEN2),-1,226
interleaved,Delta7,both,PEN_b(PEN2),0,5287
interleaved,Delta7,both,PEN_b(PEN2),1,345
interleaved,Delta7,both,PEN_b(PEN2),2,79
interleaved,Delta7,both,PEN_b(PEN2),6,4
interleaved,Delta7,both,PEN_b(PEN2),7,1
interleaved,EPG,R,EPG,-7,1
interleaved,EPG,R,EPG,-6,10
interleaved,EPG,R,EPG,-4,50
interleaved,EPG,R,EPG,-3,21
interleaved,EPG,R,EPG,-2,188
interleaved,EPG,R,EPG,-1,1474
interleaved,EPG,R,EPG,0,2261
interleaved,EPG,R,EPG,1,1409
interleaved,EPG,R,EPG,2,182
interleaved,EPG,R,EPG,3,15
interleaved,EPG,R,EPG,4,55
interleaved,EPG,R,EPG,6,6
interleaved,EPG,R,EPG,8,53
interleaved,EPGt,R,PEG,0,169
interleaved,EPGt,R,PEG,2,1
interleaved,EPG,R,PEN_b(PEN2),-4,147
interleaved,EPG,R,PEN_b(PEN2),-2,1302
interleaved,EPG,R,PEN_b(PEN2),0,365
interleaved,EPG,R,PEN_b(PEN2),1,226
interleaved,EPG,R,PEN_b(PEN2),2,9
interleaved,EPG,R,PEN_b(PEN2),3,1077
interleaved,EPG,R,PEN_b(PEN2),5,3
interleaved,EPGt,L,PEG,0,171
interleaved,EPG,L,EPG,-6,20
interleaved,EPG,L,EPG,-4,58
interleaved,EPG,L,EPG,-3,20
interleaved,EPG,L,EPG,-2,227
interleaved,EPG,L,EPG,-1,1417
interleaved,EPG,L,EPG,0,2269
