body_pre,body_post,weight
520817,10969,600
10969,520817,555
24399,11497,483
17016,10537,456
11497,24399,455
556502,10537,407
513217,11497,404
11497,513217,380
10537,556502,372
523578,39883,365
10537,17016,357
523578,533944,357
11497,22835,349
523578,26439,348
12104,512927,345
529129,533944,329
523578,24387,324
12104,521814,322
10537,27213,321
25939,20818,318
11497,515295,317
10537,31756,313
10537,41849,312
523578,30122,311
11497,43127,309
23325,512927,309
23325,18779,308
23325,521814,306
12104,514045,304
10537,35461,302
11497,38334,299
25939,12358,298
529129,30122,297
529129,24387,296
25939,18419,295
25939,513283,291
12104,18779,288
14881,513283,286
25939,19189,285
10453,533944,284
11497,517418,283
11497,30968,282
25939,18744,282
14881,20818,279
10537,33325,279
529129,39883,278
10537,98874,278
23325,18504,277
11497,34226,276
10453,30122,276
10537,30234,276
12104,18504,276
529129,557395,273
11497,30781,271
535347,10969,270
14881,19189,270
523578,557395,269
10537,27618,268
10453,39883,268
14881,12358,266
11497,26739,266
10453,24387,264
523578,63277,262
525062,10969,261
23325,514045,258
522972,10969,258
529129,26439,258
26443,10969,257
12104,76194,257
513702,25549,257
10453,557395,255
513217,24399,254
522991,10969,254
12248,533944,253
11497,26913,253
11994,13033,253
523806,10969,252
10537,53043,251
522972,520817,250
39753,520817,248
11340,520817,246
20233,10969,246
11994,13101,244
529129,63277,243
10453,63277,242
10537,521634,242
20233,520817,241
12248,63277,240
11497,37751,238
556502,17016,237
12248,557395,236
14881,18419,235
12083,17820,234
12248,39883,234
518220,34085,234
15674,23461,232
522991,520817,232
11497,27460,231
24399,513217,231
14881,18744,230
12248,26439,229
12083,11512,227
14881,23273,226
81159,520817,226
10537,25982,226
522992,10969,223
512793,520817,223
20007,10969,222
10537,515464,222
15674,29044,222
45969,10969,222
17820,31786,221
515192,79615,221
10453,26439,221
11340,10969,220
529129,45151,218
39413,520817,218
11497,35794,216
11497,54776,215
14881,53086,215
12248,24387,213
10453,45151,213
12083,17816,212
10537,524270,211
15674,15967,211
11497,21345,210
23325,76194,210
522973,520817,209
518220,536360,209
16008,10969,209
12104,27296,209
10537,42750,208
23325,27296,207
12083,22086,207
100809,520817,206
15674,41052,206
518220,32300,205
15674,41556,204
11497,40037,204
519140,10099,203
11497,69515,202
15674,70533,201
523578,45151,200
42059,520817,200
518220,66841,200
12083,512362,199
11197,39883,199
23325,35743,198
518220,45398,197
10537,47528,196
515675,12506,196
23325,514405,196
520575,10969,195
15674,47619,195
25939,53086,195
12104,35743,195
12083,19100,192
523807,520817,192
25939,23273,192
14881,17454,191
23325,25792,190
12248,30122,189
11497,80453,188
15674,74836,188
11197,26439,187
23325,518194,187
17816,59994,187
12104,25792,186
15674,36454,185
23325,24382,184
515192,512179,184
513284,12506,184
10537,40069,183
11197,533944,183
12104,514405,183
14308,454614,182
25939,32258,182
14881,21932,182
14881,34949,182
25939,34949,181
11512,69064,181
14881,19760,181
41849,515192,180
17016,556502,180
518220,145039,179
10537,42267,177
12506,513283,177
514126,12506,177
25939,19760,177
12083,20520,177
23325,18932,177
23325,40390,177
556502,15325,176
519347,13434,176
10537,42835,176
84758,10099,176
11197,557395,175
15616,12506,175
23325,23619,175
10537,46590,175
512513,12506,174
25939,26417,174
11197,30122,174
518220,147832,174
12083,32718,174
17016,15325,174
77360,513702,173
12083,513702,172
25939,37142,172
11874,10099,172
11989,10099,172
12083,23090,172
529127,63277,171
519508,39883,171
13434,519347,171
25939,39813,171
12083,32675,171
519941,10099,171
513464,12506,171
512305,12506,171
25939,529385,170
12083,19602,170
12248,45151,170
14482,13434,169
10537,29261,168
16292,526637,168
529127,533944,168
13434,13395,167
454614,14308,166
12104,18932,166
12104,15176,166
23325,22240,166
13985,454614,166
10099,513283,165
511844,520817,165
12083,31656,165
515760,519347,165
14308,13434,164
30781,11512,164
556347,12506,164
25939,17454,163
25982,11512,163
454614,17402,163
518220,70307,163
31756,27109,163
84758,58834,163
15674,42392,162
22835,11512,161
529127,39883,161
518220,29403,161
15674,47687,161
12506,514045,161
515687,17602,161
12083,34924,161
18065,24387,160
