bodyId,type,instance,somaSide,nt
10043,ER5,ER5_L,L,gaba
10099,ExR6,ExR6_R,R,glutamate
10324,ExR1,ExR1_R,R,acetylcholine
10396,FB2F_a,FB2F_a_L,L,glutamate
10453,FB6A_a,FB6A_a_L,L,glutamate
10513,Delta7,Delta7(PB15)_L3R6_R,R,glutamate
10514,FB6A_c,FB6A_c_R,R,glutamate
10537,LNO2,LNO2_R,R,glutamate
10539,EPG,EPG(PB08)_R2,R,acetylcholine
10568,FB4L,FB4L_R,R,dopamine
10624,ExR5,ExR5_R,R,glutamate
10744,FB5A,FB5A_R,R,gaba
10817,PFNv,PFNv(PB05)_L4_C3,L,acetylcholine
10969,ExR4,ExR4_L,L,glutamate
11053,LPsP,LPsP(PB13)_L,L,acetylcholine
11083,FB6C_b,FB6C_b_R,R,glutamate
11184,Delta7,Delta7(PB15)_L1L9R8_R,R,glutamate
11197,FB6I,FB6I_L,L,glutamate
11255,FB1C,FB1C_L,L,dopamine
11307,EPG,EPG(PB08)_L4,L,acetylcholine
11326,ExR5,ExR5_R,R,glutamate
11340,ExR7,ExR7_R,R,acetylcholine
11433,ExR1,ExR1_L,L,acetylcholine
11497,LNO2,LNO2_L,L,glutamate
11503,EPG,EPG(PB08)_R8,R,acetylcholine
11512,hDeltaB,hDeltaB_08_C7,L,acetylcholine
11516,LCNOpm,LCNOpm(LAL-NO3pm)_L,L,glutamate
11557,PFL2,PFL2(PB12b)_L3_C7,L,acetylcholine
11605,ER5,ER5_R,R,gaba
11673,PFL2,PFL2(PB12b)_R4_C2,R,acetylcholine
11745,PFL1,PFL1(PB12a)_L1_C8_irreg,R,acetylcholine
11786,PFL1,PFL1(PB12a)_L6_C7,L,acetylcholine
11874,EPG,EPG(PB08)_L7,L,acetylcholine
11886,ExR1,ExR1_R,R,acetylcholine
11933,ER2_c,ER2_c_R,R,gaba
11987,EPG,EPG(PB08)_R5,R,acetylcholine
11989,EPG,EPG(PB08)_L5,L,acetylcholine
11994,FB5L,FB5L_R,R,glutamate
12059,ER5,ER5_R,R,gaba
12083,FB4B,FB4B_L,L,glutamate
12104,GLNO,GLNO(LAL-NO1)_L,L,unclear
12106,FB1G,FB1G_R,R,acetylcholine
12221,FB5A,FB5A_L,L,gaba
12248,FB6A_a,FB6A_a_R,R,glutamate
12311,FB5D,FB5D_R,R,glutamate
12333,FB4M,FB4M(PPM3-FB3/4-NO-DAN)_R,R,dopamine
12357,ER2_c,ER2_c_L,L,gaba
12358,PEN_a(PEN1),PEN_a(PB06a)_L3,L,acetylcholine
12359,LCNOpm,LCNOpm(LAL-NO3pm)_R,R,glutamate
12449,EPG,EPG(PB08)_L5,L,acetylcholine
12506,ExR6,ExR6_L,L,glutamate
12656,ExR1,ExR1_L,L,acetylcholine
12674,FB6C_a,FB6C_a_R,R,glutamate
12706,ExR3,ExR3_L,L,serotonin
12763,FB4K,FB4K_L,L,glutamate
12797,ER4m,ER4m_R,R,gaba
12802,FB4B,FB4B_R,R,glutamate
12844,FB3A,FB3A_L,L,glutamate
13031,PFL2,PFL2(PB12b)_R3_C3,R,acetylcholine
13033,FB5AB,FB5AB_L,L,acetylcholine
13058,FB1G,FB1G_L,L,acetylcholine
13094,ER4d,ER4d_R,R,gaba
13101,FB5AB,FB5AB_R,R,acetylcholine
13142,FB5A,FB5A_R,R,gaba
13217,EPG,EPG(PB08)_L8,L,acetylcholine
13316,FB5L,FB5L_L,L,glutamate
13392,hDeltaH,hDeltaH_14_C8,L,acetylcholine
13395,ER4m,ER4m_R,R,gaba
13411,FB8B,FB8B_L,L,glutamate
13417,hDeltaB,hDeltaB_03_C3,R,acetylcholine
13418,FB6D,FB6D_R,R,glutamate
13434,ER4m,ER4m_R,R,gaba
13490,PFL2,PFL2(PB12b)_L1_C5,L,acetylcholine
13559,FB4Y,FB4Y_L,L,serotonin
13650,FB4F_c,FB4F_c_L,L,glutamate
13732,hDeltaI,hDeltaI_07_C6,R,acetylcholine
13862,FB2I_a,FB2I_a_L,L,glutamate
13892,PFR_b,PFR_b(PB11b)_R1_C1_irreg,R,acetylcholine
13893,FB3C,FB3C_R,R,gaba
13902,FB2I_a,FB2I_a_L,L,glutamate
13914,hDeltaK,hDeltaK_07_C6c,R,acetylcholine
13985,ER4m,ER4m_L,L,gaba
13999,ER3w_c,ER3w_c_R,R,gaba
14120,FB2D,FB2D_R,R,glutamate
14222,FB7A,FB7A_R,R,glutamate
14284,ER5,ER5_R,R,gaba
14308,ER4m,ER4m_L,L,gaba
14420,FB4X,FB4X_R,R,glutamate
14434,FB4Y,FB4Y_R,R,serotonin
14464,ER6,ER6_L,L,gaba
14482,ER4m,ER4m_R,R,gaba
14507,EPG,EPG(PB08)_R7,R,acetylcholine
14509,Delta7,Delta7(PB15)_L4R6_R,R,glutamate
14540,FB6H,FB6H_R,R,unclear
14552,EL,EL_L,L,octopamine
14631,PFNp_c,PFNp_c,L,acetylcholine
14663,PFL1,PFL1(PB12a)_R7_C1,R,acetylcholine
14677,FB5I,FB5I_L,L,glutamate
14703,FB8F_a,FB8F_a_L,L,glutamate
14727,EPG,EPG(PB08)_L7,L,acetylcholine
14729,PFL2,PFL2(PB12b)_R1_C5,R,acetylcholine
14806,Delta7,Delta7(PB15)_L8R1R9_L,L,glutamate
14816,Delta7,Delta7(PB15)_L6R4_L,L,glutamate
14871,EL,EL_R,R,octopamine
14881,GLNO,GLNO(LAL-NO1)_R,R,unclear
14963,ER5,ER5_L,L,gaba
14975,hDeltaC,hDeltaC_01_C1,R,acetylcholine
15129,FB1I,FB1I_L,L,glutamate
15176,PEN_b(PEN2),PEN_b(PB06b)_R8,R,acetylcholine
15210,PFL3,PFL3(PB12c)_R2_C1_irreg,L,acetylcholine
15325,FB4C,FB4C_L,L,glutamate
15398,Delta7,Delta7(PB15)_L4R5_R,R,glutamate
15399,Delta7,Delta7(PB15)_L1L9R8_R,R,glutamate
15409,Delta7,Delta7(PB15)_L8R1R9_L,L,glutamate
15444,ER2_d,ER2_d_L,L,gaba
15458,ExR8,ExR8_L,L,acetylcholine
15495,Delta7,Delta7(PB15)_L3R6_R,R,glutamate
15616,EPG,EPG(PB08)_R3,R,acetylcholine
15654,Delta7,Delta7(PB15)_L8R1R9_L,L,glutamate
15674,LNOa,LNOa(LAL-NO3a)_L,L,glutamate
15713,EPG,EPG(PB08)_L6,L,acetylcholine
15768,FB3A,FB3A_R,R,glutamate
15837,Delta7,Delta7(PB15)_L1L9R8_R,R,glutamate
15839,Delta7,Delta7(PB15)_L1L9R8_R,R,glutamate
15851,Delta7,Delta7(PB15)_L6R4_L,L,glutamate
15888,FB4M,FB4M(PPM3-FB3/4-NO-DAN)_R,R,dopamine
15904,Delta7,Delta7(PB15)_L4R5_R,R,glutamate
15919,FB3A,FB3A_L,L,glutamate
15924,FB4G,FB4G_L,L,glutamate
15929,FB5AA,FB5AA_L,L,glutamate
15967,PFNa,PFNa(PB03)_R9_C1,R,acetylcholine
16008,PEG,PEG(PB07)_R1,R,acetylcholine
16100,FB6O,FB6O_L,L,glutamate
16110,Delta7,Delta7(PB15)_L3R6_R,R,glutamate
16158,hDeltaH,hDeltaH_12_C7,L,acetylcholine
16180,Delta7,Delta7(PB15)_L3R6_R,R,glutamate
16214,PFR_b,PFR_b(PB11b)_R6_C3,R,acetylcholine
16234,Delta7,Delta7(PB15)_L1L9R8_R,R,glutamate
16292,FB6E,FB6E_R,R,glutamate
16303,PFR_a,PFR_a(PB11a)_L6_C6,L,unclear
16315,FB6F,FB6F_L,L,glutamate
16343,ER4d,ER4d_R,R,gaba
16360,EPG,EPG(PB08)_L6,L,acetylcholine
16412,Delta7,Delta7(PB15)_L7R2_L,L,glutamate
16430,FB5H,FB5H_L,L,dopamine
16440,ER4m,ER4m_L,L,gaba
16476,Delta7,Delta7(PB15)_L7R2_L,L,glutamate
16540,Delta7,Delta7(PB15)_L2R7_R,R,glutamate
16553,Delta7,Delta7(PB15)_L5R4_L,L,glutamate
16598,ER3w_b,ER3w_b_R,R,gaba
16800,PFGs,PFGs(PB10)_L4_C4,L,unclear
16818,ER4d,ER4d_R,R,gaba
16869,Delta7,Delta7(PB15)_L7R3_L,L,glutamate
16908,FB4O,FB4O_R,R,glutamate
16973,FB2G_b,FB2G_b_R,R,glutamate
17000,PFL3,PFL3(PB12c)_L1_C3,L,acetylcholine
17016,LNO1,LNO1_R,R,gaba
17024,Delta7,Delta7(PB15)_L5R4_L,L,glutamate
17061,FB4L,FB4L_L,L,dopamine
17078,ER5,ER5_R,R,gaba
17143,Delta7,Delta7(PB15)_L2R7_R,R,glutamate
17171,ER5,ER5_R,R,gaba
17286,PFL3,PFL3(PB12c)_R1_C2_irreg,L,acetylcholine
17290,PFL3,PFL3(PB12c)_L6_C8,L,acetylcholine
17379,Delta7,Delta7(PB15)_L4R5_R,R,glutamate
17402,ER4m,ER4m_L,L,gaba
17419,ER6,ER6_R,R,gaba
17454,PEN_a(PEN1),PEN_a(PB06a)_L4,L,acetylcholine
17480,FB2D,FB2D_L,L,glutamate
17552,FB7A,FB7A_R,R,glutamate
17561,ER3m,ER3m_R,R,gaba
17591,ER4d,ER4d_R,R,gaba
17602,hDeltaL,hDeltaL_14_C12,L,acetylcholine
17679,ER2_d,ER2_d_R,R,gaba
17720,FB2B_b,FB2B_b_R,R,glutamate
17728,hDeltaC,hDeltaC_14_C12,L,acetylcholine
17738,FB2H_b,FB2H_b_R,R,glutamate
17749,FB2L,FB2L_L,L,glutamate
17753,Delta7,Delta7(PB15)_L7R3_L,L,glutamate
17759,FB5N,FB5N_R,R,glutamate
17763,FB6B,FB6B_L,L,glutamate
17780,hDeltaJ,hDeltaJ_04_C4,R,acetylcholine
17801,hDeltaA,hDeltaA_01_C1,R,acetylcholine
17804,Delta7,Delta7(PB15)_L7R2_L,L,glutamate
17816,hDeltaB,hDeltaB_01_C1,R,acetylcholine
17820,hDeltaB,hDeltaB_02_C2,R,acetylcholine
17874,hDeltaM,hDeltaM_C8,L,acetylcholine
17991,hDeltaA,hDeltaA_13_C11,L,acetylcholine
18030,vDeltaI_b,vDeltaI_b_C8,R,acetylcholine
18058,ER2_b,ER2_b_L,L,gaba
18065,FB6C_b,FB6C_b_R,R,glutamate
18113,FB6N,FB6N_L,L,glutamate
18156,ExR2,ExR2_L,L,dopamine
18178,FB2I_a,FB2I_a_L,L,glutamate
18221,FB2B_a,FB2B_a_R,R,unclear
18327,PFL3,PFL3(PB12c)_R2_C6,R,acetylcholine
18377,ER3w_b,ER3w_b_L,L,gaba
18419,PEN_a(PEN1),PEN_a(PB06a)_L7,L,acetylcholine
18422,FB6C_b,FB6C_b_L,L,glutamate
18437,FR1,FR1(FQ4)_C5_L,L,acetylcholine
18482,hDeltaD,hDeltaD_10_C6,L,acetylcholine
18504,PEN_a(PEN1),PEN_a(PB06a)_R7,R,acetylcholine
18508,ER2_c,ER2_c_L,L,gaba
18586,PFR_a,PFR_a(PB11a)_L4_C4,L,unclear
18625,PFL1,PFL1(PB12a)_R3_C6,R,acetylcholine
18633,ER5,ER5_L,L,gaba
18639,Delta7,Delta7(PB15)_L7R2_L,L,glutamate
18664,ER2_c,ER2_c_R,R,gaba
18666,FB4P_b,FB4P_b_L,L,glutamate
18670,PFR_b,PFR_b(PB11b)_R7_C2,R,acetylcholine
18733,ER2_c,ER2_c_L,L,gaba
18744,PEN_a(PEN1),PEN_a(PB06a)_L5,L,acetylcholine
18779,PEN_a(PEN1),PEN_a(PB06a)_R8,R,acetylcholine
18803,PFL3,PFL3(PB12c)_R1_C7,R,acetylcholine
18823,Delta7,Delta7(PB15)_L4R5_R,R,glutamate
18851,PFL3,PFL3(PB12c)_L1_C8_irreg,R,acetylcholine
18899,FB6G,FB6G_R,R,glutamate
18932,PEN_b(PEN2),PEN_b(PB06b)_R2,R,acetylcholine
18982,FB2D,FB2D_R,R,glutamate
19009,PFL3,PFL3(PB12c)_L2_C9_irreg,R,acetylcholine
19011,IbSpsP,IbSpsP(PB17)_L7,L,acetylcholine
19072,ER5,ER5_R,R,gaba
19100,hDeltaB,hDeltaB_10_C8,L,acetylcholine
