body_pre,body_post,weight
12091,12104,528
12091,10969,439
12091,23325,438
12055,25939,434
12055,14881,398
12091,11053,360
12055,555342,292
10479,11497,282
10603,10537,268
12055,520817,247
12091,18156,226
15274,11497,179
12091,517512,162
12091,555342,156
12055,38706,153
13418,10187,143
12055,515933,140
529127,10187,136
12055,11053,134
19478,10537,127
529127,287884,124
13418,287884,112
15274,15919,111
19478,12844,109
19478,15919,104
19478,515463,100
519940,15919,97
15274,12844,97
533946,10187,92
519940,12844,91
519940,34392,82
46571,10187,81
15274,515463,75
519940,35588,74
19478,15768,72
10545,12844,71
10514,10187,70
10545,15919,68
533946,287884,68
12091,38706,66
12336,15919,65
12301,15768,64
37313,541412,61
10514,287884,61
529128,10187,59
15274,15768,59
112156,512326,58
12055,10099,57
12055,517512,57
15458,12055,56
521584,287884,55
12336,12844,55
533103,287884,53
10110,10099,53
37313,15768,53
522974,12055,52
10453,10187,51
12336,34392,51
12055,18156,51
520210,12091,49
46571,287884,48
10110,12506,48
12091,12844,48
10479,12844,48
10072,555342,47
10453,287884,47
68889,13428,46
37313,515463,46
529129,11327,46
527048,11618,45
521584,10187,45
10041,12506,44
12091,515933,44
529129,10187,44
519616,13033,44
533103,10187,44
37313,55124,44
12301,55124,44
11083,10187,43
514997,12091,43
12336,35588,42
12301,515463,40
555342,10072,39
555342,10011,38
14705,13101,37
10997,15768,37
10041,10099,37
11618,25763,37
118960,512326,36
287884,21519,36
12091,12083,35
10187,22446,35
11083,287884,35
523578,11900,35
10997,15919,35
529129,287884,35
287884,521584,35
11053,10011,34
14703,512326,34
10187,521584,34
287884,518831,33
517012,10187,33
287884,25210,33
10011,555342,33
10110,555342,33
12301,541412,33
529128,287884,32
10072,11053,32
12091,14464,32
287884,523775,32
11053,10072,31
10187,25318,31
10603,515463,31
12902,108860,31
12091,12506,31
287884,11516,31
10041,555342,31
287884,514689,30
10187,533103,30
10187,523775,30
287884,25318,30
12248,10187,29
10453,66934,29
10545,515463,29
10187,515966,29
287884,533103,29
10110,38706,28
14182,23846,28
62570,11900,28
12902,536058,28
10041,11053,28
10187,25529,28
517012,287884,28
287884,22923,28
287884,29582,28
523578,287884,28
10997,12844,27
10479,15919,27
10479,10969,27
10187,16158,27
520435,287884,27
12091,15919,27
513376,287884,27
10545,15768,27
287884,19602,27
287884,14434,27
10011,11053,27
134118,519616,27
519508,10187,26
68391,512326,26
287884,17061,26
48491,13428,26
22083,10187,26
523578,10187,26
12055,15768,26
523775,10187,26
10187,12311,26
13428,26666,26
287884,23090,25
580497,14225,25
287884,35293,25
18065,10187,25
120798,512326,25
19478,11497,25
10187,21053,25
10997,515463,25
10187,536057,25
10187,514689,25
10187,516666,25
523775,287884,25
12091,512319,25
146667,519616,24
287884,32675,24
287884,34900,24
287884,34924,24
287884,47850,24
287884,22838,24
287884,517726,24
287884,524876,24
69343,512326,24
10187,17874,24
10187,11497,24
10187,15929,24
10187,68268,24
287884,17820,23
12221,287884,23
287884,13559,23
13142,287884,23
10187,14434,23
10187,21519,23
18422,10187,23
35293,287884,23
25529,10187,23
287884,17816,22
287884,32718,22
287884,12311,22
10187,19602,22
10187,25210,22
15924,13428,22
10187,66695,22
18065,287884,22
12055,12844,22
13428,22521,22
533946,66934,22
287884,13101,21
287884,10568,21
287884,17480,21
287884,25529,21
287884,516666,21
170829,519616,21
19478,10099,21
529707,10537,21
10187,22302,21
10187,22923,21
79615,10168,21
62570,512326,21
10110,11053,21
10187,13392,21
160355,519616,20
10603,15768,20
47850,287884,20
10187,32675,20
10187,30653,20
10187,23090,20
15274,10537,20
10187,12844,20
10568,10187,20
12055,515463,20
12055,512793,20
287884,518779,20
10514,200973,20
287884,19100,20
287884,22683,20
12091,15768,20
12091,20007,20
287884,11512,20
10041,15674,19
287884,513702,19
12674,10187,19
287884,15325,19
69343,11900,19
287884,13418,19
10187,517548,19
36423,10187,19
10187,29582,19
15888,287884,19
10110,515933,19
10041,10969,18
520435,10187,18
19974,10187,18
12091,515463,18
12091,535347,18
12055,39413,18
10187,10568,18
10187,12706,18
519508,287884,18
10187,17820,18
287884,22086,18
287884,12359,18
287884,30927,18
287884,27109,18
10187,524876,17
10187,30541,17
10187,34909,17
10187,35293,17
10187,22838,17
10187,22086,17
10187,43161,17
10187,10514,17
21053,10187,17
55161,287884,17
519616,57851,17
15274,34392,17
10603,555342,17
10603,520817,17
287884,515966,17
287884,515463,17
287884,536057,17
48558,10187,17
287884,28248,17
287884,66695,17
287884,21053,17
59929,519616,17
287884,13392,16
287884,15929,16
536057,10187,16
12221,10187,16
287884,49288,16
287884,23601,16
287884,17874,16
287884,22302,16
287884,20520,16
287884,22446,16
12248,287884,16
10744,10187,16
10187,533946,16
10187,27195,16
10187,23601,16
98544,13428,16
10453,170450,16
12055,39753,16
12055,81159,16
519616,518715,15
519616,35267,15
519616,61704,15
55161,11752,15
66695,10187,15
38706,12091,15
25318,287884,15
17421,12359,15
543404,14225,15
22923,287884,15
25371,66934,15
10187,515463,15
287884,19443,15
287884,15888,15
10041,18156,15
287884,42739,15
287884,39091,15
287884,31656,15
10041,12844,15
10187,36423,15
10187,35912,15
287884,12844,15
10041,15919,15
10187,12333,15
10187,19100,15
10187,17061,15
287884,517548,15
287884,515963,15
48558,287884,15
10110,517512,15
287884,75614,15
287884,44903,15
10110,34900,15
31336,287884,15
12091,523806,15
25529,287884,15
49618,11327,14
138220,519616,14
17061,287884,14
10187,52728,14
10187,39385,14
10187,47850,14
10187,77090,14
44903,10187,14
10187,11516,14
10187,11512,14
514689,287884,14
10187,31656,14
10187,32718,14
10187,15325,14
10187,25808,14
10997,21519,14
10187,20231,14
10187,20951,14
18422,287884,14
113565,14225,14
12091,522992,14
517726,10187,14
12055,15919,14
16908,287884,14
11618,48421,14
10110,10537,14
188519,519616,14
10041,517512,14
10041,38706,14
168481,519616,14
536057,287884,14
31336,10187,14
19974,287884,14
10514,544359,14
287884,15768,14
287884,13417,14
10479,11053,14
287884,102689,14
287884,27195,14
287884,30313,14
287884,28767,14
15310,581422,14
287884,29493,14
287884,29701,14
287884,39465,14
12902,581422,14
12091,16008,13
24291,287884,13
529808,11516,13
24291,10187,13
24291,11752,13
287884,59983,13
287884,60086,13
10187,539328,13
10187,517726,13
10187,525061,13
287884,16158,13
10187,512362,13
287884,25773,13
287884,27179,13
287884,511842,13
287884,512362,13
10187,11083,13
10187,28146,13
10187,27109,13
10187,15919,13
10187,15768,13
10187,17816,13
10187,32122,13
10187,34924,13
25549,10168,13
10744,287884,13
10041,10537,13
57935,11618,13
515221,11618,13
10041,515933,13
10110,18156,13
10110,11497,13
13428,48421,13
21519,287884,13
18156,12055,13
38706,12055,13
15929,10187,13
12333,10187,13
15310,108860,13
155194,14705,13
162733,515048,13
10187,527427,12
10187,518831,12
10187,515192,12
10187,22291,12
10187,22683,12
10187,25713,12
287884,11497,12
287884,10514,12
10187,20520,12
287884,10537,12
10187,42739,12
10187,28767,12
10187,29493,12
10187,29701,12
10187,15888,12
10187,13417,12
287884,516919,12
287884,522993,12
287884,77090,12
287884,23630,12
10997,11053,12
287884,20781,12
287884,30653,12
287884,28190,12
12248,200973,12
56350,287884,12
529808,11497,12
11083,544359,12
16214,10168,12
12333,287884,12
532800,10168,12
21519,10187,12
15310,63122,12
104220,13428,12
12055,10537,12
12858,10537,12
11497,10187,12
94433,11618,12
43756,287884,12
517726,287884,12
10110,91633,12
15929,287884,12
10110,15674,12
10110,10969,12
517512,12055,12
10041,520817,12
10041,515463,12
13142,10187,12
68268,10187,12
10072,15409,12
11197,10187,12
10568,287884,12
171780,519616,12
117040,14225,12
522790,12688,12
12674,287884,11
10041,517726,11
10041,15768,11
29582,287884,11
287884,43881,11
287884,28254,11
287884,27191,11
287884,24683,11
287884,26065,11
287884,35912,11
287884,80750,11
287884,11673,11
287884,13033,11
287884,22291,11
