bodyId,type,instance,somaSide,nt
10011,OA-AL2i1,OA-AL2i1_L,L,unclear
10041,OA-VUMa1,OA-VUMa1_M,M,octopamine
10050,5-HTPMPV03,5-HTPMPV03_R,R,serotonin
10072,OA-AL2i1,OA-AL2i1_R,R,unclear
10080,OA-VUMa3,OA-VUMa3_M,M,octopamine
10100,LoVCLo3,LoVCLo3_R,R,octopamine
10110,OA-VUMa1,OA-VUMa1_M,M,octopamine
10120,OA-VPM4,OA-VPM4_L,L,octopamine
10123,DNg30,DNg30_L,L,serotonin
10168,OA-VUMa6,OA-VUMa6(OA-VUMa7)_M,M,octopamine
10175,OA-VUMa6,OA-VUMa6(OA-VUMa7)_M,M,octopamine
10185,OA-VUMa8,OA-VUMa8_M,M,octopamine
10187,OA-VPM3,OA-VPM3_R,R,octopamine
10204,OA-AL2i2,OA-AL2i2_L,L,octopamine
10226,OA-AL2i3,OA-AL2i3_L,L,octopamine
10237,DNg30,DNg30_R,R,serotonin
10265,OA-AL2i2,OA-AL2i2_L,L,octopamine
10269,OA-AL2i2,OA-AL2i2_R,R,octopamine
10278,5-HTPMPV03,5-HTPMPV03_L,L,serotonin
10322,OA-AL2i2,OA-AL2i2_R,R,octopamine
10399,PPL202,PPL202_R,R,dopamine
10432,LoVCLo3,LoVCLo3_L,L,octopamine
10479,PS196_a,PS196_a_R,R,acetylcholine
10545,AN06B009,AN06B009(hb1687321237)_R,R,gaba
10555,OA-VUMa3,OA-VUMa3_M,M,octopamine
10603,PS196_a,PS196_a_L,L,acetylcholine
10639,LoVC22,LoVC22_R,R,dopamine
10652,OA-AL2i4,OA-AL2i4_L,L,octopamine
10658,OA-AL2i3,OA-AL2i3_L,L,octopamine
10677,OA-AL2i4,OA-AL2i4_R,R,octopamine
10687,OA-AL2i3,OA-AL2i3_R,R,octopamine
10735,LoVC18,"LoVC18(PLP030,PLP031)_L",L,dopamine
10753,PPL201,PPL201_L,L,dopamine
10799,OA-VUMa4,OA-VUMa4_M,M,octopamine
