type,n,nt,status,total_in,total_out,self_share,recip_partner,recip_w,ext_in_share,ext_in_top,ext_out_share,ext_out_top,modules_in,modules_out,mod_in_shares,mod_out_shares
Delta7,42,glutamate,compass inhibition,51707,216445,0.513,EPG,4294,0.009,OA-AL2i1:395;AN09A005:14;AN27X013:12;pC1x_b:8,0.001,OA-AL2i1:104;AN27X013:35;DNc01:25;AN09A005:17,compass,"compass,steer,velocity",compass:0.91;velocity:0.01;steer:0.00,compass:0.20;velocity:0.07;steer:0.04
EL,18,octopamine,octopamine plasticity (Plitt 2025),74777,35599,0.02,ER4d,3917,0.018,OLVC5:582;M_l2PNl20:230;LAL100:131;SMP371_a:63,0.009,OLVC5:59;SMP568_a:43;M_l2PNl20:21;LAL100:14,"compass,rings","compass,rings",rings:0.51;compass:0.24;velocity:0.00;steer:0.00;goal:0.00,rings:0.65;compass:0.11;velocity:0.00;steer:0.00;goal:0.00
EPG,46,acetylcholine,compass,205511,181573,0.056,ExR6,6236,0.015,LAL184:1997;LHPV6q1:308;OA-AL2i1:252;LAL206:144,0.006,LAL190:253;LAL123:120;GNG303:113;LAL184:88,"compass,rings","compass,rings",rings:0.60;compass:0.20;velocity:0.00;goal:0.00;steer:0.00,compass:0.28;rings:0.11;velocity:0.02;steer:0.01;goal:0.00
EPGt,4,acetylcholine,compass,2971,5099,0.015,Delta7,594,0.021,OA-AL2i1:29;SMP371_a:13;OA-VPM3:10;PS196_b:2,0.004,OA-AL2i1:7;LAL190:6;WEDPN5:3;DNpe014:2,"compass,rings","compass,velocity",compass:0.52;rings:0.09;velocity:0.01;goal:0.00,compass:0.24;velocity:0.13;rings:0.00;goal:0.00
ER1_a,11,gaba,wind ring (Okubo 2020),9569,14509,0.087,PEN_a(PEN1),1073,0.415,WED035:684;LAL055:391;WEDPN16_d:287;LAL203:273,0.002,AN09A005:10;LAL195:2;LAL009:2;WEDPN16_d:2,"compass,rings","compass,rings",rings:0.24;compass:0.18,compass:0.39;rings:0.24
ER1_b,13,gaba,wind ring,11382,17054,0.073,PEN_a(PEN1),1389,0.326,WED145:551;LAL138:548;WED002:444;LAL203:399,0.009,LAL195:23;LAL009:8;WED057:8;WED168:4,"compass,rings","compass,rings",rings:0.33;compass:0.22;goal:0.00,compass:0.47;rings:0.11
ER1_c,4,gaba,ring,3049,4992,0.026,ER1_a,298,0.417,WEDPN16_d:199;WED035:149;WED002:103;WED016:76,0.006,WED097:2;LAL138:2;LAL189:2;LAL195:2,"compass,rings","compass,rings",rings:0.23;compass:0.18,compass:0.38;rings:0.21
ER2_a,12,gaba,visual ring,19937,28839,0.207,ER2_c,5845,0.048,TuBu09:733;AOTU046:206;TuBu10:10;SIP028:3,0.001,AOTU046:7;DNc02:3;DNc01:2;TuBu09:2,"compass,rings","compass,rings",rings:0.74;compass:0.12,rings:0.50;compass:0.29
ER2_b,4,gaba,visual ring,5422,7898,0.078,ER3w_a,731,0.05,TuBu09:206;AOTU046:61;DNc02:1;AOTU042:1,0.0,TuBu09:1;DNc02:1,"compass,rings","compass,rings",rings:0.75;compass:0.10,rings:0.47;compass:0.31
ER2_c,20,gaba,visual ring,36191,52491,0.435,ER2_a,5845,0.047,TuBu10:1283;AOTU046:308;TuBu09:61;LHPV5l1:11,0.0,DNc01:7;TuBu10:6;AOTU046:4;DNc02:3,"compass,rings","compass,rings",rings:0.75;compass:0.12,rings:0.52;compass:0.28
ER2_d,5,gaba,visual ring,7676,11053,0.088,ER2_a,1328,0.051,TuBu09:276;AOTU046:87;TuBu07:23;TuBu10:5,0.0,TuBu09:2;TuBu07:1;DNc01:1,"compass,rings","compass,rings",rings:0.75;compass:0.10,rings:0.49;compass:0.30
ER3a_a,15,gaba,ring,14992,17658,0.343,ER3m,3119,0.095,TuBu02:1309;SMP238:59;TuBu03:16;LHPV6q1:8,0.002,CB4183:14;TuBu02:10;SMP238:2;AN09A005:1,rings,rings,rings:0.82;compass:0.00,rings:0.72;compass:0.01;steer:0.00
ER3a_b,6,gaba,ring,5674,7258,0.187,ER3a_c,571,0.215,PLP046:483;LHPV6q1:341;LAL138:86;SMP183:51,0.001,SIP028:2;CB4183:2;CB2469:1;CB2245:1,rings,rings,rings:0.59;compass:0.00,rings:0.61;compass:0.02;steer:0.00
ER3a_c,4,gaba,ring,4309,5314,0.163,ER3a_b,571,0.334,LAL055:360;PLP046:137;LAL203:103;SMP183:94,0.004,SMP167:4;SIP027:4;CRE052:3;CB4155:3,rings,"compass,rings",rings:0.46;compass:0.02,rings:0.47;compass:0.13;steer:0.00
ER3a_d,5,gaba,ring,4622,5767,0.102,ER3a_a,1521,0.094,TuBu02:308;LHPV6q1:46;PLP046:29;LAL138:13,0.002,CB4183:7;TuBu02:2;LAL063:1;LAL052:1,rings,rings,rings:0.80;compass:0.00,rings:0.72;compass:0.01
ER3d_a,7,gaba,ring,10731,12145,0.187,ER3d_c,2012,0.048,TuBu03:485;OLVC5:10;AN09A005:5;AOTU046:5,0.001,TuBu03:3;ATL013:2;TuBu01:1;SMP048:1,rings,"compass,rings",rings:0.76;compass:0.00,rings:0.59;compass:0.16
ER3d_b,20,gaba,ring,25061,30869,0.525,ER3d_d,2316,0.04,TuBu04:972;AN09A005:10;EA27X006:5;AOTU046:2,0.0,TuBu04:6;AN09A005:5;AOTU042:1;TuBu03:1,rings,"compass,rings",rings:0.67;compass:0.00,rings:0.59;compass:0.12
ER3d_c,9,gaba,ring,13079,14998,0.227,ER3d_a,2012,0.048,TuBu03:590;AOTU046:15;TuBu04:8;AN09A005:5,0.0,TuBu03:1;EA27X006:1;AOTU046:1,rings,"compass,rings",rings:0.74;compass:0.00;steer:0.00,rings:0.61;compass:0.14
ER3d_d,11,gaba,ring,15045,17356,0.325,ER3d_b,2316,0.054,TuBu03:716;TuBu04:73;AN09A005:9;EA27X006:5,0.001,TuBu03:6;AN09A005:3;EA27X006:2;FB9B_b:1,rings,"compass,rings",rings:0.72;compass:0.00;steer:0.00,rings:0.64;compass:0.10;steer:0.00
ER3d_e,7,gaba,ring,10362,12520,0.278,ER3d_a,1947,0.04,TuBu03:398;AOTU046:9;AN09A005:3;KCg-m:1,0.001,AN09A005:4;TuBu03:4;TuBu05:2;KCg-d:2,rings,"compass,rings",rings:0.77;compass:0.00,rings:0.59;compass:0.16
ER3m,18,gaba,ring,22582,27851,0.478,ER3a_a,3119,0.051,TuBu02:963;TuBu03:114;SMP238:23;LAL206:11,0.001,TuBu02:8;CB4183:6;TuBu03:3;AN09A005:2,rings,"compass,rings",rings:0.84;compass:0.00,rings:0.57;compass:0.15;steer:0.00
ER3p_a,14,gaba,ring,14612,26741,0.495,EL,980,0.054,TuBu05:764;AOTU046:10;TuBu04:5;LAL075:2,0.0,TuBu05:4;CB2469:2;AOTU038:2;LHPV5l1:1,rings,"compass,rings",rings:0.59;compass:0.01;steer:0.00,compass:0.34;rings:0.34
ER3p_b,4,gaba,ring,4452,6951,0.274,EL,578,0.063,TuBu04:253;TuBu05:22;AOTU046:5;CB4183:1,0.001,MBON10:2;CB4183:1;TuBu04:1,rings,"compass,rings",rings:0.53;compass:0.01,rings:0.38;compass:0.23
ER3w_a,7,gaba,wind ring (Okubo),9592,13259,0.163,ER2_b,731,0.045,TuBu07:286;AOTU046:77;TuBu09:54;LHPV5l1:11,0.001,TuBu07:11;AOTU046:4;DNc01:1;TuBu04:1,"compass,rings","compass,rings",rings:0.75;compass:0.08,rings:0.48;compass:0.31
