type_pre,type_post,total,offset,share
PFNd,PFR_a,3430,1,0.463
hDeltaH,FC2B,2437,-3,0.433
hDeltaH,FC2B,2437,4,0.446
hDeltaM,PFL3,2428,-3,0.468
hDeltaM,PFL3,2428,4,0.497
hDeltaE,FC2C,2207,-3,0.492
hDeltaE,FC2C,2207,4,0.437
hDeltaG,FC2B,1711,-3,0.407
hDeltaG,FC2B,1711,4,0.473
hDeltaM,PFL2,1555,-3,0.49
hDeltaM,PFL2,1555,4,0.494
hDeltaG,FC2C,1460,-3,0.507
hDeltaG,FC2C,1460,4,0.402
hDeltaH,PFL3,1448,-3,0.509
hDeltaH,PFL3,1448,4,0.45
hDeltaD,FC2C,1372,-3,0.483
hDeltaD,FC2C,1372,4,0.478
hDeltaG,FS2,1241,-3,0.453
hDeltaG,FS2,1241,4,0.459
hDeltaD,FS4A,1227,-3,0.45
hDeltaD,FS4A,1227,4,0.469
hDeltaH,PFR_a,1148,-3,0.469
hDeltaH,PFR_a,1148,4,0.51
hDeltaD,vDeltaB,1092,4,0.444
FC2B,hDeltaM,1073,-1,0.41
vDeltaI_b,hDeltaH,1044,-1,0.403
hDeltaM,FC2B,958,-3,0.445
hDeltaM,FC2B,958,4,0.451
hDeltaH,FS2,786,-3,0.483
hDeltaH,FS2,786,4,0.449
hDeltaD,vDeltaA_b,786,4,0.52
hDeltaF,PFGs,726,-2,0.415
FC2C,hDeltaM,665,-1,0.517
hDeltaG,FR1,657,-3,0.434
hDeltaG,FR1,657,4,0.511
hDeltaG,vDeltaE,653,-3,0.406
hDeltaG,vDeltaE,653,4,0.446
hDeltaE,PFGs,640,-3,0.412
hDeltaE,PFGs,640,4,0.558
hDeltaD,vDeltaA_a,630,4,0.43
hDeltaE,FS3_d,624,-3,0.417
hDeltaE,FS3_d,624,4,0.447
hDeltaH,FR1,602,-3,0.48
hDeltaH,FR1,602,4,0.483
hDeltaH,vDeltaG,587,-3,0.462
hDeltaH,vDeltaG,587,4,0.438
hDeltaG,PFL3,582,-3,0.529
hDeltaG,PFL3,582,4,0.447
hDeltaD,FS4B,579,-3,0.468
hDeltaD,FS4B,579,4,0.423
hDeltaG,vDeltaF,528,-3,0.42
hDeltaG,vDeltaF,528,4,0.413
hDeltaM,hDeltaH,516,4,0.831
