type_pre,type_post,weight
Delta7,(untyped),121619
EPG,(untyped),66719
PFL3,(untyped),64339
ER4d,ER4d,39443
hDeltaB,(untyped),37151
FC2C,(untyped),33332
PFL1,(untyped),31638
IbSpsP,(untyped),30464
PFL2,(untyped),30297
FB1G,(untyped),27561
FC2B,(untyped),27476
Delta7,Delta7,26539
PFNa,(untyped),24220
FS4A,(untyped),23946
hDeltaA,(untyped),23741
ExR7,(untyped),22762
ExR5,(untyped),22627
hDeltaL,(untyped),21228
ER4m,EPG,21202
FB5A,(untyped),20929
FS4C,(untyped),20426
PFR_b,(untyped),20299
PFNd,hDeltaB,20165
EPG,Delta7,19896
LPsP,(untyped),19226
FS2,(untyped),18859
hDeltaG,(untyped),18765
PEN_a(PEN1),(untyped),18582
hDeltaD,(untyped),17830
hDeltaE,(untyped),17701
hDeltaH,(untyped),17679
PEN_b(PEN2),(untyped),17412
FC2A,(untyped),17006
hDeltaI,(untyped),16663
PFNv,(untyped),16514
FB2D,(untyped),15930
ER2_c,ER2_c,15739
hDeltaM,(untyped),15639
FB2F_a,(untyped),15614
FB2G_b,(untyped),15591
ER5,ER5,15478
FS1B_b,(untyped),14993
hDeltaF,(untyped),14946
PFNp_b,(untyped),14790
hDeltaJ,(untyped),14744
ER2_c,EPG,14590
ER4m,ER4m,14580
PFNa,PFNa,14566
PEN_a(PEN1),EPG,14398
PFNd,(untyped),14045
ER3d_b,ER3d_b,13157
FS4B,(untyped),12889
ExR6,(untyped),12865
FB4O,(untyped),12819
FB4R,(untyped),12539
FB2I_a,(untyped),12349
ER4d,EPG,12335
FS1B_a,(untyped),12121
FS1A_a,(untyped),11895
FB3C,(untyped),11791
hDeltaC,(untyped),11651
PFNp_c,(untyped),11635
FB6C_b,(untyped),11544
ExR8,(untyped),11517
EPG,EPG,11486
PFNm_b,(untyped),11486
ExR1,(untyped),11451
ER5,(untyped),11233
SpsP,(untyped),11108
FB7L,(untyped),11035
PFNp_a,(untyped),10893
FC1D,(untyped),10845
ER3m,ER3m,10798
FR2,(untyped),10736
FB4N,(untyped),10668
FB6A_c,(untyped),10624
FB5X,(untyped),10583
ER3w_b,EPG,10568
FB5Q,(untyped),10546
FS1A_c,(untyped),10472
ER3w_b,ER3w_b,10441
FC3_b,(untyped),10415
FB1E_a,(untyped),10291
EPG,ExR6,10169
ER5,EL,10073
FB2M_a,(untyped),10048
ER5,ExR1,10044
GLNO,PEN_a(PEN1),9806
PEN_b(PEN2),EPG,9671
LNO2,PFNd,9610
FB8H,(untyped),9471
FB4B,(untyped),9307
ER4d,(untyped),9228
FC3_a,(untyped),9156
EPG,EL,9155
FC1B,(untyped),9087
PFNv,PFNv,9048
FC1E,(untyped),9014
FC1A,(untyped),9008
ER3p_a,EPG,8924
FR1,(untyped),8833
LNOa,PFNa,8698
FR1,FR1,8694
vDeltaA_a,(untyped),8596
ER4m,(untyped),8557
FC3_c,(untyped),8384
FB7A,(untyped),8371
FB1D,(untyped),8305
FB6A_a,(untyped),8277
FB2E,(untyped),8228
ER2_a,EPG,8225
FB4F_c,(untyped),8168
PFNd,PFNd,8109
FB4X,(untyped),7944
ExR4,(untyped),7919
PEG,(untyped),7902
FB7I,(untyped),7825
ER3p_a,(untyped),7665
ExR3,(untyped),7583
FB5G_a,(untyped),7581
PFNm_a,(untyped),7437
FB2F_d,(untyped),7414
FB2B_b,(untyped),7297
FC1C_b,(untyped),7279
FB6A_b,(untyped),7271
Delta7,PFNa,7243
ER3p_a,ER3p_a,7239
FB6U,(untyped),7220
FB5I,(untyped),6939
FB6D,(untyped),6925
FB7E,(untyped),6920
FB6M,(untyped),6870
FB5D,(untyped),6840
FB2B_a,(untyped),6835
FB4P_b,(untyped),6799
