bodyId,instance,epg_synapses,n_glomeruli,top_glomerulus,top_share,second_glomerulus,second_share
14552,EL_L,579,9,L7,0.62,R3,0.25
14871,EL_R,579,11,R8,0.52,L2,0.3
20715,EL_L,597,8,L8,0.61,R2,0.26
22084,EL_L,522,10,L8,0.62,R1,0.25
29713,EL_R,370,11,R1,0.59,L1,0.24
34188,EL_L,495,6,L4,0.58,R5,0.28
45427,EL_R,566,9,R8,0.72,L1,0.18
46073,EL_R,482,9,R3,0.73,L6,0.13
46764,EL_R,626,9,R6,0.54,L3,0.2
51159,EL_R,608,11,R4,0.6,L5,0.2
51555,EL_L,409,9,L3,0.75,R6,0.13
58834,EL_R,631,13,L7,0.42,R2,0.33
61590,EL_R,421,12,R7,0.51,L3,0.32
61845,EL_L,439,8,L5,0.69,R4,0.18
294178,EL_L,415,11,R7,0.46,L2,0.31
511778,EL_L,579,10,L6,0.58,R4,0.22
517763,EL_L,389,9,L1,0.56,R1,0.22
526548,EL_R,448,10,R5,0.63,L5,0.19
