er_type,n,ER_to_EPG,EPG_to_ER,EL_to_ER,ER_to_EL,ER_to_same_ER
ER1_a,11,4292,519,503,1407,832
ER1_b,13,5634,1003,415,1655,833
ER1_c,4,1552,203,113,537,80
ER2_a,12,8225,1357,854,2069,4121
ER2_b,4,2474,334,311,518,422
ER2_c,20,14590,2701,1377,3691,15739
ER2_d,5,3295,511,400,758,674
ER3a_a,15,255,5,239,369,5138
ER3a_b,6,124,7,258,1148,1062
ER3a_c,4,656,48,293,785,702
ER3a_d,5,30,2,95,333,473
ER3d_a,7,1930,25,627,314,2007
ER3d_b,20,3673,42,2733,1413,13157
ER3d_c,9,2139,18,613,307,2963
ER3d_d,11,1799,11,452,264,4895
ER3d_e,7,1954,14,782,301,2884
ER3m,18,4085,17,844,326,10798
ER3p_a,14,8924,99,3253,980,7239
ER3p_b,4,1568,13,1034,578,1219
ER3w_a,7,4034,593,658,702,1565
ER3w_b,18,10568,587,1361,604,10441
ER3w_c,6,3513,262,567,333,1135
ER4d,26,12335,2598,4178,3917,39443
ER4m,11,21202,4487,479,4052,14580
ER5,21,3222,17,646,10073,15478
ER6,4,1925,4580,54,905,141
