type_pre,type_post,total,offset,weight,share
PFNd,hDeltaB,20165,-3,3769,0.187
PFNd,hDeltaB,20165,-2,3873,0.192
PFNd,hDeltaB,20165,-1,2862,0.142
PFNd,hDeltaB,20165,0,1834,0.091
PFNd,hDeltaB,20165,1,1835,0.091
PFNd,hDeltaB,20165,2,2283,0.113
PFNd,hDeltaB,20165,3,1954,0.097
PFNd,hDeltaB,20165,4,1755,0.087
PFNa,PFNa,13850,-3,1638,0.118
PFNa,PFNa,13850,-2,1922,0.139
PFNa,PFNa,13850,-1,1402,0.101
PFNa,PFNa,13850,0,1890,0.136
PFNa,PFNa,13850,1,1548,0.112
PFNa,PFNa,13850,2,1885,0.136
PFNa,PFNa,13850,3,1599,0.115
PFNa,PFNa,13850,4,1966,0.142
PFNv,PFNv,9048,-3,917,0.101
PFNv,PFNv,9048,-2,1637,0.181
PFNv,PFNv,9048,-1,713,0.079
PFNv,PFNv,9048,0,869,0.096
PFNv,PFNv,9048,1,740,0.082
PFNv,PFNv,9048,2,1680,0.186
PFNv,PFNv,9048,3,1002,0.111
PFNv,PFNv,9048,4,1490,0.165
FR1,FR1,8694,-3,1197,0.138
FR1,FR1,8694,-2,1215,0.14
FR1,FR1,8694,-1,1188,0.137
FR1,FR1,8694,0,237,0.027
FR1,FR1,8694,1,1165,0.134
FR1,FR1,8694,2,1237,0.142
FR1,FR1,8694,3,1259,0.145
FR1,FR1,8694,4,1196,0.138
PFNd,PFNd,8109,-3,1036,0.128
PFNd,PFNd,8109,-2,918,0.113
PFNd,PFNd,8109,-1,1186,0.146
PFNd,PFNd,8109,0,909,0.112
PFNd,PFNd,8109,1,1106,0.136
PFNd,PFNd,8109,2,944,0.116
PFNd,PFNd,8109,3,1090,0.134
PFNd,PFNd,8109,4,920,0.113
hDeltaB,PFR_a,6717,-3,169,0.025
hDeltaB,PFR_a,6717,-2,2,0.0
hDeltaB,PFR_a,6717,0,157,0.023
hDeltaB,PFR_a,6717,1,1380,0.205
hDeltaB,PFR_a,6717,2,1690,0.252
hDeltaB,PFR_a,6717,3,1797,0.268
hDeltaB,PFR_a,6717,4,1522,0.227
hDeltaB,PFR_b,5787,-3,182,0.031
hDeltaB,PFR_b,5787,-2,5,0.001
hDeltaB,PFR_b,5787,-1,3,0.001
hDeltaB,PFR_b,5787,0,230,0.04
hDeltaB,PFR_b,5787,1,1150,0.199
hDeltaB,PFR_b,5787,2,1453,0.251
hDeltaB,PFR_b,5787,3,1423,0.246
hDeltaB,PFR_b,5787,4,1341,0.232
PFGs,hDeltaK,4790,-3,929,0.194
PFGs,hDeltaK,4790,-2,1207,0.252
PFGs,hDeltaK,4790,-1,1025,0.214
PFGs,hDeltaK,4790,0,292,0.061
PFGs,hDeltaK,4790,1,5,0.001
PFGs,hDeltaK,4790,2,1,0.0
PFGs,hDeltaK,4790,3,368,0.077
PFGs,hDeltaK,4790,4,963,0.201
hDeltaB,hDeltaK,4672,-3,474,0.101
hDeltaB,hDeltaK,4672,-2,1718,0.368
hDeltaB,hDeltaK,4672,-1,188,0.04
hDeltaB,hDeltaK,4672,0,30,0.006
hDeltaB,hDeltaK,4672,1,167,0.036
hDeltaB,hDeltaK,4672,2,1514,0.324
hDeltaB,hDeltaK,4672,3,537,0.115
hDeltaB,hDeltaK,4672,4,44,0.009
PFNv,hDeltaB,4344,-3,1,0.0
PFNv,hDeltaB,4344,-1,78,0.018
PFNv,hDeltaB,4344,0,933,0.215
PFNv,hDeltaB,4344,1,1277,0.294
PFNv,hDeltaB,4344,2,1303,0.3
PFNv,hDeltaB,4344,3,664,0.153
PFNv,hDeltaB,4344,4,88,0.02
hDeltaB,hDeltaJ,4232,-3,292,0.069
hDeltaB,hDeltaJ,4232,-2,623,0.147
hDeltaB,hDeltaJ,4232,-1,386,0.091
hDeltaB,hDeltaJ,4232,0,1496,0.353
hDeltaB,hDeltaJ,4232,1,509,0.12
hDeltaB,hDeltaJ,4232,2,626,0.148
hDeltaB,hDeltaJ,4232,3,293,0.069
hDeltaB,hDeltaJ,4232,4,7,0.002
PFNa,FC1B,4078,-2,22,0.005
PFNa,FC1B,4078,-1,779,0.191
PFNa,FC1B,4078,0,2193,0.538
PFNa,FC1B,4078,1,1030,0.253
PFNa,FC1B,4078,2,54,0.013
hDeltaB,vDeltaM,4009,-3,60,0.015
hDeltaB,vDeltaM,4009,-2,3,0.001
hDeltaB,vDeltaM,4009,-1,13,0.003
hDeltaB,vDeltaM,4009,0,162,0.04
hDeltaB,vDeltaM,4009,1,834,0.208
hDeltaB,vDeltaM,4009,2,1096,0.273
hDeltaB,vDeltaM,4009,3,1066,0.266
hDeltaB,vDeltaM,4009,4,775,0.193
hDeltaA,PFL3,3881,-3,133,0.034
hDeltaA,PFL3,3881,-2,8,0.002
hDeltaA,PFL3,3881,-1,1,0.0
hDeltaA,PFL3,3881,0,206,0.053
hDeltaA,PFL3,3881,1,929,0.239
hDeltaA,PFL3,3881,2,855,0.22
hDeltaA,PFL3,3881,3,807,0.208
hDeltaA,PFL3,3881,4,942,0.243
hDeltaB,hDeltaI,3575,-3,97,0.027
hDeltaB,hDeltaI,3575,-2,222,0.062
hDeltaB,hDeltaI,3575,-1,433,0.121
hDeltaB,hDeltaI,3575,0,1720,0.481
hDeltaB,hDeltaI,3575,1,637,0.178
hDeltaB,hDeltaI,3575,2,312,0.087
hDeltaB,hDeltaI,3575,3,145,0.041
hDeltaB,hDeltaI,3575,4,9,0.003
hDeltaI,PFL3,3468,-3,121,0.035
hDeltaI,PFL3,3468,-1,1,0.0
hDeltaI,PFL3,3468,0,118,0.034
hDeltaI,PFL3,3468,1,811,0.234
hDeltaI,PFL3,3468,2,895,0.258
hDeltaI,PFL3,3468,3,839,0.242
hDeltaI,PFL3,3468,4,683,0.197
PFNd,PFR_a,3430,-1,19,0.006
PFNd,PFR_a,3430,0,1810,0.528
PFNd,PFR_a,3430,1,1589,0.463
PFNd,PFR_a,3430,2,12,0.003
vDeltaA_a,hDeltaD,3285,-3,221,0.067
vDeltaA_a,hDeltaD,3285,-2,124,0.038
vDeltaA_a,hDeltaD,3285,-1,670,0.204
vDeltaA_a,hDeltaD,3285,0,676,0.206
vDeltaA_a,hDeltaD,3285,1,238,0.072
vDeltaA_a,hDeltaD,3285,2,75,0.023
vDeltaA_a,hDeltaD,3285,3,608,0.185
vDeltaA_a,hDeltaD,3285,4,673,0.205
vDeltaA_a,vDeltaA_a,3266,-3,52,0.016
vDeltaA_a,vDeltaA_a,3266,-2,214,0.066
vDeltaA_a,vDeltaA_a,3266,-1,729,0.223
vDeltaA_a,vDeltaA_a,3266,0,1228,0.376
vDeltaA_a,vDeltaA_a,3266,1,693,0.212
vDeltaA_a,vDeltaA_a,3266,2,227,0.07
vDeltaA_a,vDeltaA_a,3266,3,70,0.021
vDeltaA_a,vDeltaA_a,3266,4,53,0.016
hDeltaL,FC2C,3187,-3,339,0.106
hDeltaL,FC2C,3187,-2,17,0.005
hDeltaL,FC2C,3187,-1,28,0.009
hDeltaL,FC2C,3187,0,288,0.09
hDeltaL,FC2C,3187,1,496,0.156
hDeltaL,FC2C,3187,2,481,0.151
hDeltaL,FC2C,3187,3,767,0.241
hDeltaL,FC2C,3187,4,771,0.242
