type_pre,type_post,total,mean_offset_deg,resultant_length,ncol_pre,ncol_post
PFNd,hDeltaB,20165,187.7,0.216,8,12
PFNa,PFNa,13850,172.1,0.02,9,9
PFNv,PFNv,9048,172.7,0.106,9,9
FR1,FR1,8694,177.2,0.119,9,9
PFNd,PFNd,8109,4.1,0.013,8,8
hDeltaB,PFR_a,6717,194.6,0.931,12,9
hDeltaB,PFR_b,5787,196.2,0.911,12,9
PFGs,hDeltaK,4790,164.6,0.922,9,12
hDeltaB,hDeltaK,4672,180.2,0.944,12,12
PFNv,hDeltaB,4344,343.0,0.841,9,12
hDeltaB,hDeltaJ,4232,6.3,0.153,12,12
PFNa,FC1B,4078,3.5,0.853,9,9
hDeltaB,vDeltaM,4009,194.7,0.881,12,9
hDeltaA,PFL3,3881,193.7,0.916,12,9
hDeltaB,hDeltaI,3575,4.0,0.596,12,12
hDeltaI,PFL3,3468,192.5,0.901,12,9
PFNd,PFR_a,3430,20.8,0.919,8,9
vDeltaA_a,hDeltaD,3285,306.9,0.03,9,8
vDeltaA_a,vDeltaA_a,3266,1.6,0.686,9,9
hDeltaL,FC2C,3187,198.0,0.881,12,9
hDeltaB,FR1,3168,195.5,0.922,12,9
vDeltaK,hDeltaA,3168,345.0,0.394,9,12
hDeltaB,PFGs,3125,196.8,0.944,12,9
vDeltaB,hDeltaE,3102,159.3,0.169,9,8
hDeltaJ,FC2A,3062,193.7,0.877,12,9
vDeltaM,vDeltaK,3058,1.9,0.896,9,9
vDeltaD,hDeltaL,2858,210.4,0.038,9,12
hDeltaK,PFGs,2846,196.0,0.924,12,9
PFNa,FC1A,2823,359.4,0.862,9,9
FC2C,PFL3,2700,1.9,0.895,9,9
PFR_a,hDeltaA,2666,249.5,0.02,9,12
hDeltaJ,FC2B,2573,195.1,0.883,12,9
PFNa,FC1F,2542,358.0,0.84,9,8
FC2A,PFL3,2512,359.4,0.888,9,9
FC2B,PFL3,2478,1.3,0.879,9,9
hDeltaH,FC2B,2437,202.0,0.858,8,9
hDeltaM,PFL3,2428,201.6,0.904,8,9
hDeltaC,FC2B,2414,194.7,0.885,12,9
vDeltaL,hDeltaA,2406,344.6,0.246,9,12
vDeltaE,hDeltaG,2405,166.4,0.124,9,8
vDeltaM,hDeltaA,2250,346.4,0.444,9,12
PFNm_b,PFNm_b,2231,357.3,0.19,9,9
hDeltaF,FC2C,2223,210.8,0.855,6,9
hDeltaB,hDeltaA,2216,1.3,0.794,12,12
hDeltaE,FC2C,2207,203.8,0.886,8,9
PFR_b,PFR_a,2199,358.5,0.485,9,9
hDeltaA,PFR_a,2195,194.5,0.93,12,9
hDeltaB,vDeltaL,2094,192.6,0.901,12,9
PFNa,FC1D,2038,358.8,0.868,9,9
FC2C,PFL2,2013,359.7,0.884,9,9
hDeltaI,PFL2,1942,194.0,0.895,12,9
hDeltaL,FS2,1885,193.0,0.865,12,9
vDeltaA_b,hDeltaD,1848,162.6,0.103,9,8
vDeltaG,hDeltaH,1789,340.0,0.278,9,8
vDeltaC,hDeltaL,1759,164.4,0.59,9,12
PFR_b,PFR_b,1722,182.7,0.16,9,9
hDeltaG,FC2B,1711,201.6,0.857,8,9
PFNm_a,PFNm_b,1644,1.5,0.131,9,9
vDeltaA_b,hDeltaE,1628,343.2,0.066,9,8
hDeltaC,vDeltaE,1604,195.1,0.864,12,9
PFNd,hDeltaA,1587,186.2,0.94,8,12
vDeltaF,hDeltaG,1582,337.2,0.285,9,8
hDeltaC,hDeltaF,1578,348.4,0.149,12,6
hDeltaM,PFL2,1555,202.7,0.915,8,9
vDeltaF,hDeltaH,1464,154.3,0.286,9,8
hDeltaG,FC2C,1460,206.4,0.877,8,9
hDeltaH,PFL3,1448,203.2,0.895,8,9
hDeltaA,PFL2,1447,195.6,0.898,12,9
hDeltaB,FS2,1413,197.8,0.926,12,9
PFNm_a,PFNm_a,1403,319.3,0.051,9,9
hDeltaA,hDeltaI,1388,182.9,0.846,12,12
hDeltaD,FC2C,1372,203.1,0.903,8,9
FC1D,PFL1,1349,358.6,0.857,9,9
PFNa,hDeltaJ,1338,343.6,0.888,9,12
PFNm_b,PFNm_a,1320,348.6,0.104,9,9
PFR_b,PFGs,1310,360.0,0.903,9,9
PFNa,hDeltaC,1275,343.5,0.923,9,12
hDeltaC,vDeltaD,1262,196.9,0.879,12,9
PFR_b,hDeltaH,1261,356.2,0.025,9,8
FC3_a,PFR_a,1261,359.4,0.933,9,9
vDeltaI_a,hDeltaH,1250,339.7,0.812,9,8
hDeltaG,FS2,1241,200.7,0.874,8,9
FC2B,PFL2,1230,0.9,0.88,9,9
hDeltaD,FS4A,1227,200.3,0.871,8,9
FC3_b,PFR_a,1211,356.8,0.911,9,9
vDeltaA_a,FS4A,1194,2.4,0.775,9,9
vDeltaI_a,FC2A,1164,1.6,0.841,9,9
hDeltaH,PFR_a,1148,201.7,0.899,8,9
PFNa,FC3_c,1137,355.1,0.851,9,9
vDeltaC,hDeltaE,1112,161.7,0.107,9,8
vDeltaM,vDeltaL,1106,0.1,0.861,9,9
hDeltaD,vDeltaB,1092,203.2,0.855,8,9
hDeltaC,vDeltaF,1092,197.0,0.888,12,9
FC2A,PFL2,1090,359.1,0.892,9,9
