type_pre,type_post,column_offset,weight
FC2A,PFL3,-2,11
FC2A,PFL3,-1,459
FC2A,PFL3,0,1603
FC2A,PFL3,1,430
FC2A,PFL3,2,9
FC2A,PFL2,-1,209
FC2A,PFL2,0,694
FC2A,PFL2,1,185
FC2A,PFL2,2,2
FC2A,FC2A,-4,40
FC2A,FC2A,-3,37
FC2A,FC2A,-2,27
FC2A,FC2A,-1,90
FC2A,FC2A,0,67
FC2A,FC2A,1,99
FC2A,FC2A,2,41
FC2A,FC2A,3,46
FC2A,FC2A,4,44
FC2A,FC2B,-4,8
FC2A,FC2B,-3,8
FC2A,FC2B,-2,5
FC2A,FC2B,-1,13
FC2A,FC2B,0,57
FC2A,FC2B,1,13
FC2A,FC2B,2,4
FC2A,FC2B,3,8
FC2A,FC2B,4,6
FC2A,FC2C,-1,6
FC2A,FC2C,0,19
FC2A,FC2C,1,2
FC2B,PFL3,-2,9
FC2B,PFL3,-1,431
FC2B,PFL3,0,1538
FC2B,PFL3,1,473
FC2B,PFL3,2,27
FC2B,PFL2,-2,8
FC2B,PFL2,-1,209
FC2B,PFL2,0,773
FC2B,PFL2,1,228
FC2B,PFL2,2,12
FC2B,FC2A,-4,7
FC2B,FC2A,-3,9
FC2B,FC2A,-2,1
FC2B,FC2A,-1,13
FC2B,FC2A,0,74
FC2B,FC2A,1,18
FC2B,FC2A,2,8
FC2B,FC2A,3,6
FC2B,FC2A,4,1
FC2B,FC2B,-4,15
FC2B,FC2B,-3,8
FC2B,FC2B,-2,19
FC2B,FC2B,-1,42
FC2B,FC2B,0,64
FC2B,FC2B,1,41
FC2B,FC2B,2,20
FC2B,FC2B,3,16
FC2B,FC2B,4,28
FC2B,FC2C,-4,5
FC2B,FC2C,-3,11
FC2B,FC2C,-2,7
FC2B,FC2C,-1,24
FC2B,FC2C,0,134
FC2B,FC2C,1,24
FC2B,FC2C,2,8
FC2B,FC2C,3,7
FC2B,FC2C,4,8
FC2C,PFL3,-2,8
FC2C,PFL3,-1,394
FC2C,PFL3,0,1786
FC2C,PFL3,1,496
FC2C,PFL3,2,16
FC2C,PFL2,-2,26
FC2C,PFL2,-1,331
FC2C,PFL2,0,1303
FC2C,PFL2,1,344
FC2C,PFL2,2,9
FC2C,FC2A,-1,6
FC2C,FC2A,0,41
FC2C,FC2A,1,6
FC2C,FC2A,2,1
FC2C,FC2B,-4,6
FC2C,FC2B,-3,9
FC2C,FC2B,-2,2
FC2C,FC2B,-1,20
FC2C,FC2B,0,115
FC2C,FC2B,1,27
FC2C,FC2B,2,3
FC2C,FC2B,3,9
FC2C,FC2B,4,10
FC2C,FC2C,-4,39
FC2C,FC2C,-3,32
FC2C,FC2C,-2,50
FC2C,FC2C,-1,80
FC2C,FC2C,0,210
FC2C,FC2C,1,87
FC2C,FC2C,2,47
FC2C,FC2C,3,33
FC2C,FC2C,4,29
hDeltaB,PFL3,1,1
hDeltaB,PFL3,3,20
hDeltaB,PFL3,4,11
hDeltaB,PFL2,2,1
hDeltaB,PFL2,3,11
hDeltaB,PFL2,4,2
hDeltaB,FC2A,2,2
hDeltaB,FC2A,3,16
hDeltaB,FC2A,4,3
hDeltaB,FC2B,-4,17
hDeltaB,FC2B,-1,1
hDeltaB,FC2B,0,1
hDeltaB,FC2B,2,12
hDeltaB,FC2B,3,9
hDeltaB,FC2B,4,12
hDeltaB,FC2C,2,13
hDeltaB,FC2C,3,17
hDeltaB,FC2C,4,43
