fc2_subtype,direction,partner_type,weight
FC2A,in,hDeltaJ,3062
FC2A,in,PFNp_b,1595
FC2A,in,FC2A,491
FC2A,in,PFNp_c,457
FC2A,in,hDeltaM,383
FC2A,in,PFNp_a,296
FC2A,in,hDeltaH,251
FC2A,in,PFNp_d,248
FC2A,in,PFR_a,212
FC2A,in,FC2B,137
FC2A,in,PFNp_e,120
FC2A,in,FC3_b,103
FC2A,in,hDeltaA,94
FC2A,in,PFNm_a,74
FC2A,in,FC3_a,72
FC2A,in,hDeltaI,59
FC2A,in,FC2C,54
FC2A,in,hDeltaC,45
FC2A,in,FC1B,24
FC2A,in,hDeltaB,21
FC2A,in,FC3_c,21
FC2A,in,FC1A,19
FC2A,in,FC1D,17
FC2A,in,PFL3,16
FC2A,in,FC1F,16
FC2A,in,FC1E,14
FC2A,in,PFNm_b,13
FC2A,in,PFR_b,12
FC2A,in,PFNv,11
FC2A,in,FC1C_b,10
FC2A,in,PFNa,10
FC2A,in,FC1C_a,9
FC2A,in,EPGt,7
FC2A,in,PFL1,6
FC2A,in,PFNd,5
FC2A,in,EPG,3
FC2A,in,PFGs,3
FC2A,in,PFL2,3
FC2A,in,EL,2
FC2A,in,PEN_b(PEN2),1
FC2A,out,PFL3,2512
FC2A,out,PFL2,1090
FC2A,out,FC2A,491
FC2A,out,hDeltaM,452
FC2A,out,hDeltaA,154
FC2A,out,FC2B,122
FC2A,out,hDeltaJ,118
FC2A,out,hDeltaI,48
FC2A,out,hDeltaH,35
FC2A,out,PFR_a,30
FC2A,out,FC2C,27
FC2A,out,hDeltaC,27
FC2A,out,PFR_b,23
FC2A,out,FC1E,18
FC2A,out,FC1D,17
FC2A,out,hDeltaK,16
FC2A,out,PFL1,14
FC2A,out,FC3_b,13
FC2A,out,FC1C_b,13
FC2A,out,FC3_a,9
FC2A,out,PFNp_b,9
FC2A,out,FC,8
FC2A,out,PFNp_d,8
FC2A,out,PFNd,6
FC2A,out,PFNp_a,6
FC2A,out,FC1C_a,6
FC2A,out,FC1A,5
FC2A,out,hDeltaB,5
FC2A,out,EPG,4
FC2A,out,PFGs,4
FC2A,out,ER1_b,4
FC2A,out,FC3_c,4
FC2A,out,PFNp_c,3
FC2A,out,PFNa,3
FC2A,out,FC1B,3
FC2A,out,FC1F,3
FC2A,out,PFNm_b,2
FC2A,out,PFNp_e,2
FC2A,out,hDeltaG,1
FC2A,out,EL,1
FC2A,out,hDeltaL,1
FC2A,out,EPGt,1
FC2A,out,PEG,1
FC2B,in,hDeltaJ,2573
FC2B,in,hDeltaH,2437
FC2B,in,hDeltaC,2414
FC2B,in,hDeltaG,1711
FC2B,in,hDeltaM,958
FC2B,in,PFNp_b,838
FC2B,in,hDeltaL,594
FC2B,in,PFNp_c,561
FC2B,in,PFR_a,337
FC2B,in,PFNm_a,297
FC2B,in,FC2B,253
FC2B,in,FC2C,201
FC2B,in,hDeltaF,191
FC2B,in,PFNp_d,124
FC2B,in,FC2A,122
FC2B,in,FC3_a,94
FC2B,in,PFNm_b,84
FC2B,in,FC3_b,68
FC2B,in,hDeltaB,52
FC2B,in,hDeltaI,38
FC2B,in,FC3_c,38
FC2B,in,FC1B,37
FC2B,in,hDeltaA,33
FC2B,in,PFNp_a,27
FC2B,in,PFR_b,25
FC2B,in,FC1D,20
FC2B,in,PFNp_e,18
FC2B,in,PFNv,15
FC2B,in,hDeltaE,13
FC2B,in,FC1F,12
FC2B,in,EPGt,10
FC2B,in,FC1A,10
FC2B,in,FC1E,10
FC2B,in,PFNd,9
FC2B,in,PFNa,8
FC2B,in,FC1C_b,7
FC2B,in,FC1C_a,6
FC2B,in,EPG,5
FC2B,in,hDeltaD,4
FC2B,in,PFL3,4
FC2B,in,PFGs,3
FC2B,in,FC,3
FC2B,in,EL,2
FC2B,in,hDeltaK,2
FC2B,in,PEG,1
FC2B,out,PFL3,2478
FC2B,out,PFL2,1230
FC2B,out,hDeltaM,1073
FC2B,out,FC2B,253
FC2B,out,FC2C,228
FC2B,out,hDeltaC,156
FC2B,out,FC2A,137
FC2B,out,hDeltaH,128
FC2B,out,hDeltaJ,117
FC2B,out,hDeltaG,81
FC2B,out,PFR_a,48
FC2B,out,FC,25
FC2B,out,hDeltaA,24
FC2B,out,PFR_b,24
FC2B,out,hDeltaK,22
FC2B,out,FC3_a,21
FC2B,out,hDeltaI,19
FC2B,out,FC3_b,18
FC2B,out,FC1D,17
FC2B,out,FC3_c,14
FC2B,out,hDeltaL,13
FC2B,out,FC1B,10
FC2B,out,PFGs,10
FC2B,out,hDeltaB,9
FC2B,out,EPG,9
FC2B,out,FC1F,9
FC2B,out,FC1E,8
FC2B,out,PFL1,7
FC2B,out,FC1C_a,7
FC2B,out,hDeltaF,4
FC2B,out,FC1C_b,3
FC2B,out,PFNv,1
FC2B,out,EL,1
FC2B,out,PFNa,1
FC2B,out,PFNd,1
FC2C,in,hDeltaL,3187
FC2C,in,hDeltaF,2223
FC2C,in,hDeltaE,2207
FC2C,in,hDeltaG,1460
FC2C,in,hDeltaD,1372
FC2C,in,hDeltaC,980
FC2C,in,PFNm_b,814
FC2C,in,PFNm_a,749
FC2C,in,FC2C,607
FC2C,in,PFNp_c,503
FC2C,in,PFNp_b,383
FC2C,in,FC2B,228
FC2C,in,FC1E,109
FC2C,in,hDeltaJ,97
FC2C,in,FC1D,96
FC2C,in,hDeltaH,88
FC2C,in,hDeltaB,73
FC2C,in,PFR_a,57
FC2C,in,FC3_c,45
FC2C,in,PFNp_d,41
FC2C,in,PFNd,37
FC2C,in,PFNa,32
FC2C,in,hDeltaM,29
FC2C,in,FC3_a,29
FC2C,in,hDeltaI,28
FC2C,in,PFGs,28
FC2C,in,PFNv,27
FC2C,in,FC2A,27
FC2C,in,FC1A,27
FC2C,in,FC1C_b,23
FC2C,in,PFNp_e,21
FC2C,in,PFR_b,19
FC2C,in,FC1B,18
FC2C,in,EPG,17
FC2C,in,FC1C_a,15
FC2C,in,FC1F,14
FC2C,in,FC3_b,14
FC2C,in,hDeltaK,13
FC2C,in,PFNp_a,10
FC2C,in,PFL3,8
FC2C,in,hDeltaA,8
FC2C,in,EL,4
FC2C,in,PFL1,3
FC2C,in,PEG,1
FC2C,in,PEN_b(PEN2),1
FC2C,in,PFL2,1
FC2C,in,PEN_a(PEN1),1
FC2C,in,EPGt,1
FC2C,out,PFL3,2700
FC2C,out,PFL2,2013
FC2C,out,hDeltaM,665
FC2C,out,FC2C,607
FC2C,out,FC2B,201
FC2C,out,hDeltaG,110
FC2C,out,hDeltaC,109
FC2C,out,hDeltaL,103
FC2C,out,FC2A,54
FC2C,out,hDeltaI,50
FC2C,out,hDeltaF,47
FC2C,out,FC,42
FC2C,out,PFGs,39
FC2C,out,hDeltaE,33
FC2C,out,hDeltaH,28
FC2C,out,hDeltaK,26
FC2C,out,hDeltaJ,26
FC2C,out,FC3_a,26
FC2C,out,FC3_b,23
FC2C,out,FC1E,22
FC2C,out,FC1C_b,22
FC2C,out,PFR_b,19
FC2C,out,FC1D,18
FC2C,out,FC3_c,18
FC2C,out,PFNp_b,17
FC2C,out,EPG,14
FC2C,out,FC1B,14
FC2C,out,FC1F,13
FC2C,out,PFNa,11
FC2C,out,FC1C_a,11
FC2C,out,PFNm_b,9
FC2C,out,PFL1,9
FC2C,out,hDeltaA,9
FC2C,out,FC1A,8
FC2C,out,hDeltaB,8
FC2C,out,PFR_a,8
FC2C,out,PFNp_c,7
FC2C,out,PFNm_a,7
FC2C,out,PFNv,7
FC2C,out,PFNp_a,4
FC2C,out,PFNd,4
FC2C,out,PFNp_e,3
FC2C,out,hDeltaD,3
FC2C,out,PFNp_d,2
FC2C,out,EPGt,1
FC2C,out,PEG,1
FC2C,out,PEN_b(PEN2),1
