type_pre,side_pre,type_post,offset_wedges,weight
PEN_b(PEN2),L,EPG,-5,43
PEN_b(PEN2),L,EPG,-4,432
PEN_b(PEN2),L,EPG,-3,1460
PEN_b(PEN2),L,EPG,-2,1681
PEN_b(PEN2),L,EPG,-1,511
PEN_b(PEN2),L,EPG,0,35
PEN_b(PEN2),L,EPG,1,8
PEN_b(PEN2),L,PEN_a(PEN1),-7,8
PEN_b(PEN2),L,PEN_a(PEN1),-6,104
PEN_b(PEN2),L,PEN_a(PEN1),-5,38
PEN_b(PEN2),L,PEN_a(PEN1),-4,139
PEN_b(PEN2),L,PEN_a(PEN1),-3,2
PEN_b(PEN2),L,PEN_a(PEN1),-2,109
PEN_b(PEN2),L,PEN_a(PEN1),0,196
PEN_b(PEN2),L,PEN_a(PEN1),2,108
PEN_b(PEN2),L,PEN_a(PEN1),4,127
PEN_b(PEN2),L,PEN_a(PEN1),6,100
PEN_b(PEN2),L,PEN_a(PEN1),8,142
PEN_b(PEN2),L,PEN_b(PEN2),-7,3
PEN_b(PEN2),L,PEN_b(PEN2),-6,242
PEN_b(PEN2),L,PEN_b(PEN2),-5,153
PEN_b(PEN2),L,PEN_b(PEN2),-4,380
PEN_b(PEN2),L,PEN_b(PEN2),-3,12
PEN_b(PEN2),L,PEN_b(PEN2),-2,199
PEN_b(PEN2),L,PEN_b(PEN2),0,198
PEN_b(PEN2),L,PEN_b(PEN2),2,225
PEN_b(PEN2),L,PEN_b(PEN2),4,399
PEN_b(PEN2),L,PEN_b(PEN2),6,217
PEN_b(PEN2),L,PEN_b(PEN2),8,379
PEN_b(PEN2),L,Delta7,-5,1
PEN_b(PEN2),L,Delta7,0,5
PEN_b(PEN2),L,Delta7,1,1
PEN_b(PEN2),L,Delta7,2,1
PEN_b(PEN2),L,Delta7,4,1
PEN_b(PEN2),L,PEG,-5,1
PEN_b(PEN2),L,PEG,-4,4
PEN_b(PEN2),L,PEG,-3,33
PEN_b(PEN2),L,PEG,-2,31
PEN_b(PEN2),L,PEG,-1,3
EPG,L,PEN_b(PEN2),-5,1
EPG,L,PEN_b(PEN2),-3,830
EPG,L,PEN_b(PEN2),-2,21
EPG,L,PEN_b(PEN2),-1,136
EPG,L,PEN_b(PEN2),0,680
EPG,L,PEN_b(PEN2),2,830
EPG,L,PEN_b(PEN2),4,101
EPG,L,EPG,-6,4
EPG,L,EPG,-5,1
EPG,L,EPG,-4,58
EPG,L,EPG,-3,20
EPG,L,EPG,-2,176
EPG,L,EPG,-1,1092
EPG,L,EPG,0,1457
EPG,L,EPG,1,997
EPG,L,EPG,2,166
EPG,L,EPG,3,30
EPG,L,EPG,4,44
EPG,L,EPG,6,8
EPG,L,EPG,8,54
EPG,L,Delta7,-7,1712
EPG,L,Delta7,-6,202
EPG,L,Delta7,-5,1512
EPG,L,Delta7,-4,118
EPG,L,Delta7,-3,567
EPG,L,Delta7,-2,29
EPG,L,Delta7,-1,133
EPG,L,Delta7,0,264
EPG,L,Delta7,1,27
EPG,L,Delta7,2,217
EPG,L,Delta7,3,105
EPG,L,Delta7,4,1043
EPG,L,Delta7,5,230
EPG,L,Delta7,6,1621
EPG,L,Delta7,7,211
EPG,L,PEN_a(PEN1),-5,40
EPG,L,PEN_a(PEN1),-3,653
EPG,L,PEN_a(PEN1),-2,15
EPG,L,PEN_a(PEN1),-1,267
EPG,L,PEN_a(PEN1),0,613
EPG,L,PEN_a(PEN1),1,6
