type_pre,type_post,roi,offset_wedges,weight
PEN_b(PEN2),EPG,EB,-5,43
PEN_b(PEN2),EPG,EB,-4,432
PEN_b(PEN2),EPG,EB,-3,1454
PEN_b(PEN2),EPG,EB,-2,1678
PEN_b(PEN2),EPG,EB,-1,519
PEN_b(PEN2),EPG,EB,0,113
PEN_b(PEN2),EPG,EB,1,561
PEN_b(PEN2),EPG,EB,2,1625
PEN_b(PEN2),EPG,EB,3,1499
PEN_b(PEN2),EPG,EB,4,446
PEN_b(PEN2),EPG,EB,5,29
PEN_b(PEN2),EPG,EB,6,4
PEN_b(PEN2),PEN_a(PEN1),NO,-6,191
PEN_b(PEN2),PEN_a(PEN1),NO,-4,246
PEN_b(PEN2),PEN_a(PEN1),NO,-2,201
PEN_b(PEN2),PEN_a(PEN1),NO,0,261
PEN_b(PEN2),PEN_a(PEN1),NO,2,205
PEN_b(PEN2),PEN_a(PEN1),NO,4,239
PEN_b(PEN2),PEN_a(PEN1),NO,6,177
PEN_b(PEN2),PEN_a(PEN1),NO,8,234
PEN_b(PEN2),PEN_b(PEN2),NO,-6,427
PEN_b(PEN2),PEN_b(PEN2),NO,-4,654
PEN_b(PEN2),PEN_b(PEN2),NO,-2,395
PEN_b(PEN2),PEN_b(PEN2),NO,0,226
PEN_b(PEN2),PEN_b(PEN2),NO,2,404
PEN_b(PEN2),PEN_b(PEN2),NO,4,670
PEN_b(PEN2),PEN_b(PEN2),NO,6,405
PEN_b(PEN2),PEN_b(PEN2),NO,8,662
PEN_b(PEN2),PEN_b(PEN2),EB,-7,3
PEN_b(PEN2),PEN_b(PEN2),EB,-5,153
PEN_b(PEN2),PEN_b(PEN2),EB,-3,12
PEN_b(PEN2),PEN_b(PEN2),EB,-2,7
PEN_b(PEN2),PEN_b(PEN2),EB,0,102
PEN_b(PEN2),PEN_b(PEN2),EB,2,7
PEN_b(PEN2),PEN_b(PEN2),EB,3,12
PEN_b(PEN2),PEN_b(PEN2),EB,5,125
PEN_b(PEN2),PEN_b(PEN2),EB,7,3
PEN_b(PEN2),EPG,PB,0,4
PEN_b(PEN2),PEN_a(PEN1),EB,-7,8
PEN_b(PEN2),PEN_a(PEN1),EB,-5,37
PEN_b(PEN2),PEN_a(PEN1),EB,-3,2
PEN_b(PEN2),PEN_a(PEN1),EB,-2,4
PEN_b(PEN2),PEN_a(PEN1),EB,0,90
PEN_b(PEN2),PEN_a(PEN1),EB,2,4
PEN_b(PEN2),PEN_a(PEN1),EB,3,5
PEN_b(PEN2),PEN_a(PEN1),EB,5,29
PEN_b(PEN2),PEN_a(PEN1),EB,7,2
PEN_b(PEN2),Delta7,PB,-5,1
PEN_b(PEN2),Delta7,PB,0,11
PEN_b(PEN2),Delta7,PB,1,1
PEN_b(PEN2),Delta7,PB,2,2
PEN_b(PEN2),Delta7,PB,3,1
PEN_b(PEN2),Delta7,PB,4,1
PEN_b(PEN2),Delta7,PB,5,1
PEN_b(PEN2),Delta7,PB,7,1
PEN_b(PEN2),PEG,EB,-5,1
PEN_b(PEN2),PEG,EB,-4,4
PEN_b(PEN2),PEG,EB,-3,33
PEN_b(PEN2),PEG,EB,-2,31
PEN_b(PEN2),PEG,EB,-1,3
PEN_b(PEN2),PEG,EB,1,3
PEN_b(PEN2),PEG,EB,2,28
