pre,post,malecns,hemibrain,hemibrain_share_of_post_input
hDeltaB,hDeltaJ,4232,3365,0.124
hDeltaJ,FC2A,3062,3841,0.105
hDeltaJ,FC2B,2573,3253,0.052
FB1H,hDeltaJ,1184,1535,0.057
FB4M,hDeltaJ,625,908,0.034
FB4M,hDeltaB,3391,5625,0.138
FB4L,hDeltaB,1207,1875,0.046
OA-VPM3,hDeltaB,646,591,0.015
OA-VPM3,hDeltaJ,377,513,0.019
OA-VPM3,PFR_a,427,615,0.015
OA-VPM3,hDeltaH,361,385,0.015
OA-VPM3,PFGs,342,614,0.016
KCg-m,OA-VPM3,0,328,0.024
PFNv,FB4M,1170,797,0.06
PFNd,FB4M,701,1002,0.076
hDeltaB,FB4M,739,1153,0.087
hDeltaB,PFR_a,6717,6260,0.154
PFNd,PFR_a,3430,3182,0.078
hDeltaB,FR1,3168,3962,0.124
FR1,FR1,8694,7577,0.237
FR1,MBON30,809,695,0.038
MBON21,FB4R,756,516,0.128
MBON09,FB4R,492,347,0.086
FB4R,hDeltaB,3647,2378,0.059
FS1A_a,oviIN,780,0,0.0
FS1A_b,oviIN,633,0,0.0
FS1A_c,oviIN,598,0,0.0
FC2C,oviIN,682,287,0.008
FC2B,oviIN,631,435,0.012
oviIN,FC2C,418,275,0.007
FB3A,PFNd,5765,3911,0.087
PFNd,FB3A,4020,3283,0.401
PS196_b,GLNO,1801,0,0.0
GLNO,PEN_a(PEN1),9806,4199,0.127
ExR7,LAL013,1247,294,0.143
PFL3,LAL121,2671,1882,0.339
PFL3,DNa02,736,275,0.02
PFL2,DNa03,1571,808,0.05
EL,ER4d,4178,7643,0.157
EL,ER4m,479,731,0.045
EL,ER3p_a,3253,3835,0.379
EPG,ER4m,4487,2204,0.137
EPG,ER6,4580,1745,0.35
ER5,EL,10073,10997,0.142
hDeltaM,PFL3,2428,2463,0.039
hDeltaA,PFL3,3881,3864,0.061
hDeltaI,PFL3,3468,3214,0.051
FC2C,PFL3,2700,2366,0.037
hDeltaK,PFGs,2846,7890,0.21
PFGs,hDeltaK,4790,7453,0.273
FB6A_c,hDeltaK,1149,0,0.0
ExR6,EPG,6236,5296,0.031
ExR4,PEN_b(PEN2),5030,3398,0.093
P6-8P9,EPGt,414,177,0.072
IbSpsP,PFNd,2215,3048,0.067
vDeltaA_a,hDeltaD,3285,3035,0.165
