type,n_cells,total_in,total_out
(untyped),70974,4359950,6058805
5-HTPLP01,1,3746,5902
5-HTPMPD01,2,5057,5293
5-HTPMPV01,2,5384,6858
5-HTPMPV03,2,9487,15845
AL-AST1,2,4320,1160
AL-MBDL1,1,4032,19
ALBN1,2,7722,3332
ALIN1,2,2501,1728
ALIN2,1,3591,2471
ALIN3,2,892,1416
AMMC-A1,2,15190,179
AOTU001,3,1632,598
AOTU002_a,3,1374,334
AOTU002_b,4,2031,691
AOTU003,3,1470,1307
AOTU004,3,1184,1012
AOTU005,1,1925,2054
AOTU006,1,1610,991
AOTU007,6,3430,3683
AOTU008_a,8,4460,2895
AOTU008_b,3,730,516
AOTU009,1,3267,1526
AOTU010,1,517,300
AOTU011,2,2744,1131
AOTU012,1,2840,1997
AOTU013,1,1124,1427
AOTU014,1,3308,1946
AOTU015,3,4913,2954
AOTU016,5,6059,5019
AOTU017,4,1947,2112
AOTU018,1,413,467
AOTU019,2,19119,9477
AOTU020,2,1542,1357
AOTU021,1,679,800
AOTU022,1,564,1105
AOTU023,2,3694,3442
AOTU024,1,563,858
AOTU025,1,4996,2584
AOTU026,1,1802,2309
AOTU027,1,1945,1832
AOTU028,1,720,1154
AOTU029,1,2418,1491
AOTU030,1,765,1132
AOTU031,1,333,394
AOTU032,3,1366,1646
AOTU033,1,4545,3480
AOTU034,1,472,592
AOTU035,2,8120,6258
AOTU036,1,336,1
AOTU037,2,1257,313
AOTU038,4,811,263
AOTU039,4,785,358
AOTU040,3,591,342
AOTU041,4,20497,10708
AOTU042,4,15828,10369
AOTU043,2,1184,1386
AOTU044,4,2379,2524
AOTU045,1,427,811
AOTU046,4,6593,8056
AOTU047,1,598,800
AOTU048,1,993,771
AOTU049,2,1900,1257
AOTU050,5,2905,3488
AOTU051,2,1394,1010
AOTU052,3,2056,1375
AOTU053,2,1141,636
AOTU054,1,364,299
AOTU055,1,745,395
AOTU056,5,2162,1551
AOTU057,1,285,266
AOTU058,3,986,924
AOTU059,4,760,1071
AOTU060,4,1189,1012
AOTU061,2,467,474
AOTU062,4,910,790
AOTU063,2,6167,4625
AOTU064,2,5460,3850
AOTU065,1,919,998
APL,1,121181,108587
ATL001,1,1165,1181
ATL002,1,1271,1844
ATL003,1,1261,1475
ATL004,2,708,1378
ATL005,2,3319,1255
ATL006,2,5244,3021
ATL007,2,3554,1601
ATL008,2,3531,1703
ATL009,3,1005,1490
ATL010,2,616,735
ATL011,2,2293,3007
ATL012,4,3598,4710
ATL013,3,474,1036
ATL014,2,1559,2767
ATL015,1,1124,1286
ATL016,2,1542,2201
