body_pre,body_post,weight,type_pre,type_post
513702,25549,257,hDeltaB,PFR_b
17820,31786,221,hDeltaB,PFR_b
515192,79615,221,hDeltaB,PFR_b
17816,59994,187,hDeltaB,PFR_b
515192,512179,184,hDeltaB,PFR_a
14308,454614,182,ER4m,ER4m
11512,69064,181,hDeltaB,PFR_a
41849,515192,180,PFNd,hDeltaB
519347,13434,176,ER4m,ER4m
77360,513702,173,PFNd,hDeltaB
13434,519347,171,ER4m,ER4m
14482,13434,169,ER4m,ER4m
13434,13395,167,ER4m,ER4m
454614,14308,166,ER4m,ER4m
13985,454614,166,ER4m,ER4m
515760,519347,165,ER4m,ER4m
14308,13434,164,ER4m,ER4m
30781,11512,164,PFNd,hDeltaB
25982,11512,163,PFNd,hDeltaB
454614,17402,163,ER4m,ER4m
31756,27109,163,PFNd,hDeltaB
84758,58834,163,EPG,EL
22835,11512,161,PFNd,hDeltaB
12797,454614,158,ER4m,ER4m
17820,53755,158,hDeltaB,PFR_a
13395,13434,157,ER4m,ER4m
13395,12797,155,ER4m,ER4m
34226,23090,155,PFNd,hDeltaB
17816,541755,154,hDeltaB,PFR_a
17820,69704,154,hDeltaB,hDeltaI
30781,512362,153,PFNd,hDeltaB
515760,13434,152,ER4m,ER4m
12797,14482,152,ER4m,ER4m
13985,13434,152,ER4m,ER4m
11503,45427,151,EPG,EL
11874,14552,151,EPG,EL
17402,454614,151,ER4m,ER4m
13434,14482,151,ER4m,ER4m
12797,519347,151,ER4m,ER4m
13985,14308,150,ER4m,ER4m
11987,26443,150,EPG,PEG
98874,34924,149,PFNd,hDeltaB
519347,12797,149,ER4m,ER4m
519347,515760,148,ER4m,ER4m
512362,18670,148,hDeltaB,PFR_b
512305,14871,148,EPG,EL
35461,524876,148,PFNd,hDeltaB
13395,17402,148,ER4m,ER4m
12797,16440,147,ER4m,ER4m
13434,17402,147,ER4m,ER4m
30968,17820,147,PFNd,hDeltaB
27460,17816,147,PFNd,hDeltaB
515192,515193,146,hDeltaB,PFR_a
454614,12797,146,ER4m,ER4m
513702,31627,145,hDeltaB,PFR_b
515760,12797,145,ER4m,ER4m
454614,13985,145,ER4m,ER4m
22086,73853,145,hDeltaB,hDeltaI
515192,13732,145,hDeltaB,hDeltaI
519347,454614,145,ER4m,ER4m
513283,512928,145,PEN_a(PEN1),EPG
17991,523032,145,hDeltaA,PFL3
16440,519347,145,ER4m,ER4m
19602,518830,145,hDeltaB,PFR_b
513702,74917,144,hDeltaB,PFR_a
30968,17816,144,PFNd,hDeltaB
22923,13490,144,hDeltaM,PFL2
17402,13434,143,ER4m,ER4m
27109,30181,142,hDeltaB,PFR_b
519347,13395,142,ER4m,ER4m
17402,519347,142,ER4m,ER4m
52903,513702,142,PFNd,hDeltaB
454614,13434,142,ER4m,ER4m
522993,514184,142,PFGs,hDeltaK
13434,454614,141,ER4m,ER4m
11512,13892,141,hDeltaB,PFR_b
22086,31627,141,hDeltaB,PFR_b
14482,16440,141,ER4m,ER4m
37751,20520,141,PFNd,hDeltaB
513033,20715,141,EPG,EL
515760,17402,140,ER4m,ER4m
30234,22086,140,PFNd,hDeltaB
454614,515760,140,ER4m,ER4m
17402,13395,140,ER4m,ER4m
17820,33293,140,hDeltaB,PFR_a
13434,515760,140,ER4m,ER4m
32675,532800,140,hDeltaB,PFR_b
513464,45427,139,EPG,EL
14308,13985,139,ER4m,ER4m
513517,34188,139,EPG,EL
53043,513702,139,PFNd,hDeltaB
23090,518830,139,hDeltaB,PFR_b
521634,512362,139,PFNd,hDeltaB
14482,515760,139,ER4m,ER4m
13985,17402,139,ER4m,ER4m
27109,32451,139,hDeltaB,PFR_a
22086,532800,139,hDeltaB,PFR_b
81159,17419,138,PEG,ER6
14727,14552,138,EPG,EL
17816,43881,138,hDeltaB,PFR_a
13434,12797,138,ER4m,ER4m
59969,530071,138,hDeltaA,PFL3
515464,23090,137,PFNd,hDeltaB
26913,515192,137,PFNd,hDeltaB
454614,519347,137,ER4m,ER4m
20520,16214,137,hDeltaB,PFR_b
515675,29713,137,EPG,EL
515760,14482,136,ER4m,ER4m
17402,16440,136,ER4m,ER4m
14482,12797,136,ER4m,ER4m
15713,511778,135,EPG,EL
14308,12797,135,ER4m,ER4m
513284,46073,135,EPG,EL
12797,13395,135,ER4m,ER4m
515130,519346,135,hDeltaA,PFL3
35461,13417,134,PFNd,hDeltaB
27460,17820,134,PFNd,hDeltaB
32718,521635,134,hDeltaB,PFR_b
13985,12797,134,ER4m,ER4m
14308,519347,133,ER4m,ER4m
513283,15616,133,PEN_a(PEN1),EPG
513702,57384,133,hDeltaB,PFR_a
59969,513266,132,hDeltaA,PFL3
519144,22084,132,EPG,EL
16440,17402,132,ER4m,ER4m
17816,44256,132,hDeltaB,PFGs
19100,531755,132,hDeltaB,PFR_a
13217,22084,131,EPG,EL
521409,20715,131,EPG,EL
12797,13434,131,ER4m,ER4m
13395,519347,131,ER4m,ER4m
524596,29836,131,hDeltaA,PFL3
16440,13434,131,ER4m,ER4m
34226,34924,130,PFNd,hDeltaB
14308,17402,130,ER4m,ER4m
13434,14308,130,ER4m,ER4m
43127,515192,129,PFNd,hDeltaB
35461,42739,129,PFNd,hDeltaB
11307,523807,129,EPG,PEG
14308,16440,129,ER4m,ER4m
17991,23159,129,hDeltaA,PFL3
515760,13395,129,ER4m,ER4m
17874,14729,129,hDeltaM,PFL2
31756,515192,129,PFNd,hDeltaB
34924,28146,129,hDeltaB,PFR_a
81159,516110,129,PEG,ER6
16440,12797,129,ER4m,ER4m
98874,23090,128,PFNd,hDeltaB
12797,515760,128,ER4m,ER4m
22923,519351,128,hDeltaM,PFL3
26739,32718,128,PFNd,hDeltaB
27213,42739,128,PFNd,hDeltaB
22086,19564,128,hDeltaB,PFGs
13434,13985,127,ER4m,ER4m
27213,13417,127,PFNd,hDeltaB
16440,454614,127,ER4m,ER4m
53618,45134,127,ER3p_b,ER3p_b
454614,16440,127,ER4m,ER4m
28248,27106,127,PFGs,hDeltaK
26739,32675,127,PFNd,hDeltaB
31656,16214,127,hDeltaB,PFR_b
22086,59108,127,hDeltaB,PFR_a
13985,16440,126,ER4m,ER4m
519140,517763,126,EPG,EL
14482,13395,126,ER4m,ER4m
22835,512362,126,PFNd,hDeltaB
523806,14464,126,PEG,ER6
34924,518830,126,hDeltaB,PFR_b
10539,20715,126,EPG,EL
16440,14308,126,ER4m,ER4m
513702,541855,126,hDeltaB,hDeltaK
17816,31786,125,hDeltaB,PFR_b
14308,515760,125,ER4m,ER4m
14482,14308,125,ER4m,ER4m
17801,519351,125,hDeltaA,PFL3
520581,51159,125,EPG,EL
523786,51159,125,EPG,EL
523806,512319,124,PEG,ER6
513520,46764,124,EPG,EL
17402,515760,124,ER4m,ER4m
515760,454614,124,ER4m,ER4m
16440,14482,124,ER4m,ER4m
19825,523806,124,EPG,PEG
512793,17419,124,PEG,ER6
519328,51555,124,EPG,EL
41849,27109,124,PFNd,hDeltaB
22086,24153,123,hDeltaB,hDeltaK
515295,31656,123,PFNd,hDeltaB
515192,30181,122,hDeltaB,PFR_b
49869,45134,122,ER3p_b,ER3p_b
31756,22086,122,PFNd,hDeltaB
17820,30653,122,hDeltaB,PFGs
22086,88014,122,hDeltaB,PFR_a
14308,14482,122,ER4m,ER4m
42264,21664,122,ER3d_e,ER3d_e
38334,19602,121,PFNd,hDeltaB
519347,16440,121,ER4m,ER4m
14482,17402,121,ER4m,ER4m
13395,14482,121,ER4m,ER4m
17402,14482,121,ER4m,ER4m
519347,17402,120,ER4m,ER4m
13985,515760,120,ER4m,ER4m
513283,513284,120,PEN_a(PEN1),EPG
513463,58834,120,EPG,EL
15616,525062,120,EPG,PEG
13985,14482,120,ER4m,ER4m
