bodyId,type,instance,class,superclass,somaSide,rootSide,status,hemibrainType,flywireType
10043,ER5,ER5_L,CX,cb_intrinsic,L,,Traced,ER5,ER5
10513,Delta7,Delta7(PB15)_L3R6_R,CX,cb_intrinsic,R,,Traced,Delta7,Delta7
10539,EPG,EPG(PB08)_R2,CX,cb_intrinsic,R,,Traced,EPG,EPG
10817,PFNv,PFNv(PB05)_L4_C3,CX,cb_intrinsic,L,,Traced,PFNv,PFNv
11184,Delta7,Delta7(PB15)_L1L9R8_R,CX,cb_intrinsic,R,,Traced,Delta7,Delta7
11307,EPG,EPG(PB08)_L4,CX,cb_intrinsic,L,,Traced,EPG,EPG
11503,EPG,EPG(PB08)_R8,CX,cb_intrinsic,R,,Traced,EPG,EPG
11512,hDeltaB,hDeltaB_08_C7,CX,cb_intrinsic,L,,Traced,hDeltaB,hDeltaB
11557,PFL2,PFL2(PB12b)_L3_C7,CX,cb_intrinsic,L,,Traced,PFL2,PFL2
11605,ER5,ER5_R,CX,cb_intrinsic,R,,Traced,ER5,ER5
11673,PFL2,PFL2(PB12b)_R4_C2,CX,cb_intrinsic,R,,Traced,PFL2,PFL2
11745,PFL1,PFL1(PB12a)_L1_C8_irreg,CX,cb_intrinsic,R,,Traced,PFL1,PFL1
11786,PFL1,PFL1(PB12a)_L6_C7,CX,cb_intrinsic,L,,Traced,PFL1,PFL1
11874,EPG,EPG(PB08)_L7,CX,cb_intrinsic,L,,Traced,EPG,EPG
11933,ER2_c,ER2_c_R,CX,cb_intrinsic,R,,Traced,ER2_c,ER2
11987,EPG,EPG(PB08)_R5,CX,cb_intrinsic,R,,Traced,EPG,EPG
11989,EPG,EPG(PB08)_L5,CX,cb_intrinsic,L,,Traced,EPG,EPG
12059,ER5,ER5_R,CX,cb_intrinsic,R,,Traced,ER5,ER5
12357,ER2_c,ER2_c_L,CX,cb_intrinsic,L,,Traced,ER2_c,ER2
12358,PEN_a(PEN1),PEN_a(PB06a)_L3,CX,cb_intrinsic,L,,Traced,PEN_a(PEN1),PEN_a(PEN1)
12449,EPG,EPG(PB08)_L5,CX,cb_intrinsic,L,,Traced,EPG,EPG
12797,ER4m,ER4m_R,CX,cb_intrinsic,R,,Traced,ER4m,ER4m
13031,PFL2,PFL2(PB12b)_R3_C3,CX,cb_intrinsic,R,,Traced,PFL2,PFL2
13094,ER4d,ER4d_R,CX,cb_intrinsic,R,,Traced,ER4d,ER4d
13217,EPG,EPG(PB08)_L8,CX,cb_intrinsic,L,,Traced,EPG,EPG
13392,hDeltaH,hDeltaH_14_C8,CX,cb_intrinsic,L,,Traced,hDeltaH,hDeltaH
13395,ER4m,ER4m_R,CX,cb_intrinsic,R,,Traced,ER4m,ER4m
13417,hDeltaB,hDeltaB_03_C3,CX,cb_intrinsic,R,,Traced,hDeltaB,hDeltaB
13434,ER4m,ER4m_R,CX,cb_intrinsic,R,,Traced,ER4m,ER4m
