type,side,glomerulus,column_label,n
PFGs,L,1,9,1
PFGs,L,2,2,1
PFGs,L,3,3,1
PFGs,L,4,4,1
PFGs,L,5,5,1
PFGs,L,6,6,1
PFGs,L,7,7,1
PFGs,L,8,8,1
PFGs,L,9,9,1
PFGs,R,1,1,1
PFGs,R,2,8,1
PFGs,R,3,7,1
PFGs,R,4,6,1
PFGs,R,5,5,1
PFGs,R,6,4,1
PFGs,R,7,3,1
PFGs,R,8,2,1
PFGs,R,9,1,1
PFL1,L,1,8,1
PFL1,L,2,3,1
PFL1,L,3,4,1
PFL1,L,4,5,1
PFL1,L,5,6,1
PFL1,L,6,7,1
PFL1,L,7,9,1
PFL1,R,1,2,1
PFL1,R,2,7,1
PFL1,R,3,6,1
PFL1,R,4,5,1
PFL1,R,5,4,1
PFL1,R,6,3,1
PFL1,R,7,1,1
PFL2,L,1,5,1
PFL2,L,2,6,1
PFL2,L,3,7,2
PFL2,L,4,8,1
PFL2,L,5,9,1
PFL2,R,1,5,1
PFL2,R,2,4,1
PFL2,R,3,3,2
PFL2,R,4,2,1
PFL2,R,5,1,1
PFL3,L,1,3,2
PFL3,L,1,8,1
PFL3,L,2,4,1
PFL3,L,2,9,1
PFL3,L,3,5,1
PFL3,L,4,5,1
PFL3,L,4,6,1
PFL3,L,5,7,2
PFL3,L,6,8,1
PFL3,L,7,9,1
PFL3,R,1,2,1
PFL3,R,1,7,2
PFL3,R,2,1,1
PFL3,R,2,6,1
PFL3,R,3,5,2
PFL3,R,4,4,1
PFL3,R,5,3,2
PFL3,R,6,2,1
PFL3,R,7,1,1
PFNa,L,2,1,3
PFNa,L,3,2,2
PFNa,L,4,3,6
PFNa,L,5,4,2
PFNa,L,6,5,6
PFNa,L,7,6,3
PFNa,L,8,7,4
PFNa,L,9,9,3
PFNa,R,2,9,3
PFNa,R,3,8,2
PFNa,R,4,7,6
PFNa,R,5,6,2
PFNa,R,6,5,4
PFNa,R,7,4,3
PFNa,R,8,3,4
PFNa,R,9,1,3
PFNd,L,2,1,2
PFNd,L,3,2,2
PFNd,L,4,3,4
PFNd,L,5,4,2
PFNd,L,6,5,4
PFNd,L,7,6,2
PFNd,L,8,7,2
PFNd,L,9,8,2
PFNd,R,2,8,2
PFNd,R,3,7,2
PFNd,R,4,6,4
PFNd,R,5,5,2
PFNd,R,6,4,4
PFNd,R,7,3,2
PFNd,R,8,2,2
PFNd,R,9,1,2
PFNv,L,2,1,1
PFNv,L,3,2,1
PFNv,L,4,3,2
PFNv,L,5,4,1
PFNv,L,6,5,2
PFNv,L,7,7,1
PFNv,L,8,7,1
PFNv,L,9,9,1
PFNv,R,2,9,1
PFNv,R,3,8,1
PFNv,R,4,7,2
PFNv,R,5,6,1
PFNv,R,6,5,2
PFNv,R,7,3,1
PFNv,R,8,3,1
PFNv,R,9,1,1
PFR_a,L,1,9,2
PFR_a,L,2,2,2
PFR_a,L,3,3,2
PFR_a,L,4,4,2
PFR_a,L,5,5,2
PFR_a,L,6,6,2
PFR_a,L,7,7,1
PFR_a,L,8,8,1
PFR_a,R,1,1,2
PFR_a,R,2,8,2
PFR_a,R,3,7,2
PFR_a,R,4,6,2
PFR_a,R,5,5,2
PFR_a,R,6,4,2
PFR_a,R,7,3,1
PFR_a,R,8,2,1
PFR_b,L,1,2,1
PFR_b,L,1,9,1
PFR_b,L,3,3,1
PFR_b,L,3,4,1
PFR_b,L,4,5,1
PFR_b,L,5,6,1
PFR_b,L,6,7,1
PFR_b,L,7,8,1
PFR_b,R,1,1,1
PFR_b,R,1,8,1
PFR_b,R,3,6,1
PFR_b,R,3,7,1
PFR_b,R,4,5,1
PFR_b,R,5,4,1
PFR_b,R,6,3,1
PFR_b,R,7,2,1
