type_pre,type_post,body_post,weight
PFL2,DNa03,519624,830
PFL2,DNa03,10975,741
PFL3,DNb01,10654,444
PFL3,DNa02,10360,380
PFL3,DNa02,523769,356
PFL3,DNb01,10759,309
PFL3,DNa03,519624,251
PFL3,DNpe016,802893,242
PFL3,DNa03,10975,217
PFL3,DNpe016,520485,215
PFL3,DNg97,13805,174
PFL3,DNae002,521262,168
PFL3,DNae002,11002,145
PFL2,DNb09,10411,133
PFL3,DNg97,230783,127
PFL3,DNbe006,11246,119
PFL2,DNb09,11028,111
PFL3,DNp102,11846,99
PFL3,DNbe006,13615,97
PFL2,MDN,11288,66
PFL3,DNp39,529568,62
PFL3,CB0429,10842,41
PFL2,MDN,11332,34
PFL2,DNa13,555726,33
PFL2,MDN,10763,30
PFL2,MDN,12348,25
PFL3,DNb09,11028,17
PFL2,DNpe022,531859,8
PFL3,DNb09,10411,7
PFL2,DNa11,11233,7
PFL2,DNa13,525960,6
PFL2,DNbe006,11246,6
PFL3,DNge041,10304,6
PFL2,DNa13,11066,5
PFL2,DNa02,10360,5
PFL2,DNpe023,11410,4
PFL3,DNbe003,11111,4
PFL3,DNpe003,14067,2
PFL3,DNp55,10244,2
PFL3,DNg13,11074,2
PFL3,DNpe023,11410,1
PFL2,DNpe023,521624,1
PFL3,DNpe027,515029,1
PFL3,DNg13,512006,1
PFL2,DNa13,516170,1
PFL2,DNc01,11369,1
PFL3,DNpe027,12223,1
PFL3,DNpe023,521624,1
