type,side,glomerulus,fb_column,irregular,bodyId
PFL1,L,1,8,True,11745
PFL1,L,2,3,False,523036
PFL1,L,3,4,False,519348
PFL1,L,4,5,False,519350
PFL1,L,5,6,False,39567
PFL1,L,6,7,False,11786
PFL1,L,7,9,False,523034
PFL1,R,1,2,True,519349
PFL1,R,2,7,False,20279
PFL1,R,3,6,False,18625
PFL1,R,4,5,False,76931
PFL1,R,5,4,False,19269
PFL1,R,6,3,False,520579
PFL1,R,7,1,False,14663
PFL2,L,1,5,False,13490
PFL2,L,2,6,False,511842
PFL2,L,3,7,False,11557
PFL2,L,3,7,False,27492
PFL2,L,4,8,False,19715
PFL2,L,5,9,False,513034
PFL2,R,1,5,False,14729
PFL2,R,2,4,False,522853
PFL2,R,3,3,False,13031
PFL2,R,3,3,False,518375
PFL2,R,4,2,False,11673
PFL2,R,5,1,False,520573
PFL3,L,1,3,False,17000
PFL3,L,1,3,False,108478
PFL3,L,1,8,True,18851
PFL3,L,2,4,False,523032
PFL3,L,2,9,True,19009
PFL3,L,3,5,False,530071
PFL3,L,4,5,False,519351
PFL3,L,4,6,False,29836
PFL3,L,5,7,False,26038
PFL3,L,5,7,False,513032
PFL3,L,6,8,False,17290
PFL3,L,7,9,False,519346
PFL3,R,1,2,True,17286
PFL3,R,1,7,False,18803
PFL3,R,1,7,False,35322
PFL3,R,2,1,True,15210
PFL3,R,2,6,False,18327
PFL3,R,3,5,False,513266
PFL3,R,3,5,False,567101
PFL3,R,4,4,False,23159
PFL3,R,5,3,False,26488
PFL3,R,5,3,False,518378
PFL3,R,6,2,False,520811
PFL3,R,7,1,False,79549
