pfl_type,body_post,target_type,target_instance,target_superclass,target_nt,weight,from_L,from_R,target_total_input,pfl_share_of_input
PFL1,10725,LAL047,LAL047_L,cb_intrinsic,gaba,2137,0,2137,4623,0.462
PFL1,531732,LAL047,LAL047_R,cb_intrinsic,gaba,1949,1949,0,4751,0.41
PFL3,529489,LAL121,LAL121_R,cb_intrinsic,glutamate,1346,1330,16,3698,0.364
PFL3,13692,LAL121,LAL121_L,cb_intrinsic,glutamate,1325,7,1318,3562,0.372
PFL3,10070,AOTU019,AOTU019_L,cb_intrinsic,gaba,1016,0,1016,30714,0.033
PFL3,10005,AOTU019,AOTU019_R,cb_intrinsic,gaba,980,980,0,31981,0.031
PFL2,519624,DNa03,DNa03_L,descending_neuron,acetylcholine,830,386,444,18053,0.046
PFL3,553194,VES054,VES054_L,cb_intrinsic,acetylcholine,797,0,797,3448,0.231
PFL2,16735,LAL076,LAL076_L,cb_intrinsic,glutamate,762,350,412,3128,0.244
PFL2,10975,DNa03,DNa03_R,descending_neuron,acetylcholine,741,382,359,16796,0.044
PFL3,521815,VES054,VES054_R,cb_intrinsic,acetylcholine,739,739,0,3777,0.196
PFL3,519925,LAL040,LAL040_L,cb_intrinsic,gaba,671,0,671,9263,0.072
PFL3,10875,AOTU042,AOTU042_L,cb_intrinsic,gaba,653,0,653,10899,0.06
PFL3,532906,LAL141,LAL141_L,cb_intrinsic,acetylcholine,634,0,634,5369,0.118
PFL2,521527,LAL073,LAL073_L,cb_intrinsic,glutamate,607,292,315,9757,0.062
PFL2,24688,LAL076,LAL076_R,cb_intrinsic,glutamate,584,304,280,2749,0.212
PFL2,11490,LAL073,LAL073_R,cb_intrinsic,glutamate,583,292,291,9182,0.063
PFL3,10212,AOTU042,AOTU042_L,cb_intrinsic,gaba,566,0,566,10679,0.053
PFL3,12347,LAL141,LAL141_R,cb_intrinsic,acetylcholine,563,563,0,4320,0.13
PFL3,11571,AOTU042,AOTU042_R,cb_intrinsic,gaba,559,559,0,10445,0.054
PFL3,200284,LAL040,LAL040_R,cb_intrinsic,gaba,550,550,0,7627,0.072
PFL1,29949,LAL048,LAL048_L,cb_intrinsic,gaba,530,0,530,1079,0.491
PFL3,11634,CRE041,CRE041_L,cb_intrinsic,gaba,510,0,510,10491,0.049
PFL3,10239,AOTU042,AOTU042_R,cb_intrinsic,gaba,509,509,0,10079,0.051
PFL3,10654,DNb01,DNb01_L,descending_neuron,glutamate,444,0,444,8170,0.054
PFL1,33380,LAL048,LAL048_L,cb_intrinsic,gaba,416,0,416,1193,0.349
PFL3,24688,LAL076,LAL076_R,cb_intrinsic,glutamate,413,399,14,2749,0.15
PFL3,16735,LAL076,LAL076_L,cb_intrinsic,glutamate,410,27,383,3128,0.131
PFL3,534301,CRE041,CRE041_R,cb_intrinsic,gaba,400,400,0,8360,0.048
PFL1,89472,LAL048,LAL048_L,cb_intrinsic,gaba,386,0,386,771,0.501
PFL3,11636,LAL126,LAL126_L,cb_intrinsic,glutamate,383,0,383,4059,0.094
PFL3,10360,DNa02,DNa02_R,descending_neuron,acetylcholine,380,380,0,24830,0.015
PFL3,521191,VES005,VES005_L,cb_intrinsic,acetylcholine,377,0,377,8124,0.046
PFL3,11795,LAL083,LAL083_L,cb_intrinsic,glutamate,377,0,377,8343,0.045
PFL1,54163,LAL048,LAL048_L,cb_intrinsic,gaba,359,0,359,771,0.466
PFL3,523769,DNa02,DNa02_L,descending_neuron,acetylcholine,356,0,356,24527,0.015
PFL2,511797,LoVC11,LoVC11_L,visual_centrifugal,gaba,346,175,171,11640,0.03
PFL3,524483,LAL126,LAL126_R,cb_intrinsic,glutamate,335,335,0,3715,0.09
PFL3,11750,LAL083,LAL083_L,cb_intrinsic,glutamate,333,0,333,8423,0.04
PFL3,529710,LAL126,LAL126_L,cb_intrinsic,glutamate,333,0,333,3653,0.091
PFL3,34900,LCNOp,LCNOp_L,cb_intrinsic,glutamate,332,0,332,3624,0.092
PFL3,13327,VES005,VES005_R,cb_intrinsic,acetylcholine,324,324,0,7281,0.044
PFL2,519724,LAL014,LAL014_L,cb_intrinsic,acetylcholine,312,166,146,9138,0.034
PFL3,10759,DNb01,DNb01_R,descending_neuron,glutamate,309,309,0,7889,0.039
PFL2,14681,PS231,PS231_R,cb_intrinsic,acetylcholine,306,143,163,2624,0.117
PFL3,10868,LAL083,LAL083_R,cb_intrinsic,glutamate,302,302,0,7766,0.039
PFL2,56308,LAL052,LAL052_L,cb_intrinsic,glutamate,301,142,159,4125,0.073
PFL1,160734,LAL087,LAL087_L,cb_intrinsic,glutamate,294,0,294,480,0.613
PFL1,543906,LAL086,LAL086_L,cb_intrinsic,glutamate,290,0,290,612,0.474
PFL3,11416,LAL083,LAL083_R,cb_intrinsic,glutamate,289,289,0,7716,0.037
PFL1,163238,LAL087,LAL087_R,cb_intrinsic,glutamate,283,283,0,420,0.674
PFL1,154478,LAL087,LAL087_R,cb_intrinsic,glutamate,270,268,2,446,0.605
PFL3,521525,LAL126,LAL126_R,cb_intrinsic,glutamate,270,270,0,2857,0.095
PFL3,12221,FB5A,FB5A_L,cb_intrinsic,gaba,261,0,261,5981,0.044
PFL1,47452,LAL048,LAL048_R,cb_intrinsic,gaba,260,260,0,667,0.39
