intermediate_body,intermediate_type,intermediate_superclass,pfl3_input,pfl2_input,pfl1_input,dn_body,dn_type,dn_instance,weight
29860,PS049,cb_intrinsic,1,2,0,10360,DNa02,DNa02_R,528
14192,LAL051,cb_intrinsic,2,1,0,519624,DNa03,DNa03_L,495
31330,PS049,cb_intrinsic,4,1,0,523769,DNa02,DNa02_L,492
519724,LAL014,cb_intrinsic,83,312,0,519624,DNa03,DNa03_L,484
16642,LAL122,cb_intrinsic,96,0,0,519624,DNa03,DNa03_L,432
10070,AOTU019,cb_intrinsic,1016,1,3,10837,DNa15,DNa15(PS017)_R,406
529489,LAL121,cb_intrinsic,1346,14,0,519624,DNa03,DNa03_L,406
11182,DNp101,descending_neuron,0,0,1,10247,DNg74_a,DNg74_a_L,403
12724,LAL014,cb_intrinsic,54,152,0,10975,DNa03,DNa03_R,394
10005,AOTU019,cb_intrinsic,980,0,3,10884,DNa15,DNa15(PS017)_L,386
13534,LC33,visual_projection,0,11,2,519624,DNa03,DNa03_L,378
11798,PVLP138,cb_intrinsic,0,3,0,519624,DNa03,DNa03_L,357
13692,LAL121,cb_intrinsic,1325,12,1,10975,DNa03,DNa03_R,344
29860,PS049,cb_intrinsic,1,2,0,10837,DNa15,DNa15(PS017)_R,338
14674,LAL013,cb_intrinsic,2,1,4,10837,DNa15,DNa15(PS017)_R,330
14002,LC33,visual_projection,9,11,1,10975,DNa03,DNa03_R,326
512258,LAL013,cb_intrinsic,0,2,1,10884,DNa15,DNa15(PS017)_L,326
520388,PS010,cb_intrinsic,26,246,0,11028,DNb09,DNb09(DNb01)_L,321
529641,LAL018,cb_intrinsic,111,19,0,10360,DNa02,DNa02_R,319
12278,PS010,cb_intrinsic,10,178,0,10411,DNb09,DNb09(DNb01)_R,319
29860,PS049,cb_intrinsic,1,2,0,10543,DNa16,DNa16(PS014)_R,311
10517,LAL124,cb_intrinsic,20,0,0,10442,DNa01,DNa01(VES006)_L,308
10483,PVLP138,cb_intrinsic,0,2,0,10975,DNa03,DNa03_R,304
512258,LAL013,cb_intrinsic,0,2,1,10971,DNa11,DNa11(VES008)_L,299
12166,CB0244,cb_intrinsic,15,0,0,10440,DNg16,DNg16_R,299
10975,DNa03,descending_neuron,217,741,0,10360,DNa02,DNa02_R,297
10005,AOTU019,cb_intrinsic,980,0,3,523769,DNa02,DNa02_L,297
22185,LAL122,cb_intrinsic,87,2,0,10975,DNa03,DNa03_R,295
10070,AOTU019,cb_intrinsic,1016,1,3,10360,DNa02,DNa02_R,289
525958,PLP060,cb_intrinsic,0,6,0,10752,DNp03,DNp03_L,289
31330,PS049,cb_intrinsic,4,1,0,10884,DNa15,DNa15(PS017)_L,286
13201,LAL015,cb_intrinsic,2,1,1,11233,DNa11,DNa11(VES008)_R,284
11306,PS013,cb_intrinsic,98,0,0,523769,DNa02,DNa02_L,276
10517,LAL124,cb_intrinsic,20,0,0,11232,DNde003,DNde003(LAL106)_L,275
11213,CB0244,cb_intrinsic,1,0,0,10177,DNg16,DNg16_L,274
11795,LAL083,cb_intrinsic,377,0,0,10837,DNa15,DNa15(PS017)_R,268
14674,LAL013,cb_intrinsic,2,1,4,11233,DNa11,DNa11(VES008)_R,268
11371,PS013,cb_intrinsic,133,0,0,10360,DNa02,DNa02_R,266
11495,PS059,cb_intrinsic,1,0,0,10360,DNa02,DNa02_R,263
519944,LAL124,cb_intrinsic,21,0,0,10760,DNa01,DNa01(VES006)_R,259
11233,DNa11,descending_neuron,0,7,0,520300,DNg75,DNg75(hb1874217622)_R,258
519624,DNa03,descending_neuron,251,830,0,523769,DNa02,DNa02_L,255
11213,CB0244,cb_intrinsic,1,0,0,11222,DNg111,DNg111(hb1573072464)_L,254
16862,LAL112,cb_intrinsic,0,0,1,10975,DNa03,DNa03_R,252
31330,PS049,cb_intrinsic,4,1,0,519460,DNa16,DNa16(PS014)_L,250
11213,CB0244,cb_intrinsic,1,0,0,10045,DNg100,DNg100_L,248
12166,CB0244,cb_intrinsic,15,0,0,11706,DNg111,DNg111(hb1573072464)_R,248
12566,WED080,cb_intrinsic,82,0,23,10026,DNp18,DNp18_R,246
10005,AOTU019,cb_intrinsic,980,0,3,519624,DNa03,DNa03_L,245
519461,LAL018,cb_intrinsic,87,10,0,523769,DNa02,DNa02_L,244
519944,LAL124,cb_intrinsic,21,0,0,11610,DNae007,DNae007(VES009)_R,241
14200,PS018_a,cb_intrinsic,14,29,0,10837,DNa15,DNa15(PS017)_R,240
10517,LAL124,cb_intrinsic,20,0,0,521190,DNae007,DNae007(VES009)_L,240
20418,DNpe053,descending_neuron,0,0,1,11131,DNg70,DNg70_L,239
12724,LAL014,cb_intrinsic,54,152,0,521624,DNpe023,DNpe023(LAL201)_R,233
519724,LAL014,cb_intrinsic,83,312,0,11410,DNpe023,DNpe023(LAL201)_L,230
521191,VES005,cb_intrinsic,377,2,0,230783,DNg97,DNg97_R,229
13327,VES005,cb_intrinsic,324,0,0,13805,DNg97,DNg97_L,229
12166,CB0244,cb_intrinsic,15,0,0,10056,DNg100,DNg100_R,229
13072,WED080,cb_intrinsic,36,0,37,10048,DNp18,DNp18_L,229
10070,AOTU019,cb_intrinsic,1016,1,3,10975,DNa03,DNa03_R,226
11182,DNp101,descending_neuron,0,0,1,10131,DNg74_a,DNg74_a_R,223
11306,PS013,cb_intrinsic,98,0,0,519460,DNa16,DNa16(PS014)_L,222
11750,LAL083,cb_intrinsic,333,0,0,10837,DNa15,DNa15(PS017)_R,222
11440,PLP060,cb_intrinsic,0,8,0,10989,DNp03,DNp03_R,221
10005,AOTU019,cb_intrinsic,980,0,3,519460,DNa16,DNa16(PS014)_L,220
10338,LoVC11,visual_centrifugal,1,237,0,802893,DNpe016,DNpe016(PS211)_L,219
12166,CB0244,cb_intrinsic,15,0,0,10177,DNg16,DNg16_L,219
511797,LoVC11,visual_centrifugal,1,346,0,520485,DNpe016,DNpe016(PS211)_R,219
14259,LAL046,cb_intrinsic,90,247,0,10360,DNa02,DNa02_R,219
519624,DNa03,descending_neuron,251,830,0,519460,DNa16,DNa16(PS014)_L,219
519624,DNa03,descending_neuron,251,830,0,10884,DNa15,DNa15(PS017)_L,218
11416,LAL083,cb_intrinsic,289,1,0,10884,DNa15,DNa15(PS017)_L,217
28262,LAL197,cb_intrinsic,0,0,2,10846,DNge107,DNge107_R,214
519944,LAL124,cb_intrinsic,21,0,0,12995,DNde003,DNde003(LAL106)_R,214
11233,DNa11,descending_neuron,0,7,0,524412,DNa06,DNa06(PS039)_R,212
12166,CB0244,cb_intrinsic,15,0,0,10045,DNg100,DNg100_L,210
11213,CB0244,cb_intrinsic,1,0,0,10440,DNg16,DNg16_R,209
38847,LAL046,cb_intrinsic,73,105,0,10884,DNa15,DNa15(PS017)_L,207
519624,DNa03,descending_neuron,251,830,0,10971,DNa11,DNa11(VES008)_L,207
12278,PS010,cb_intrinsic,10,178,0,10026,DNp18,DNp18_R,207
520388,PS010,cb_intrinsic,26,246,0,10048,DNp18,DNp18_L,207
70595,PS018_b,cb_intrinsic,227,3,0,10654,DNb01,DNb01_L,206
230783,DNg97,descending_neuron,127,0,0,10177,DNg16,DNg16_L,206
