loop,A_to_B,B_to_A,uniform_loop_gain,cosine_loop_gain,roundtrip_offset
PFR_a<->PFR_b,579,2199,0.0,0.0,0
PFR_a<->hDeltaA,2666,2195,0.0,-0.0,2
hDeltaK<->PFGs,2846,4790,0.0,-0.0,0
hDeltaC<->hDeltaF,1578,971,0.001,0.0,6
FC2B<->hDeltaM,1073,958,0.001,-0.0004,3
hDeltaL<->vDeltaD,844,2858,0.0045,0.0,0
hDeltaD<->vDeltaA_b,786,1848,0.0116,0.0009,0
hDeltaJ<->FB4X,2571,1651,-0.0127,,
hDeltaB<->PFR_a,6717,763,0.0,-0.0,0
hDeltaB<->PFR_b,5787,141,0.0007,-0.0,0
vDeltaM<->vDeltaK,3058,95,0.0013,0.001,0
hDeltaA<->vDeltaK,204,3168,0.0008,0.0,2
hDeltaG<->FB5S,1796,1827,-0.0132,,
hDeltaH<->FB5U,1429,1399,-0.0145,,
PFNm_a<->PFNm_b,1644,1320,0.0153,0.0002,0
hDeltaB<->FB4B,2835,5373,-0.0317,,
hDeltaB<->FB4C,1806,1135,-0.0037,,
