A,B,AB,BA,uniform_loop,cosine_loop,loop_mag,roundtrip_deg
EPG,PEN_a(PEN1),6100,14398,0.0099,0.0027,0.0027,360.0
vDeltaI_a,vDeltaI_b,628,740,0.0035,0.0024,0.0024,359.0
EPG,PEN_b(PEN2),6230,9671,0.0068,0.0022,0.0022,359.0
hDeltaD,vDeltaB,1092,475,0.0025,0.0012,0.0012,358.0
hDeltaD,vDeltaA_b,786,1848,0.0116,0.001,0.001,0.0
FC1D,FC1E,531,313,0.0015,0.0009,0.0009,357.0
hDeltaL,vDeltaC,474,1759,0.0016,0.0008,0.0008,1.0
PFNd,hDeltaB,20165,427,0.0038,0.0008,0.0008,360.0
FC1C_b,FC1D,156,668,0.0011,0.0008,0.0008,1.0
FC1A,FC1D,649,221,0.0011,0.0007,0.0007,3.0
hDeltaH,vDeltaG,587,1789,0.0027,-0.0007,0.0007,182.0
vDeltaL,vDeltaM,139,1106,0.0009,0.0007,0.0007,357.0
FC1A,FC1E,666,138,0.0009,0.0007,0.0007,1.0
EPG,PEG,6154,994,0.0014,0.0006,0.0006,360.0
hDeltaG,vDeltaF,528,1582,0.0019,-0.0005,0.0005,182.0
FC2B,hDeltaM,1073,958,0.001,-0.0005,0.0005,180.0
PFR_b,hDeltaB,141,5787,0.0007,0.0004,0.0004,3.0
hDeltaG,vDeltaE,653,2405,0.0037,0.0004,0.0004,8.0
FC1B,FC3_c,568,121,0.0005,0.0004,0.0004,359.0
hDeltaH,vDeltaF,371,1464,0.0013,0.0003,0.0003,354.0
FC1A,FC1B,293,256,0.0005,0.0003,0.0003,3.0
FC1C_a,FC1E,121,238,0.0005,0.0003,0.0003,349.0
FC1B,FC1D,491,155,0.0005,0.0003,0.0003,4.0
vDeltaI_b,vDeltaJ,111,194,0.0004,0.0002,0.0003,350.0
vDeltaH,vDeltaI_a,156,256,0.0005,0.0003,0.0003,358.0
hDeltaD,vDeltaA_a,630,3285,0.0063,-0.0001,0.0002,145.0
FC1B,FC3_b,352,130,0.0003,0.0002,0.0002,2.0
vDeltaK,vDeltaL,110,557,0.0003,0.0002,0.0002,6.0
FC1A,FC1F,176,149,0.0002,0.0002,0.0002,5.0
FC1C_b,FC1E,194,304,0.0007,0.0002,0.0002,356.0
PEG,PEN_b(PEN2),2238,312,0.0008,0.0002,0.0002,351.0
hDeltaE,vDeltaB,138,3102,0.0014,0.0002,0.0002,355.0
FC3_b,FC3_c,110,214,0.0002,0.0002,0.0002,350.0
PFNm_a,PFNm_b,1644,1320,0.0153,0.0002,0.0002,350.0
FC1D,FC1F,107,235,0.0002,0.0002,0.0002,2.0
hDeltaA,vDeltaK,204,3168,0.0008,-0.0002,0.0002,179.0
hDeltaC,hDeltaF,1578,971,0.001,-0.0001,0.0001,181.0
hDeltaL,vDeltaD,844,2858,0.0045,0.0001,0.0001,47.0
FC2A,hDeltaJ,118,3062,0.0003,0.0001,0.0001,8.0
hDeltaE,hDeltaF,537,245,0.0001,0.0001,0.0001,355.0
hDeltaI,vDeltaK,105,442,0.0001,-0.0001,0.0001,179.0
FS2,hDeltaG,321,1241,0.0005,0.0001,0.0001,356.0
hDeltaL,vDeltaE,246,829,0.0004,-0.0001,0.0001,176.0
hDeltaF,hDeltaL,756,196,0.0001,0.0001,0.0001,356.0
FC3_a,FC3_b,145,133,0.0002,0.0001,0.0001,3.0
hDeltaE,vDeltaC,429,1112,0.0011,0.0001,0.0001,6.0
PFR_b,hDeltaA,265,1034,0.0002,0.0001,0.0001,2.0
EPGt,PEN_b(PEN2),116,100,0.0001,0.0,0.0001,336.0
FC2B,hDeltaJ,117,2573,0.0002,0.0001,0.0001,8.0
FC1B,FC1F,185,146,0.0002,0.0001,0.0001,5.0
FS3_a,hDeltaL,104,523,0.0002,0.0001,0.0001,360.0
hDeltaA,vDeltaL,101,2406,0.0004,-0.0001,0.0001,185.0
FC2C,hDeltaL,103,3187,0.0002,-0.0001,0.0001,190.0
FC2B,hDeltaC,156,2414,0.0002,-0.0001,0.0001,175.0
PEN_a(PEN1),PEN_b(PEN2),3179,3067,0.0052,0.0,0.0,26.0
PFGs,hDeltaC,149,215,0.0,0.0,0.0,0.0
