type,n,nt,self_syn,uniform_gain,cosine_gain,cos2_gain,ratio_cos_uni
FC1A,17,acetylcholine,151,0.014,0.006,0.001,0.44
FC1B,22,acetylcholine,156,0.011,0.009,0.004,0.79
FC1C_a,12,acetylcholine,100,0.017,-0.002,-0.002,-0.11
FC1C_b,17,acetylcholine,172,0.02,0.004,0.002,0.19
FC1D,25,acetylcholine,305,0.027,0.017,0.007,0.63
FC1E,22,acetylcholine,207,0.022,0.009,0.006,0.41
FC2A,18,acetylcholine,491,0.015,0.004,0.002,0.23
FC2B,27,acetylcholine,253,0.006,0.002,0.001,0.31
FC2C,47,acetylcholine,607,0.013,0.005,0.003,0.42
FC3_b,20,acetylcholine,175,0.017,0.015,0.012,0.91
FR1,18,acetylcholine,8694,0.302,-0.036,-0.035,-0.12
FS1A_a,16,acetylcholine,224,0.028,0.002,-0.001,0.08
FS1A_b,13,acetylcholine,123,0.016,0.001,0.002,0.07
FS1A_c,18,acetylcholine,166,0.017,-0.0,-0.001,-0.02
FS1B_b,16,acetylcholine,138,0.026,0.001,-0.0,0.02
FS2,42,acetylcholine,753,0.026,0.001,0.003,0.06
FS3_d,31,acetylcholine,132,0.02,0.001,-0.004,0.06
FS4A,57,acetylcholine,706,0.05,-0.001,-0.002,-0.03
FS4B,29,acetylcholine,182,0.036,0.003,-0.004,0.08
FS4C,28,acetylcholine,235,0.035,0.0,-0.004,0.01
PFGs,18,unclear,107,0.0,0.0,0.0,
PFL1,14,acetylcholine,481,0.03,-0.005,-0.005,-0.16
PFL2,12,acetylcholine,606,0.019,-0.001,-0.002,-0.04
PFL3,24,acetylcholine,853,0.014,-0.001,-0.001,-0.1
PFNa,58,acetylcholine,13850,0.356,-0.007,0.001,-0.02
PFNd,40,acetylcholine,8109,0.166,0.002,-0.001,0.01
PFNm_a,21,acetylcholine,1403,0.125,0.005,0.006,0.04
PFNm_b,26,acetylcholine,2231,0.178,0.034,0.027,0.19
PFNv,20,acetylcholine,9048,0.438,-0.046,-0.046,-0.11
PFR_a,28,unclear,387,0.0,0.0,0.0,
PFR_b,16,acetylcholine,1722,0.067,-0.011,-0.01,-0.16
hDeltaA,12,acetylcholine,284,0.006,0.001,-0.004,0.11
hDeltaB,19,acetylcholine,882,0.019,0.002,-0.006,0.13
hDeltaC,20,acetylcholine,355,0.008,0.001,-0.002,0.09
hDeltaD,8,acetylcholine,161,0.008,-0.007,0.005,-0.86
hDeltaE,8,acetylcholine,498,0.016,-0.015,0.012,-0.92
hDeltaF,8,acetylcholine,468,0.013,-0.008,-0.001,-0.62
hDeltaG,8,acetylcholine,361,0.012,-0.012,0.011,-0.97
hDeltaH,8,acetylcholine,172,0.006,-0.006,0.005,-0.96
hDeltaI,17,acetylcholine,548,0.015,-0.0,-0.007,-0.02
hDeltaJ,31,acetylcholine,440,0.012,0.004,-0.001,0.32
hDeltaK,31,acetylcholine,372,0.014,0.012,0.007,0.84
hDeltaL,11,acetylcholine,413,0.011,0.0,-0.007,0.02
hDeltaM,8,acetylcholine,493,0.019,-0.018,0.016,-0.94
vDeltaA_a,70,acetylcholine,3266,0.211,0.135,0.054,0.64
vDeltaA_b,31,acetylcholine,388,0.066,0.048,0.016,0.73
vDeltaB,31,acetylcholine,490,0.05,0.036,0.013,0.73
vDeltaC,27,acetylcholine,348,0.024,0.017,0.006,0.7
vDeltaE,18,acetylcholine,102,0.007,0.005,0.001,0.73
vDeltaI_a,17,acetylcholine,708,0.06,0.038,0.003,0.63
vDeltaI_b,20,acetylcholine,831,0.074,0.058,0.026,0.79
vDeltaK,47,acetylcholine,305,0.018,0.015,0.009,0.83
vDeltaL,37,acetylcholine,224,0.018,0.015,0.01,0.82
vDeltaM,55,acetylcholine,149,0.011,0.009,0.005,0.81
