type,n,nt,self_syn,uniform_gain,cosine_gain,cosine_mag,self_phase_deg
vDeltaA_a,70,acetylcholine,3266,0.211,0.145,0.145,2.0
vDeltaI_b,20,acetylcholine,831,0.074,0.06,0.06,2.0
EPG,46,acetylcholine,11486,0.056,0.05,0.05,360.0
vDeltaA_b,31,acetylcholine,388,0.066,0.05,0.05,1.0
PFNv,20,acetylcholine,9048,0.438,-0.046,0.046,173.0
vDeltaI_a,17,acetylcholine,708,0.06,0.044,0.044,358.0
vDeltaB,31,acetylcholine,490,0.05,0.038,0.038,0.0
FR1,18,acetylcholine,8694,0.302,-0.036,0.036,177.0
PFNm_b,26,acetylcholine,2231,0.178,0.034,0.034,357.0
hDeltaM,8,acetylcholine,493,0.019,-0.018,0.018,181.0
vDeltaC,27,acetylcholine,348,0.024,0.018,0.018,2.0
FC1D,25,acetylcholine,305,0.027,0.017,0.017,7.0
vDeltaK,47,acetylcholine,305,0.018,0.017,0.017,2.0
PEN_b(PEN2),22,acetylcholine,6224,0.144,-0.016,0.016,195.0
FC3_b,20,acetylcholine,175,0.017,0.015,0.015,359.0
hDeltaE,8,acetylcholine,498,0.016,-0.015,0.015,179.0
vDeltaL,37,acetylcholine,224,0.018,0.015,0.015,5.0
hDeltaI,17,acetylcholine,548,0.015,-0.013,0.013,179.0
hDeltaK,31,acetylcholine,372,0.014,0.013,0.013,360.0
hDeltaF,8,acetylcholine,468,0.013,-0.012,0.012,181.0
hDeltaG,8,acetylcholine,361,0.012,-0.012,0.012,180.0
PEN_a(PEN1),20,acetylcholine,5446,0.126,-0.011,0.011,177.0
PFR_b,16,acetylcholine,1722,0.067,-0.011,0.011,183.0
hDeltaL,11,acetylcholine,413,0.011,-0.01,0.01,178.0
FC1B,22,acetylcholine,156,0.011,0.009,0.009,358.0
FC1E,22,acetylcholine,207,0.022,0.009,0.009,2.0
PEG,18,acetylcholine,543,0.026,0.009,0.009,357.0
vDeltaM,55,acetylcholine,149,0.011,0.009,0.009,10.0
hDeltaB,19,acetylcholine,882,0.019,-0.008,0.008,181.0
PFNa,58,acetylcholine,13850,0.356,-0.007,0.007,172.0
hDeltaD,8,acetylcholine,161,0.008,-0.007,0.007,181.0
FC1A,17,acetylcholine,151,0.014,0.006,0.006,1.0
hDeltaH,8,acetylcholine,172,0.006,-0.006,0.006,178.0
FC2C,47,acetylcholine,607,0.013,0.005,0.005,360.0
PFL1,14,acetylcholine,481,0.03,-0.005,0.005,161.0
PFNm_a,21,acetylcholine,1403,0.125,0.005,0.006,319.0
hDeltaA,12,acetylcholine,284,0.006,-0.005,0.005,182.0
vDeltaE,18,acetylcholine,102,0.007,0.005,0.006,4.0
FC1C_b,17,acetylcholine,172,0.02,0.004,0.004,355.0
FC2A,18,acetylcholine,491,0.015,0.004,0.004,11.0
FS4B,29,acetylcholine,182,0.036,0.003,0.003,1.0
hDeltaC,20,acetylcholine,355,0.008,-0.003,0.003,183.0
FC1C_a,12,acetylcholine,100,0.017,-0.002,0.002,174.0
FC2B,27,acetylcholine,253,0.006,0.002,0.002,9.0
FS1A_a,16,acetylcholine,224,0.028,0.002,0.002,339.0
PFNd,40,acetylcholine,8109,0.166,0.002,0.002,4.0
FS1A_b,13,acetylcholine,123,0.016,0.001,0.001,7.0
FS1B_b,16,acetylcholine,138,0.026,0.001,0.001,299.0
FS2,42,acetylcholine,753,0.026,0.001,0.002,336.0
FS3_d,31,acetylcholine,132,0.02,0.001,0.001,22.0
FS4A,57,acetylcholine,706,0.05,-0.001,0.002,195.0
PFL2,12,acetylcholine,606,0.019,-0.001,0.001,126.0
PFL3,24,acetylcholine,853,0.014,-0.001,0.001,171.0
hDeltaJ,31,acetylcholine,440,0.012,-0.001,0.001,163.0
FS1A_c,18,acetylcholine,166,0.017,-0.0,0.001,252.0
FS4C,28,acetylcholine,235,0.035,0.0,0.001,292.0
PFGs,18,unclear,107,0.0,0.0,0.0,0.0
PFR_a,28,unclear,387,0.0,0.0,0.0,0.0
