ascending,relay,cx_target,path_min,an_to_relay,relay_to_cx,relay_share_of_cx_input
AN19B019,,FB4M,385,385,385,0.019
AN06B009,,FB3A,319,319,319,0.027
AN07B004,,ExR3,216,216,216,0.014
AN07B037_a,,IbSpsP,191,191,191,0.011
AN19B019,,FB4Y,151,151,151,0.006
AN07B037_b,,IbSpsP,136,136,136,0.008
AN19B017,,IbSpsP,120,120,120,0.007
AN19B019,,FB4H,113,113,113,0.019
AN19B019,,FB4N,110,110,110,0.009
AN06B011,,LCNOpm,98,98,98,0.006
AN06B039,,SpsP,82,82,82,0.023
AN07B004,,FB4L,75,75,75,0.008
AN19B019,,FB5P,66,66,66,0.019
AN19B019,,FB5X,66,66,66,0.007
AN10B018,,FB3A,64,64,64,0.005
AN19B017,,FB6M,63,63,63,0.01
AN06B075,,ExR6,60,60,60,0.003
AN19B017,,FB4B,57,57,57,0.006
AN19B019,,FB5Z,52,52,52,0.014
AN19B019,PLP246,FB4M,660,685,660,0.033
AN07B037_a,PS196_a,LNO2,550,1013,550,0.029
AN07B037_b,PS196_a,LNO2,550,708,550,0.029
AN07B004,PS326,FB3A,511,525,511,0.044
AN07B004,PLP246,FB4M,448,448,660,0.033
AN07B004,PS326,SpsP,431,525,431,0.12
AN07B037_a,PS196_b,GLNO,419,419,1801,0.189
AN07B037_a,PS196_b,LPsP,419,419,942,0.075
AN07B037_a,PS196_b,ExR2,419,419,899,0.081
AN07B037_a,PS196_b,ExR4,419,419,686,0.033
AN06B034,CL339,IbSpsP,380,490,380,0.023
AN07B004,CL339,IbSpsP,380,488,380,0.023
SApp,AN06B009,FB3A,319,423,319,0.027
AN07B037_b,OLVC5,IbSpsP,315,315,831,0.049
AN02A002,mALD4,ExR2,280,416,280,0.025
AN19B024,PS326,FB3A,272,272,511,0.044
AN19B024,PS326,SpsP,272,272,431,0.12
AN27X011,OLVC5,IbSpsP,264,264,831,0.049
AN04B051,oviIN,FB5Z,263,358,263,0.071
AN04B051,oviIN,FB5Q,261,358,261,0.038
AN05B097,oviIN,FB5Z,253,253,263,0.071
AN05B097,oviIN,FB5Q,253,253,261,0.038
AN05B097,DNpe053,FB8B,251,305,251,0.057
