tangential,columnar,syn,conc,peak_col_deg,n_tangential_cells,tangential_nt,columns
EPGt,PFNd,369,0.92,339,4,acetylcholine,0:195;315:174
P6-8P9,PFNa,444,0.9,356,4,glutamate,0:401;90:9;225:1;270:33
FB9C,FS4A,339,0.55,182,8,glutamate,45:8;90:45;135:74;180:63;225:120;270:19;315:10
FB9A,vDeltaA_a,1501,0.53,184,6,glutamate,0:3;45:51;90:204;135:198;180:527;225:247;270:258;315:13
FB5K,vDeltaF,480,0.51,6,2,glutamate,0:266;45:7;90:97;135:8;180:14;225:18;270:65;315:5
FB7K,hDeltaD,333,0.46,343,4,glutamate,0:105;45:44;90:18;135:14;180:25;225:9;270:46;315:72
SA2_b,vDeltaA_a,449,0.39,88,4,glutamate,0:114;45:46;90:88;135:107;180:72;270:12;315:10
SA1_b,vDeltaA_a,524,0.39,98,5,glutamate,0:120;45:54;90:98;135:126;180:101;225:2;270:14;315:9
SA2_a,vDeltaA_a,424,0.38,98,3,glutamate,0:94;45:54;90:70;135:97;180:89;225:2;270:13;315:5
FB5Q,FS1A_a,356,0.34,343,4,glutamate,0:54;45:53;90:59;135:15;225:31;270:64;315:80
FB2G_a,hDeltaM,403,0.33,307,2,glutamate,0:51;45:49;90:32;135:16;180:26;225:56;270:72;315:101
FB1B,FS4A,371,0.31,338,4,glutamate,0:78;45:62;90:27;135:26;180:13;225:44;270:52;315:69
FB4H,vDeltaL,1116,0.3,192,2,glutamate,0:168;45:40;90:103;135:121;180:342;225:167;270:142;315:33
FB2F_a,FS1B_a,399,0.29,349,6,glutamate,0:75;45:46;90:42;135:53;225:53;270:16;315:114
FB5H,vDeltaH,391,0.28,175,2,dopamine,0:42;103:101;154:47;206:140;309:61
FB6E,FC2C,674,0.28,341,2,glutamate,0:182;45:54;90:95;135:35;180:47;225:50;270:116;315:95
FB7L,FS3_d,462,0.28,36,6,glutamate,0:84;45:90;90:83;135:56;180:19;225:21;270:65;315:44
PFNp_b,vDeltaF,358,0.28,339,136,acetylcholine,0:128;45:17;90:50;135:9;180:29;225:45;270:51;315:29
PFNp_b,vDeltaC,465,0.27,169,136,acetylcholine,0:88;45:22;90:57;135:36;180:172;225:50;270:34;315:6
FB1D,FS4A,345,0.27,339,5,glutamate,0:61;45:65;90:25;135:30;180:7;225:47;270:50;315:60
SA3,vDeltaA_a,1447,0.26,288,8,glutamate,0:339;45:59;90:79;135:97;180:219;225:164;270:292;315:198
FB4Y,vDeltaJ,403,0.25,340,4,serotonin,0:120;45:48;90:21;135:43;180:28;225:40;270:65;315:38
