pre,post,male_syn,female_syn,male_share,female_share,log2_ratio,pre_dimorphic,post_dimorphic
PS263,SpsP,541,0,0.1511,0.0,10.56,False,False
LAL085,LNO2,1224,0,0.0635,0.0,9.31,False,False
PFL2,PS231,306,0,0.0591,0.0,9.21,False,False
PS291,LPsP,649,0,0.0518,0.0,9.02,False,False
LAL153,LCNOp,330,0,0.0499,0.0,8.97,True,False
WED145,ER1_b,551,0,0.0484,0.0,8.92,False,False
LAL152,LCNOp,303,0,0.0458,0.0,8.84,False,False
PS197,LPsP,561,0,0.0447,0.0,8.81,False,False
ExR8,LPsP,302,0,0.0241,0.0,7.92,False,False
CL339,IbSpsP,380,0,0.0225,0.0,7.82,False,False
LAL157,LNO1,664,2,0.0606,0.0003,7.2,False,False
FB6D,FS3,0,369,0.0,0.0131,-7.05,False,False
vDeltaC,FS3,0,305,0.0,0.0108,-6.77,False,False
FB2F_b,hDeltaL,6,368,0.0002,0.0125,-5.58,True,True
FB2F_b,vDeltaD,7,321,0.0005,0.0237,-5.35,True,False
LAL123,LNO2,479,6,0.0248,0.0005,5.3,False,False
FB7I,FS3,1,660,0.0014,0.0235,-3.95,False,False
hDeltaL,FS3,3,1684,0.0043,0.0599,-3.78,True,False
vDeltaE,hDeltaH,37,434,0.0013,0.0168,-3.63,False,False
FS2,FS3,1,446,0.0014,0.0159,-3.39,False,False
WED009,FB4M,340,23,0.017,0.0017,3.22,False,False
FB2F_b,vDeltaE,42,508,0.0029,0.0265,-3.16,True,False
FB4Q_b,PFR_a,56,505,0.0013,0.0124,-3.15,True,False
LAL190,ExR3,309,39,0.0206,0.0023,3.1,False,False
FB6B,FC2B,26,328,0.0006,0.0053,-2.92,True,False
FB2F_b,hDeltaG,121,748,0.0042,0.0317,-2.9,True,False
ExR8,ExR8,314,47,0.055,0.0073,2.89,False,False
PS292,ExR3,483,74,0.0322,0.0044,2.85,False,False
WED002,ER1_b,444,45,0.039,0.0056,2.78,False,False
FB4P_b,hDeltaJ,84,394,0.0022,0.0146,-2.66,True,True
FB4Q_b,hDeltaJ,151,683,0.004,0.0252,-2.64,True,True
ER2_a,ER3w_a,512,81,0.0534,0.0086,2.62,False,False
FB6X,hDeltaG,318,42,0.011,0.0018,2.56,True,False
PFNv,FB4B,623,81,0.0609,0.0108,2.49,False,False
PFL1,PFL1,481,98,0.0301,0.0054,2.46,False,False
ER3d_a,ER3m,81,338,0.0036,0.0199,-2.44,False,False
LAL055,ER3a_c,360,50,0.0835,0.0154,2.43,False,False
SIP076,FB6S,326,40,0.0762,0.0149,2.34,False,False
FB7F,FB6C_b,369,43,0.0445,0.0088,2.33,False,False
FB6C_b,FS3,2,414,0.0028,0.0147,-2.33,False,False
FB6O,vDeltaE,660,172,0.0453,0.009,2.32,False,False
PFNp_c,FS3,2,404,0.0028,0.0144,-2.3,False,False
FB6L,hDeltaG,202,806,0.007,0.0342,-2.28,False,False
LAL190,IbSpsP,432,81,0.0256,0.0054,2.22,False,False
SLP405_a,FB7A,585,96,0.0781,0.0171,2.18,False,False
FB2F_b,FC2C,193,765,0.0041,0.0186,-2.17,True,False
ER3w_a,ER3w_b,1209,2640,0.0606,0.2714,-2.16,False,False
FB4F_a,FB4F_a,34,393,0.0063,0.0285,-2.16,False,False
SLP405_c,FB6C_b,414,55,0.0499,0.0112,2.15,False,False
FB2C,vDeltaE,61,364,0.0042,0.019,-2.15,False,False
FB4Q_b,FR2,52,400,0.0097,0.0425,-2.12,True,False
FB6N,vDeltaF,880,126,0.0595,0.0137,2.11,False,False
hDeltaD,FS3,86,796,0.1223,0.0283,2.11,False,False
PS292,ExR2,584,106,0.0528,0.0125,2.07,False,False
LAL055,FB4L,342,42,0.0356,0.0084,2.07,False,True
CRE067,FB4K,399,82,0.05,0.0121,2.04,False,False
FB4P_b,FC2A,135,632,0.0042,0.0174,-2.02,True,False
FB4F_a,FB4Y,111,407,0.0047,0.0192,-2.0,False,False
PFNm_b,PFNp_c,465,130,0.0254,0.0065,1.95,False,False
ER2_b,ER3w_b,209,392,0.0105,0.0403,-1.93,False,False
FB1H,FB4Q_b,40,362,0.0159,0.061,-1.93,True,True
ER3w_b,ER3w_a,456,1682,0.0475,0.1791,-1.91,False,False
FB1C,FB1C,207,517,0.0156,0.0586,-1.91,False,False
FB6W,hDeltaL,104,323,0.0028,0.0109,-1.91,True,True
FB4R,PFR_a,471,118,0.0111,0.0029,1.89,True,False
LAL050,LCNOpm,573,80,0.0327,0.0089,1.86,True,False
PS291,ExR2,504,106,0.0455,0.0125,1.86,False,False
FB4M,FB4M,605,1449,0.0302,0.1094,-1.85,False,False
LAL002,PFR_b,640,201,0.0247,0.0069,1.83,False,False
EL,ER1_b,415,1041,0.0365,0.1296,-1.83,False,False
SMP374,FB6H,306,79,0.0425,0.0119,1.83,False,False
SLP405_b,FB7A,302,63,0.0403,0.0112,1.83,False,False
EL,ER5,646,1587,0.0251,0.0886,-1.81,False,False
ExR7,FB4M,571,107,0.0285,0.0081,1.81,False,False
LHPV6q1,ER3a_b,341,44,0.0601,0.017,1.81,True,False
SIP076,ExR3,300,96,0.02,0.0057,1.8,False,False
FB2F_b,FR1,172,670,0.006,0.021,-1.79,True,False
PFR_b,CRE044,394,80,0.0326,0.0094,1.78,False,False
SMP377,FB5X,539,154,0.0576,0.0168,1.77,False,True
FB8A,FS4A,127,431,0.009,0.031,-1.77,False,False
FB4R,PFGs,670,224,0.0204,0.0059,1.76,True,False
FB4K,hDeltaB,398,100,0.0085,0.0025,1.74,False,True
FB2A,OA-VPM3,146,354,0.0076,0.0255,-1.74,False,False
FB4M,FB4L,317,550,0.033,0.1099,-1.73,False,True
vDeltaB,FB6O,90,305,0.0269,0.0895,-1.73,False,False
FB4Y,FB4F_a,92,781,0.0171,0.0567,-1.72,False,False
FB7L,FS3,76,919,0.1081,0.0327,1.72,False,False
FB7L,FB8C,365,116,0.0756,0.0235,1.68,False,False
PFR_a,OA-VPM3,157,365,0.0081,0.0262,-1.68,False,False
EL,ER3a_b,258,374,0.0455,0.1449,-1.67,False,False
LAL055,ER1_a,391,106,0.0409,0.0129,1.66,False,False
P6-8P9,Delta7,336,93,0.0065,0.002,1.66,False,False
FB5R,hDeltaH,536,1491,0.0184,0.0578,-1.65,False,False
FB2C,FB2D,128,373,0.0068,0.0217,-1.65,False,False
WED035,ER1_a,684,188,0.0715,0.0229,1.64,False,False
ER3w_a,ER2_d,416,126,0.0542,0.0173,1.64,False,False
PLP032,ExR3,325,116,0.0217,0.0069,1.64,False,False
FB2A,FB2E,98,348,0.0264,0.0822,-1.63,False,True
Delta7,PEN_a(PEN1),1178,2754,0.0272,0.0835,-1.61,False,False
FB4P_b,FB4O,242,493,0.0296,0.0907,-1.61,True,True
FB4M,FB4B,202,454,0.0198,0.0605,-1.61,False,False
ER4d,ExR1,1080,2302,0.0197,0.0595,-1.59,False,False
FB3C,PFGs,651,245,0.0198,0.0065,1.59,False,False
EL,ER1_a,503,1300,0.0526,0.1582,-1.59,False,False
PFR_b,FB4Y,422,125,0.0179,0.0059,1.59,False,False
FC2A,FB4Q_b,607,481,0.2418,0.081,1.58,False,True
FB3C,FS3,7,845,0.01,0.03,-1.58,False,False
FB2F_b,hDeltaC,461,937,0.0104,0.0311,-1.57,True,False
PFR_a,FB4Q_b,120,841,0.0478,0.1417,-1.57,False,True
hDeltaG,FS3,3,363,0.0043,0.0129,-1.57,False,False
PFR_b,FB4B,581,144,0.0568,0.0192,1.56,False,False
FB6N,vDeltaD,285,791,0.0197,0.0585,-1.56,False,False
FB4J,hDeltaJ,606,146,0.016,0.0054,1.55,False,True
FB8H,hDeltaF,327,608,0.0091,0.0269,-1.55,False,False
LAL184,EPG,1997,553,0.0097,0.0033,1.54,False,False
