pre,post,male_syn,female_syn,male_share,female_share,log2_ratio
LAL156,LNOa,781,0,0.1523,0.0,9.57
PS263,SpsP,541,0,0.1511,0.0,9.56
PS196,LPsP,973,0,0.0776,0.0,8.6
LAL085,LNO2,1224,0,0.0635,0.0,8.31
PS291,LPsP,649,0,0.0518,0.0,8.02
,hDeltaG,1396,0,0.0482,0.0,7.92
PS197,LPsP,561,0,0.0447,0.0,7.81
,hDeltaH,1134,0,0.0388,0.0,7.61
,vDeltaA,1378,6,0.0645,0.0003,7.15
,hDeltaD,1248,4,0.0587,0.0002,7.14
,vDeltaE,408,0,0.028,0.0,7.14
,hDeltaL,1477,3,0.0402,0.0001,7.06
,hDeltaE,930,1,0.0306,0.0,6.96
,hDeltaK,1504,7,0.0561,0.0003,6.95
,vDeltaI,734,1,0.0317,0.0001,6.89
LAL157,LNO1,664,2,0.0606,0.0003,6.89
WED145,ER1,552,0,0.023,0.0,6.86
,hDeltaJ,1077,2,0.0284,0.0001,6.7
,hDeltaB,1033,3,0.022,0.0001,6.34
,hDeltaC,940,2,0.0213,0.0001,6.33
,hDeltaM,531,2,0.021,0.0001,6.14
,FB4Z,434,6,0.0314,0.0004,5.82
,PFGs,1374,21,0.0418,0.0006,5.79
,ER4d,2677,39,0.047,0.0008,5.56
,ER4m,411,2,0.0147,0.0001,5.52
,hDeltaF,570,4,0.0159,0.0002,5.41
,vDeltaM,406,6,0.0296,0.0005,5.36
,hDeltaI,1043,15,0.0282,0.0005,5.34
,FR1,500,8,0.0174,0.0003,5.29
,FC3,780,11,0.0256,0.0005,5.2
LAL123,LNO2,479,6,0.0248,0.0005,5.09
,PFNp,1882,46,0.0272,0.0007,4.87
,hDeltaA,2028,53,0.0403,0.0013,4.72
,PFNm,696,21,0.0292,0.0009,4.69
,PFNa,923,27,0.0237,0.0008,4.65
,PFNv,684,23,0.0331,0.0012,4.62
,EL,1829,63,0.0245,0.0008,4.61
,PFNd,1078,34,0.0221,0.0008,4.55
,PEN_b,844,28,0.0196,0.0008,4.35
,PEG,605,25,0.029,0.0013,4.29
,PFL1,447,23,0.0279,0.0013,4.26
,PFL3,1133,66,0.0186,0.001,3.92
,PEN_a,976,44,0.0225,0.0013,3.89
,EPG,4144,211,0.0202,0.0012,3.82
,FC2C,806,43,0.017,0.001,3.78
,vDeltaK,646,46,0.0391,0.0027,3.75
,IbSpsP,469,5262,0.0278,0.3528,-3.66
,Delta7,1394,94,0.027,0.002,3.62
vDeltaE,hDeltaH,37,434,0.0013,0.0168,-3.54
,FS2,729,55,0.0253,0.0021,3.46
,LCNOp,165,1426,0.0249,0.2347,-3.22
,FC2B,820,132,0.0194,0.0021,3.07
,ER3a,557,39,0.0188,0.0021,3.05
SIP076,FB6A,1014,126,0.0409,0.0049,3.01
,ER3m,526,51,0.0233,0.003,2.87
PS292,ExR3,483,74,0.0322,0.0044,2.82
,LNOa,104,433,0.0203,0.1437,-2.81
,LNO2,362,1433,0.0188,0.1275,-2.75
PLP046,FB3C,547,51,0.06,0.0088,2.75
,FB6Z,80,442,0.0263,0.1626,-2.62
FB7F,FB6C,444,47,0.0415,0.0069,2.56
,PFL2,647,109,0.0202,0.0033,2.56
,FC2A,723,138,0.0225,0.0038,2.51
PFNv,FB4B,623,81,0.0609,0.0108,2.48
PFL1,PFL1,481,98,0.0301,0.0054,2.44
WED002,ER1,667,81,0.0278,0.005,2.43
,FB8C,190,1012,0.0393,0.2049,-2.37
FB6O,vDeltaE,660,172,0.0453,0.009,2.31
FB6L,hDeltaG,202,806,0.007,0.0342,-2.26
,FB2K,164,580,0.0217,0.1044,-2.25
,ExR3,443,2341,0.0295,0.1386,-2.22
PLP046,ER3a,650,85,0.022,0.0046,2.22
LAL190,IbSpsP,432,81,0.0256,0.0054,2.19
FB6N,vDeltaF,880,126,0.0595,0.0137,2.1
,FB5K,115,747,0.0245,0.1032,-2.07
PS292,ExR2,584,106,0.0528,0.0125,2.06
,PFR,1556,371,0.0228,0.0053,2.06
,FB8B,166,591,0.0375,0.1515,-2.01
Delta7,,121619,82,0.0007,0.0,1.99
SLP405,FB6C,673,110,0.0629,0.016,1.96
,FB6I,151,507,0.0414,0.1599,-1.94
SA1,SA2,283,552,0.0561,0.2132,-1.92
,FS1A,569,202,0.0223,0.0058,1.91
SLP405,FB7A,1046,207,0.1397,0.0369,1.91
FB1C,FB1C,207,517,0.0156,0.0586,-1.9
FS1B,LAL022,186,626,0.0171,0.0631,-1.87
,FB4X,248,856,0.0281,0.1034,-1.87
FB4M,FB4M,605,1449,0.0302,0.1094,-1.85
PS291,ExR2,504,106,0.0455,0.0125,1.85
LAL050,LCNOpm,573,80,0.0327,0.0089,1.85
,ExR4,447,74,0.0218,0.006,1.83
EL,ER5,646,1587,0.0251,0.0886,-1.81
,ER6,294,412,0.0235,0.0826,-1.81
ExR7,FB4M,571,107,0.0285,0.0081,1.79
SMP377,FB5X,539,154,0.0576,0.0168,1.76
FB8A,FS4A,127,431,0.009,0.031,-1.76
,ExR5,405,1238,0.0327,0.11,-1.74
FB4R,PFGs,670,224,0.0204,0.0059,1.74
EL,ER1,1031,2341,0.043,0.144,-1.74
FB4M,FB4L,317,550,0.033,0.1099,-1.73
,FB6C,430,904,0.0402,0.1318,-1.71
,FB4E,253,852,0.0275,0.0902,-1.71
,FB4R,299,581,0.0443,0.144,-1.7
SA2,SA2,261,432,0.0517,0.1669,-1.69
,FB6M,270,479,0.0411,0.1326,-1.69
LHPV6q1,ER3a,485,93,0.0164,0.005,1.68
LAL002,PFR,685,212,0.01,0.003,1.66
FS1B,SIP087,144,564,0.0102,0.0325,-1.65
FB5R,hDeltaH,536,1491,0.0184,0.0578,-1.64
SIP005,FB6A,486,158,0.0196,0.0062,1.64
,FB2C,203,1052,0.0409,0.1275,-1.64
,FB6H,176,507,0.0245,0.0763,-1.63
,FB5X,258,782,0.0276,0.0854,-1.62
Delta7,PEN_a,1178,2754,0.0272,0.0835,-1.61
FB4M,FB4B,202,454,0.0198,0.0605,-1.6
,ER3p,2184,605,0.1146,0.0377,1.6
EL,ER3a,885,1685,0.0299,0.0904,-1.59
FB4R,FC3,475,111,0.0156,0.0051,1.59
ER4d,ExR1,1080,2302,0.0197,0.0595,-1.58
FB3C,PFGs,651,245,0.0198,0.0065,1.58
,FB4I,125,477,0.0509,0.1516,-1.57
,FB2D,404,123,0.0216,0.0072,1.57
FB6N,vDeltaD,285,791,0.0197,0.0585,-1.56
FB8H,hDeltaF,327,608,0.0091,0.0269,-1.54
,FB1H,399,1491,0.0309,0.0901,-1.54
,FB7A,347,755,0.0463,0.1347,-1.53
WED035,ER1,905,210,0.0377,0.0129,1.53
FB4J,hDeltaJ,606,146,0.016,0.0054,1.53
LAL184,EPG,1997,553,0.0097,0.0033,1.52
SLP396,FB6A,449,159,0.0181,0.0062,1.51
,FB4K,275,659,0.0345,0.0969,-1.48
,FB5A,523,1143,0.0215,0.0599,-1.47
,FB5W,142,507,0.0268,0.0744,-1.47
hDeltaK,ExR3,803,2498,0.0535,0.1479,-1.46
EL,FB4Y,219,550,0.0093,0.0259,-1.46
,FB6S,257,442,0.06,0.1647,-1.45
,FB5V,1000,3011,0.0538,0.1468,-1.44
,FB7L,332,669,0.0414,0.1129,-1.44
FB6B,hDeltaL,205,458,0.0056,0.0155,-1.44
,FB4F,627,1889,0.0412,0.1122,-1.44
vDeltaD,FB6N,162,590,0.0543,0.1476,-1.44
FB5D,hDeltaA,537,152,0.0107,0.0038,1.43
FB4R,PFR,684,250,0.01,0.0036,1.43
vDeltaI,FB5K,646,369,0.1376,0.051,1.43
FB2J,vDeltaI,404,93,0.0175,0.0064,1.42
SMP215,FB6D,687,247,0.1109,0.0413,1.42
vDeltaH,vDeltaI,249,418,0.0108,0.0288,-1.4
,FB5G,246,630,0.0272,0.0723,-1.4
FC1F,FR1,163,488,0.0057,0.0153,-1.4
FB2A,FC1E,146,400,0.0154,0.041,-1.4
EL,ER4m,479,731,0.0171,0.0453,-1.4
FB4Y,vDeltaH,133,608,0.0208,0.055,-1.4
ExR3,FB6M,278,402,0.0423,0.1113,-1.39
,FB8F,598,1173,0.0551,0.1441,-1.38
EPG,,66719,73,0.0004,0.0,1.38
FB6J,FB6U,229,584,0.0319,0.0835,-1.38
LAL143,FB3A,727,195,0.0624,0.0238,1.38
ExR2,PEN_a,275,556,0.0064,0.0168,-1.38
FS3,,22944,2806,0.0001,0.0006,-1.37
EL,ExR1,842,1549,0.0154,0.04,-1.37
,FB6B,113,496,0.0394,0.1017,-1.36
FB6H,hDeltaC,318,566,0.0072,0.0188,-1.36
SIP064,FB4M,468,119,0.0234,0.009,1.36
PFL2,LAL075,255,439,0.0343,0.0882,-1.36
FB6H,FB6C,319,524,0.0298,0.0764,-1.35
LAL055,ExR1,620,167,0.0113,0.0043,1.35
FB4L,PFNd,510,1201,0.0105,0.0266,-1.33
,FB6U,438,170,0.0611,0.0243,1.32
vDeltaI,FC2B,433,246,0.0102,0.004,1.32
,FB3A,357,627,0.0306,0.0766,-1.32
SMP568,FB5AB,420,125,0.0343,0.0137,1.31
FB2A,FB2F,242,526,0.0168,0.0417,-1.3
FB6H,FB6G,225,483,0.0665,0.1644,-1.3
FB5N,FC2B,782,456,0.0185,0.0074,1.3
FB4Y,EL,216,575,0.0029,0.0074,-1.3
FB2A,FB2D,252,573,0.0135,0.0334,-1.3
FC3,FC3,1123,327,0.0369,0.0149,1.3
FB4Y,EPG,732,1522,0.0036,0.009,-1.29
FB6B,FC2C,342,732,0.0072,0.0178,-1.28
FS4A,,23946,2634,0.0001,0.0006,-1.28
FB1H,hDeltaB,459,974,0.0098,0.024,-1.28
,FB4H,236,641,0.0391,0.0948,-1.27
hDeltaK,PFGs,2846,7890,0.0865,0.2096,-1.27
TuBu02,ER3a,1633,427,0.0552,0.0229,1.26
PFL3,PFL3,853,363,0.014,0.0057,1.26
vDeltaH,FB5H,316,692,0.038,0.0908,-1.25
FB2A,FB2A,255,462,0.0255,0.061,-1.25
FB5Y,PFL3,245,624,0.004,0.0099,-1.25
hDeltaG,vDeltaF,528,137,0.0357,0.0149,1.25
FB4M,vDeltaL,220,489,0.0178,0.0426,-1.25
ExR2,EL,190,488,0.0025,0.0063,-1.25
FB4C,hDeltaB,1135,410,0.0242,0.0101,1.24
FB4M,FB3A,434,724,0.0372,0.0885,-1.24
,FB4Q,302,765,0.0349,0.0829,-1.24
PEG,PEG,543,211,0.026,0.0109,1.24
hDeltaC,FC2C,980,354,0.0206,0.0086,1.24
LAL184,ExR1,640,187,0.0117,0.0048,1.24
FS4B,,12889,1909,0.0001,0.0004,-1.24
FR2,,10736,1787,0.0001,0.0004,-1.24
hDeltaB,FB4M,739,1153,0.0369,0.087,-1.23
FB4Y,PEN_a,428,772,0.0099,0.0234,-1.23
vDeltaH,FB4Y,443,940,0.0188,0.0443,-1.22
PS196,ExR2,904,298,0.0817,0.0352,1.21
FB2A,FC1C,154,456,0.0106,0.0248,-1.2
FB6E,FC2B,454,1545,0.0107,0.0249,-1.2
FB2F,vDeltaI,545,147,0.0236,0.0101,1.2
LAL055,ER1,413,120,0.0172,0.0074,1.2
SLP405,FB8F,532,173,0.049,0.0212,1.2
FB4M,hDeltaI,380,712,0.0103,0.0237,-1.19
SA2,SA1,246,519,0.0574,0.1307,-1.18
FB6C,FC2B,142,486,0.0034,0.0078,-1.18
SMP377,FB4M,1111,323,0.0555,0.0244,1.18
FB6O,vDeltaC,430,1092,0.0297,0.0675,-1.18
EPG,PFNv,450,984,0.0218,0.0493,-1.17
ER3w,ER4m,421,106,0.015,0.0066,1.17
FB8A,hDeltaD,653,1276,0.0307,0.0693,-1.17
FB4P,hDeltaJ,280,455,0.0074,0.0168,-1.17
VES041,PFL3,705,320,0.0116,0.0051,1.16
,FB5Y,217,434,0.0327,0.0733,-1.16
FB7H,vDeltaB,259,824,0.0262,0.0588,-1.16
vDeltaE,FC2B,340,1119,0.008,0.0181,-1.15
hDeltaI,FB4F,595,296,0.0391,0.0176,1.14
PS196,ExR4,730,197,0.0356,0.016,1.14
IbSpsP,PEN_a,1012,1701,0.0234,0.0515,-1.13
FB4Y,FB4F,341,827,0.0224,0.0491,-1.13
FS1B,,27114,2440,0.0001,0.0006,-1.12
vDeltaF,FS2,454,185,0.0157,0.0071,1.12
hDeltaK,FB6A,3596,8081,0.145,0.3154,-1.12
,FB4O,284,411,0.0347,0.0756,-1.12
TuBu07,ExR1,1224,396,0.0223,0.0102,1.11
FB4Y,vDeltaI,776,1054,0.0336,0.0726,-1.11
PFNd,FB4M,701,1002,0.035,0.0756,-1.11
FB7H,vDeltaD,621,269,0.043,0.0199,1.1
FB4M,hDeltaA,1098,1868,0.0218,0.047,-1.1
vDeltaH,FC2A,631,1541,0.0196,0.0423,-1.1
ExR7,FB1C,759,234,0.0571,0.0265,1.1
hDeltaF,FC2B,191,613,0.0045,0.0099,-1.1
EL,ER4d,4178,7643,0.0733,0.1573,-1.1
FB2G,PFL2,1181,572,0.037,0.0172,1.1
FB2G,FS1A,673,428,0.0264,0.0122,1.1
FB2C,FB2F,255,479,0.0177,0.038,-1.1
hDeltaK,FB6D,865,1782,0.1397,0.2982,-1.09
vDeltaF,hDeltaG,1582,601,0.0546,0.0255,1.09
FB4X,hDeltaA,301,513,0.006,0.0129,-1.09
vDeltaH,FR1,211,505,0.0073,0.0158,-1.08
ExR2,PEN_b,247,451,0.0057,0.0124,-1.08
FB1C,PFL3,249,561,0.0041,0.0089,-1.08
P6-8P9,PFNa,444,191,0.0114,0.0053,1.07
FB1C,vDeltaI,331,438,0.0143,0.0302,-1.07
ER2,ER4m,2212,2663,0.079,0.1651,-1.06
PFL2,,30297,2456,0.0002,0.0006,-1.06
FS4C,,20426,1960,0.0001,0.0004,-1.06
FB5N,FC2A,446,239,0.0139,0.0066,1.06
FB2G,FC2C,1455,601,0.0306,0.0146,1.06
,ER1,1787,581,0.0745,0.0357,1.05
