post,pre,syn,share,pre_superclass,pre_nt,pre_n,hb_syn,hb_share
GLNO,PS196_b,1801,0.189,cb_intrinsic,acetylcholine,2,0,0.0
FB1D,CB1617,663,0.172,cb_intrinsic,glutamate,22,0,0.0
ER6,LAL206,1969,0.157,cb_intrinsic,glutamate,4,0,0.0
LNOa,LAL156_b,781,0.152,cb_intrinsic,acetylcholine,2,0,0.0
SpsP,PS263,541,0.151,cb_intrinsic,acetylcholine,4,0,0.0
SpsP,PS326,431,0.12,cb_intrinsic,glutamate,4,0,0.0
FB4Z_b,FB5V_b,216,0.114,cb_intrinsic,glutamate,6,0,
IbSpsP,GNG311,1913,0.113,cb_intrinsic,acetylcholine,2,0,0.0
FB4R,MBON21,756,0.112,cb_intrinsic,acetylcholine,2,516,0.128
FB6D,SMP215,687,0.111,cb_intrinsic,glutamate,8,247,0.041
FB1E_b,CB1617,198,0.11,cb_intrinsic,glutamate,22,0,0.0
FB6I,SMP215,397,0.109,cb_intrinsic,glutamate,8,143,0.045
ER3a_a,TuBu02,1309,0.087,cb_intrinsic,acetylcholine,12,304,0.035
SA2_c,CB0103,88,0.087,cb_intrinsic,glutamate,1,0,
ER3a_b,PLP046,483,0.085,cb_intrinsic,glutamate,12,0,0.0
ER3a_c,LAL055,360,0.084,cb_intrinsic,acetylcholine,2,50,0.015
FB6Z,SLP281,248,0.082,cb_intrinsic,glutamate,2,42,0.015
ExR2,PS196_b,899,0.081,cb_intrinsic,acetylcholine,2,0,0.0
SA3,CB4087,286,0.08,cb_intrinsic,acetylcholine,11,0,0.0
FB7A,SLP405_a,585,0.078,cb_intrinsic,acetylcholine,13,96,0.017
SA2_b,CB1178,142,0.077,cb_intrinsic,glutamate,21,0,0.0
FB6S,SIP076,326,0.076,cb_intrinsic,acetylcholine,20,40,0.015
FB7F,SIP076,196,0.076,cb_intrinsic,acetylcholine,20,11,0.011
SA1_c,CB4129,50,0.076,cb_intrinsic,glutamate,10,0,0.0
FB4Z_a,FB5V_b,577,0.075,cb_intrinsic,glutamate,6,0,
FB4Z_c,FB5V_b,313,0.075,cb_intrinsic,glutamate,6,0,
LPsP,PS196_b,942,0.075,cb_intrinsic,acetylcholine,2,0,0.0
FB4J,CRE024,198,0.074,cb_intrinsic,acetylcholine,2,116,0.036
FB7F,SMP034,192,0.074,cb_intrinsic,glutamate,4,25,0.025
FB4R,MBON09,492,0.073,cb_intrinsic,gaba,4,347,0.086
SA1_b,CB1595,141,0.073,cb_intrinsic,acetylcholine,9,0,0.0
ER1_a,WED035,684,0.071,cb_intrinsic,glutamate,10,188,0.023
FB5Z,oviIN,263,0.071,cb_intrinsic,gaba,2,266,0.073
FB4E_a,CRE028,301,0.069,cb_intrinsic,glutamate,6,0,
FB8B,MeVP39,307,0.069,visual_projection,gaba,2,0,0.0
FB1D,LHPV5a3,260,0.068,cb_intrinsic,acetylcholine,6,181,0.063
FB5K,CRE042,321,0.068,cb_intrinsic,gaba,2,616,0.085
ER3a_d,TuBu02,308,0.067,cb_intrinsic,acetylcholine,12,123,0.029
ER5,TuBu06,1734,0.067,cb_intrinsic,acetylcholine,10,777,0.043
ExR1,AOTU046,3608,0.066,cb_intrinsic,glutamate,4,1943,0.05
ER1_c,WEDPN16_d,199,0.065,cb_intrinsic,acetylcholine,6,0,
SpsP,WED024,228,0.064,cb_intrinsic,gaba,4,0,0.0
LNO2,LAL085,1224,0.063,cb_intrinsic,glutamate,4,0,0.0
SA1_a,SLP173,108,0.063,cb_intrinsic,glutamate,1,78,0.04
FB3A,LAL143,727,0.062,cb_intrinsic,gaba,2,195,0.024
FB8A,CB4107,87,0.062,cb_intrinsic,acetylcholine,9,0,0.0
FB8I,SMP095,331,0.062,cb_intrinsic,glutamate,4,109,0.036
SA3,CB2346,221,0.062,cb_intrinsic,glutamate,7,0,0.0
FB1D,CB4107,234,0.061,cb_intrinsic,acetylcholine,9,0,0.0
FB4D_c,CRE024,159,0.061,cb_intrinsic,acetylcholine,2,0,
LNO1,LAL157,664,0.061,cb_intrinsic,acetylcholine,2,2,0.0
SA2_b,CB1595,113,0.061,cb_intrinsic,acetylcholine,9,0,0.0
ER3a_b,LHPV6q1,341,0.06,cb_intrinsic,unclear,2,44,0.017
FB3C,PLP046,547,0.06,cb_intrinsic,glutamate,12,0,0.0
FB4P_b,CRE059,273,0.06,cb_intrinsic,acetylcholine,4,378,0.032
FB5P,oviIN,207,0.059,cb_intrinsic,gaba,2,174,0.063
SA2_c,SLP202,60,0.059,cb_intrinsic,glutamate,2,0,
SpsP,WED128,211,0.059,cb_intrinsic,acetylcholine,8,0,0.0
FB5G_b,SIP065,73,0.058,cb_intrinsic,glutamate,2,0,
FB5X,SMP377,539,0.058,cb_intrinsic,acetylcholine,15,154,0.017
FB6Z,SLP405_b,177,0.058,cb_intrinsic,acetylcholine,11,25,0.009
ER3p_b,TuBu04,253,0.057,cb_intrinsic,acetylcholine,12,242,0.041
FB4E_b,CRE028,182,0.057,cb_intrinsic,glutamate,6,0,
FB6Q,CB4110,99,0.057,cb_intrinsic,acetylcholine,14,0,0.0
FB8B,DNpe053,251,0.057,descending_neuron,acetylcholine,2,0,0.0
SA2_b,SLP300,103,0.056,cb_intrinsic,glutamate,10,0,0.0
FB4M,SMP377,1111,0.055,cb_intrinsic,acetylcholine,15,323,0.024
FB6C_a,SLP405_c,132,0.055,cb_intrinsic,acetylcholine,6,37,0.019
ER4m,TuBu01,1514,0.054,cb_intrinsic,acetylcholine,10,596,0.037
FB2J_a,M_lPNm13,83,0.054,cb_intrinsic,acetylcholine,7,0,
FB6A_a,SIP076,458,0.054,cb_intrinsic,acetylcholine,20,0,
LCNOp,PVLP114,356,0.054,cb_intrinsic,acetylcholine,2,176,0.029
SA1_b,SLP300,104,0.054,cb_intrinsic,glutamate,10,81,0.054
SA3,CB1178,191,0.054,cb_intrinsic,glutamate,21,0,0.0
ExR2,PS292,584,0.053,cb_intrinsic,acetylcholine,4,106,0.013
FB8F_a,SLP024,254,0.053,cb_intrinsic,glutamate,21,0,0.0
FB8F_b,SLP405_a,321,0.053,cb_intrinsic,acetylcholine,13,82,0.02
FB8H,CB1617,236,0.053,cb_intrinsic,glutamate,22,0,0.0
SA2_a,SLP300,116,0.053,cb_intrinsic,glutamate,10,0,0.0
SA3,CB4138,188,0.053,cb_intrinsic,glutamate,15,0,0.0
ER3p_a,TuBu05,764,0.052,cb_intrinsic,acetylcholine,11,424,0.042
ER3w_b,TuBu07,1031,0.052,cb_intrinsic,acetylcholine,21,289,0.03
FB5M,PLP161,115,0.052,cb_intrinsic,acetylcholine,4,39,0.012
FB6A_c,SIP076,505,0.052,cb_intrinsic,acetylcholine,20,0,
FB6I,SLP281,191,0.052,cb_intrinsic,glutamate,2,28,0.009
FB7K,LHPV6f3_b,170,0.052,cb_intrinsic,acetylcholine,4,34,0.012
LPsP,PS291,649,0.052,cb_intrinsic,acetylcholine,4,0,0.0
ER3w_c,TuBu07,382,0.051,cb_intrinsic,acetylcholine,21,0,
FB4Q_a,SMP133,133,0.051,cb_intrinsic,glutamate,10,100,0.03
FB6T,SMP504,180,0.051,cb_intrinsic,acetylcholine,2,121,0.042
FB8A,LHPV5a3,72,0.051,cb_intrinsic,acetylcholine,6,106,0.042
FB4J,CRE042,134,0.05,cb_intrinsic,gaba,2,90,0.028
FB4K,CRE067,399,0.05,cb_intrinsic,acetylcholine,6,82,0.012
FB4R,LHPV7c1,335,0.05,cb_intrinsic,acetylcholine,2,74,0.018
FB5H,CRE107,419,0.05,cb_intrinsic,glutamate,2,495,0.065
FB6C_b,SLP405_c,414,0.05,cb_intrinsic,acetylcholine,6,55,0.011
LCNOp,LAL153,330,0.05,cb_intrinsic,acetylcholine,2,0,0.0
SA2_a,CB1685,109,0.05,cb_intrinsic,glutamate,9,0,0.0
ER1_c,WED035,149,0.049,cb_intrinsic,glutamate,10,0,
IbSpsP,OLVC5,831,0.049,visual_centrifugal,acetylcholine,2,0,0.0
SA1_a,SLP300,83,0.049,cb_intrinsic,glutamate,10,61,0.031
SA2_b,CB4129,91,0.049,cb_intrinsic,glutamate,10,0,0.0
SpsP,CB4106,176,0.049,cb_intrinsic,acetylcholine,6,0,0.0
ER1_b,WED145,551,0.048,cb_intrinsic,acetylcholine,9,0,0.0
ER1_b,LAL138,548,0.048,cb_intrinsic,gaba,2,259,0.032
ER3d_d,TuBu03,716,0.048,cb_intrinsic,acetylcholine,23,364,0.033
FB4P_c,SMP133,178,0.048,cb_intrinsic,glutamate,10,0,
FB6T,SMP235,170,0.048,cb_intrinsic,glutamate,2,41,0.014
GLNO,WED040_a,461,0.048,cb_intrinsic,glutamate,15,128,0.027
SA2_a,CB0103,105,0.048,cb_intrinsic,glutamate,1,0,0.0
SpsP,CB1856,173,0.048,cb_intrinsic,acetylcholine,3,0,0.0
FB1E_b,LHPV5a3,85,0.047,cb_intrinsic,acetylcholine,6,46,0.036
FB1E_b,CB4107,84,0.047,cb_intrinsic,acetylcholine,9,0,0.0
FB3E,PLP046,90,0.047,cb_intrinsic,glutamate,12,0,0.0
FB6A_b,SIP005,317,0.047,cb_intrinsic,glutamate,4,0,
FB6X,oviIN,118,0.047,cb_intrinsic,gaba,2,142,0.058
SpsP,LAL168,170,0.047,cb_intrinsic,acetylcholine,2,0,0.0
ExR2,PS291,504,0.046,cb_intrinsic,acetylcholine,4,106,0.013
FB2L,SMP011_b,159,0.046,cb_intrinsic,glutamate,2,0,0.0
FB6C_a,SMP352,112,0.046,cb_intrinsic,acetylcholine,12,54,0.028
FB7F,SLP376,118,0.046,cb_intrinsic,glutamate,2,19,0.019
LCNOp,LAL152,303,0.046,cb_intrinsic,acetylcholine,2,0,0.0
LCNOpm,LAL112,806,0.046,cb_intrinsic,gaba,4,295,0.033
ER3d_a,TuBu03,485,0.045,cb_intrinsic,acetylcholine,23,548,0.038
ER3d_c,TuBu03,590,0.045,cb_intrinsic,acetylcholine,23,777,0.055
FB6A_b,SLP396,299,0.045,cb_intrinsic,acetylcholine,4,0,
LNOa,LAL133_d,229,0.045,cb_intrinsic,glutamate,2,0,0.0
LPsP,PS197,561,0.045,cb_intrinsic,acetylcholine,4,0,0.0
SA2_a,CB1178,99,0.045,cb_intrinsic,glutamate,21,0,0.0
ExR2,LAL184,489,0.044,cb_intrinsic,acetylcholine,2,295,0.035
FB3A,PS326,511,0.044,cb_intrinsic,glutamate,4,0,0.0
FB6Z,SMP186,135,0.044,cb_intrinsic,acetylcholine,2,73,0.027
FB8E,BiT,117,0.044,cb_intrinsic,acetylcholine,2,0,0.0
FB8H,CB4022,197,0.044,cb_intrinsic,acetylcholine,4,0,0.0
FB8I,ATL004,234,0.044,cb_intrinsic,glutamate,2,67,0.022
ER3m,TuBu02,963,0.043,cb_intrinsic,acetylcholine,12,580,0.034
FB4G,CRE005,257,0.043,cb_intrinsic,acetylcholine,4,405,0.057
FB5V_a,LAL101,307,0.043,cb_intrinsic,gaba,2,0,
FB6H,SMP374,306,0.043,cb_intrinsic,glutamate,4,79,0.012
FB9C,FB9B_b,109,0.043,cb_intrinsic,glutamate,4,0,
SA1_a,CB1178,74,0.043,cb_intrinsic,glutamate,21,0,0.0
FB5T,LAL129,86,0.042,cb_intrinsic,acetylcholine,2,68,0.04
FB6Z,SMP379,129,0.042,cb_intrinsic,acetylcholine,2,39,0.014
FB7B,SMP095,216,0.042,cb_intrinsic,glutamate,4,82,0.02
FB8F_a,SLP441,204,0.042,cb_intrinsic,acetylcholine,2,102,0.025
LCNOp,LAL043_a,277,0.042,cb_intrinsic,unclear,4,0,0.0
SAF,FB9B_a,107,0.042,cb_intrinsic,glutamate,4,76,0.033
ER1_a,LAL055,391,0.041,cb_intrinsic,acetylcholine,2,106,0.013
FB1F,SMP167,66,0.041,cb_intrinsic,unclear,12,67,0.037
