post,pre,modulator,syn,share,pre_in_cx,hb_syn
hDeltaB,FB4M,dopamine,3391,0.072,True,5625
hDeltaB,FB4L,dopamine,1207,0.026,True,1875
hDeltaJ,FB1H,dopamine,1184,0.031,True,1535
hDeltaA,FB4M,dopamine,1098,0.022,True,1868
PFNd,FB4M,dopamine,977,0.02,True,1723
ER4d,ExR2,dopamine,964,0.017,True,1015
EPG,ExR2,dopamine,959,0.005,True,1628
PFNp_b,FB1C,dopamine,811,0.031,True,1373
vDeltaI_a,FB5H,dopamine,763,0.064,True,0
PFNm_b,FB1C,dopamine,750,0.06,True,797
PFR_a,FB4M,dopamine,735,0.017,True,1384
ExR1,ExR2,dopamine,632,0.012,True,718
hDeltaJ,FB4M,dopamine,625,0.016,True,908
FB4M,FB4M,dopamine,605,0.03,True,1449
FC1B,FB2A,dopamine,561,0.039,True,867
PFNd,FB4L,dopamine,510,0.01,True,1201
FB2B_a,FB2A,dopamine,509,0.053,True,550
hDeltaB,FB1H,dopamine,459,0.01,True,974
PFNd,FB1H,dopamine,435,0.009,True,692
FB3A,FB4M,dopamine,434,0.037,True,724
PFNv,FB1H,dopamine,434,0.021,True,394
ER2_c,ExR2,dopamine,421,0.012,True,657
PFNa,FB2A,dopamine,420,0.011,True,570
vDeltaI_b,FB5H,dopamine,408,0.036,True,0
PFR_b,FB4M,dopamine,407,0.016,True,816
FB2I_a,FB2A,dopamine,400,0.035,True,857
FB4C,FB4M,dopamine,395,0.033,True,581
vDeltaH,FB5H,dopamine,391,0.061,True,965
hDeltaI,FB4M,dopamine,380,0.01,True,712
vDeltaK,FB1C,dopamine,378,0.023,True,665
PFNm_a,FB1C,dopamine,372,0.033,True,941
PFNp_c,FB1C,dopamine,358,0.02,True,716
PEN_a(PEN1),FB1C,dopamine,353,0.008,True,368
vDeltaG,FB5H,dopamine,353,0.026,True,484
vDeltaM,FB4M,dopamine,350,0.026,True,500
FC2A,FB1H,dopamine,347,0.011,True,775
vDeltaL,FB1C,dopamine,337,0.027,True,582
FB4L,FB4M,dopamine,317,0.033,True,550
FB5N,FB5H,dopamine,316,0.057,True,202
PFNv,FB4M,dopamine,310,0.015,True,433
FC1A,FB2A,dopamine,309,0.028,True,454
FC1F,FB2A,dopamine,298,0.031,True,508
PFL3,FB1H,dopamine,284,0.005,True,487
ExR4,ExR2,dopamine,275,0.013,True,376
PEN_a(PEN1),ExR2,dopamine,275,0.006,True,556
PFNp_b,FB1H,dopamine,270,0.01,True,277
PFR_a,FB1H,dopamine,261,0.006,True,547
hDeltaK,FB4M,dopamine,256,0.01,True,410
FB2A,FB2A,dopamine,255,0.025,True,462
FB2D,FB2A,dopamine,252,0.013,True,573
PFL3,FB1C,dopamine,249,0.004,True,561
hDeltaH,FB5H,dopamine,249,0.009,True,407
PEN_b(PEN2),ExR2,dopamine,247,0.006,True,451
PFL3,FB5H,dopamine,242,0.004,True,318
FC1D,FB2A,dopamine,235,0.02,True,346
