dn,cx_syn,cx_share,dn_in,top_sources,hb_cx_syn
DNg36_a,582,0.179,3249,ExR8:582,0
DNpe016,457,0.068,6747,PFL3:457,0
DNa03,2116,0.061,34849,PFL2:1571;PFL3:468;ExR8:61;ExR4:7;LCNOpm:3,1064
DNb01,753,0.047,16059,PFL3:753,375
DNp48,357,0.043,8333,FB5G_a:65;FS3_a:49;FB5G_c:34;FS3_c:32;FS3_b:27,0
DNc02,146,0.039,3762,ExR5:18;EPG:16;FB6C_a:11;FB1C:7;Delta7:7,0
DNbe006,225,0.036,6260,PFL3:216;PFL2:6;FB5A:2;FB5V_a:1,0
DNc01,93,0.023,4014,Delta7:25;EPG:17;ER2_c:7;ExR1:5;ER4m:4,0
DNa02,747,0.015,49357,PFL3:736;PFL2:5;ExR6:3;LCNOpm:1;LNO2:1,277
DNb09,269,0.014,19285,PFL2:244;PFL3:24;ExR4:1,0
DNae002,315,0.013,24262,PFL3:313;LNO2:2,0
DNp39,63,0.011,5531,PFL3:62;ExR3:1,0
DNpe015,55,0.011,5004,ExR8:55,0
DNg97,301,0.008,36289,PFL3:301,0
MDN,161,0.007,21573,PFL2:155;ExR4:3;ExR6:2;LCNOpm:1,81
CB0429,65,0.007,9887,PFL3:41;ExR7:11;ExR5:8;PFL1:2;ExR3:1,0
DNp102,99,0.005,18558,PFL3:99,0
DNge115,12,0.004,3409,ExR8:12,0
DNge116,5,0.004,1325,ExR8:5,0
DNp38,12,0.003,4458,PFL1:11;ExR3:1,0
DNb03,11,0.002,6578,ExR8:11,4
DNpe023,22,0.002,13801,LNO2:7;GLNO:5;PFL2:5;PFL3:2;LCNOpm:1,0
DNp52,8,0.002,3408,FB4R:2;LCNOp:1;FB1H:1;FB4D_a:1;FB4G:1,0
DNa13,56,0.001,49289,PFL2:45;ExR4:4;GLNO:4;LCNOpm:2;ExR6:1,0
DNae005,12,0.001,15892,ExR8:9;LNO2:1;ExR2:1;ER6:1,0
DNpe022,8,0.001,10820,PFL2:8,0
DNpe053,29,0.001,37475,FB5D:7;FS3_d:3;FB4P_a:3;ExR7:2;FS3_b:2,0
DNa11,16,0.001,25930,PFL2:7;ExR6:6;ExR4:1;ER6:1;FB5A:1,0
DNpe055,7,0.001,8098,IbSpsP:6;ExR3:1,0
DNp104,8,0.001,14417,ExR3:5;LCNOp:1;IbSpsP:1;FB5V_a:1,0
DNg92_a,5,0.001,3558,ExR3:5,0
DNp27,14,0.001,17306,FS3_b:3;ExR3:3;FS3_d:2;FS3_a:2;PFL1:1,3
DNge141,4,0.001,6501,ExR8:3;ExR2:1,0
DNp54,6,0.001,9568,ExR3:3;FB1H:1;ExR6:1;FB4N:1,0
DNpe027,11,0.001,8924,PFL3:2;FB5A:2;ExR4:1;ExR3:1;ExR8:1,0
DNpe043,3,0.001,5081,vDeltaA_a:2;FB8C:1,0
DNg92_b,4,0.001,3255,ExR8:2;ExR3:2,0
DNg36_b,2,0.001,2216,ExR8:2,0
DNg02_b,2,0.001,3167,ExR3:2,0
DNpe048,5,0.001,4858,FB6D:2;ExR3:1;FB8C:1;FB7C:1,0
DNpe035,2,0.001,3571,FB8C:2,0
DNpe011,1,0.001,1111,ExR3:1,0
DNp62,7,0.001,8589,FB4C:1;FB4G:1;FB5W_a:1;FB4R:1;FB4K:1,0
DNge041,6,0.0,12403,PFL3:6,0
DNge135,5,0.0,10019,ExR8:5,0
DNbe003,6,0.0,14087,PFL3:4;GLNO:1;ExR6:1,0
DNge094,3,0.0,7535,PFL1:3,0
DNg13,3,0.0,12958,PFL3:3,0
DNp55,2,0.0,17222,PFL3:2,0
DNpe003,2,0.0,10619,PFL3:2,0
DNp41,2,0.0,5700,IbSpsP:2,0
DNge138,2,0.0,12876,ExR8:2,0
DNp63,3,0.0,12824,ExR7:2;FB2D:1,0
DNpe024,2,0.0,8485,ER6:2,0
DNpe026,2,0.0,7442,ExR3:2,0
DNp47,2,0.0,7498,ExR3:2,0
DNpe014,2,0.0,7840,EPGt:2,0
DNb08,2,0.0,36985,FB5V_a:2,0
DNp68,6,0.0,12936,FB5W_a:2;FB4P_a:2;FB1H:1;FB5A:1,0
DNp59,3,0.0,13924,FB4G:2;LCNOp:1,0
DNp31,4,0.0,36126,FC1A:2;FC1E:2,0
DNde005,1,0.0,8914,LCNOp:1,0
DNae001,2,0.0,11871,LCNOpm:1;LNO2:1,0
DNbe004,2,0.0,19566,IbSpsP:1;ExR3:1,0
DNae009,1,0.0,15082,IbSpsP:1,0
DNa10,2,0.0,31985,IbSpsP:1;FB4M:1,1
DNpe013,2,0.0,15369,IbSpsP:1;ExR5:1,0
DNp101,1,0.0,10855,PFL1:1,0
DNp29,2,0.0,6739,PEG:1;FB2H_a:1,0
DNpe002,1,0.0,14830,LPsP:1,0
DNg111,2,0.0,14463,LPsP:1;LNO2:1,0
DNde003,3,0.0,14814,LNO2:1;FB5V_c:1;FB5V_a:1,0
DNae003,1,0.0,16697,LNO2:1,0
DNa01,1,0.0,26891,LNO2:1,0
aSP22,1,0.0,19724,LNO1:1,0
DNp32,4,0.0,17948,FB2B_b:1;ExR3:1;FB4O:1;FB5C:1,0
DNa08,1,0.0,3001,ExR3:1,0
DNb04,1,0.0,11685,ExR3:1,2
DNb07,1,0.0,6013,ExR3:1,0
DNp46,1,0.0,4728,ExR3:1,0
DNpe010,1,0.0,2296,ExR3:1,0
DNpe001,1,0.0,9824,ExR3:1,0
DNg02_g,1,0.0,6212,ExR3:1,0
DNg03,2,0.0,4163,ExR3:1;FB8C:1,0
DNg27,1,0.0,6969,ExR3:1,0
DNg95,1,0.0,3863,ExR3:1,0
DNge030,1,0.0,3699,ExR3:1,0
DNge152,1,0.0,4156,ExR3:1,0
DNp10,2,0.0,22728,ExR3:1;FB4L:1,0
DNg41,1,0.0,5418,ExR8:1,0
DNge114,1,0.0,2362,ExR8:1,0
DNpe054,1,0.0,3362,ExR8:1,0
DNge111,1,0.0,3590,ExR8:1,0
DNp19,1,0.0,15357,ExR5:1,0
DNbe007,1,0.0,16572,ExR6:1,0
DNpe050,1,0.0,9320,FB4B:1,0
DNg104,1,0.0,7892,FB5V_c:1,0
DNpe041,1,0.0,4422,FB7F:1,0
DNp14,1,0.0,8741,FB4Z_a:1,0
DNde007,1,0.0,2737,FB4K:1,0
DNa14,1,0.0,4572,FB4M:1,0
DNp64,1,0.0,10586,FB4P_a:1,0
