type,dimorphism,fruDsx,superclass,syn_to_cx,syn_from_cx,top_cx_targets,top_cx_sources
AOTU001,,fru_low,cb_intrinsic,434,18,"[('LCNOpm', 170), ('LNO2', 143), ('FB2K', 38), ('FB1C', 13)]","[('PFL2', 9), ('ExR2', 3), ('EPG', 2), ('PFL3', 1)]"
AOTU029,,fru_low,cb_intrinsic,184,34,"[('FB5A', 143), ('FB4Y', 10), ('ExR4', 5), ('FC2C', 5)]","[('FC2C', 17), ('FC2B', 8), ('PFL2', 2), ('PFL3', 2)]"
AOTU030,,fru_low,cb_intrinsic,264,34,"[('FB5X', 57), ('FB5E', 45), ('FB5F', 31), ('FB5Q', 28)]","[('FS1A_c', 7), ('FS1A_b', 6), ('FC2C', 6), ('FS1B_a', 4)]"
AOTU037,,fru_low,cb_intrinsic,16,507,"[('FB2K', 14), ('FB5A', 1), ('PFL1', 1)]","[('PFL1', 507)]"
AOTU042,,fru_high,cb_intrinsic,201,2901,"[('PFL3', 58), ('FB5A', 36), ('FC2B', 26), ('ExR6', 19)]","[('PFL3', 2287), ('FC2C', 394), ('PFL2', 153), ('FC2B', 39)]"
AVLP705m,male-specific,dsx_high,cb_intrinsic,1193,54,"[('FB4Y', 291), ('FB1C', 230), ('LCNOpm', 204), ('ExR6', 94)]","[('FB1C', 16), ('FB6M', 9), ('FB4G', 7), ('ExR6', 6)]"
AVLP742m,male-specific,,cb_intrinsic,105,7,"[('FB4K', 42), ('FB4F_a', 24), ('FB4Y', 10), ('FB4F_c', 10)]","[('FB1H', 2), ('FB5W_a', 2), ('FB4C', 2), ('FB4K', 1)]"
AVLP752m,male-specific,dsx_high,cb_intrinsic,469,131,"[('ExR6', 69), ('LCNOpm', 57), ('FB4F_c', 53), ('FB4Y', 50)]","[('PFL3', 67), ('PFL2', 42), ('ExR6', 5), ('FB4G', 3)]"
AVLP758m,male-specific,,cb_intrinsic,138,0,"[('FB5D', 46), ('FB5C', 38), ('FB4P_a', 15), ('FB5AA', 9)]",[]
BiT,,fru_low,cb_intrinsic,716,22,"[('FB7L', 184), ('FB8E', 117), ('FB8G', 85), ('FB8H', 69)]","[('FS4A', 9), ('FB7A', 3), ('FB7G', 3), ('FB8H', 3)]"
CB1009,,fru_low,cb_intrinsic,135,13,"[('FB8I', 21), ('FB7L', 21), ('FB6H', 14), ('FB6C_b', 13)]","[('FS4C', 5), ('FS3_d', 2), ('FS3_a', 2), ('FS4A', 1)]"
CB1487,,fru_low,cb_intrinsic,3,110,"[('PFL3', 3)]","[('PFL2', 100), ('PFL3', 9), ('LPsP', 1)]"
CB1705,,fru_high,cb_intrinsic,75,562,"[('FB2K', 15), ('FB5A', 14), ('FB2D', 9), ('FB2L', 8)]","[('PFL3', 534), ('PFL1', 23), ('PFL2', 1), ('FC2C', 1)]"
CB2035,,fru_low,cb_intrinsic,287,35,"[('FB4M', 99), ('FB5A', 41), ('FB1G', 27), ('FB1H', 26)]","[('FB2D', 9), ('FR2', 9), ('FS1B_a', 8), ('FB4C', 4)]"
