pre,post,syn,offset_deg,conc,post_cells,cells_hit_frac,DA,OA,SER,DA_col_uniformity,read_goal,read_steer,best_2hop,best_2hop_syn,readout_offset_deg,post_nt,post_total_in,score
PFNv,hDeltaB,4344,343.0,0.841,19,1.0,5068,646,36,0.36,146,46,hDeltaJ,4232,203.2,acetylcholine,46924,1035.7
hDeltaB,PFR_a,6717,194.6,0.931,28,1.0,1228,581,131,0.36,606,393,hDeltaA,2666,4.3,unclear,42484,962.9
PFNd,PFR_a,3430,20.8,0.919,28,1.0,1228,581,131,0.36,606,393,hDeltaA,2666,4.3,unclear,42484,880.8
PFNa,hDeltaJ,1368,343.6,0.888,31,1.0,2093,377,41,0.56,5732,120,FC2A,3062,195.1,acetylcholine,37986,872.2
PFNd,hDeltaA,1587,186.2,0.94,12,1.0,1353,124,1540,0.56,135,5328,hDeltaI,1388,185.6,acetylcholine,50360,861.0
hDeltaB,hDeltaA,2216,1.3,0.794,12,1.0,1353,124,1540,0.56,135,5328,hDeltaI,1388,185.6,acetylcholine,50360,794.1
hDeltaJ,FC2A,3062,193.7,0.877,18,1.0,594,45,100,0.68,640,3602,PFL3,917,356.6,acetylcholine,32155,764.9
hDeltaH,PFR_a,1148,201.7,0.899,28,1.0,1228,581,131,0.36,606,393,hDeltaA,2666,4.3,unclear,42484,749.9
hDeltaB,vDeltaM,4009,194.7,0.881,55,1.0,665,26,362,0.04,10,39,hDeltaA,2250,337.5,acetylcholine,13711,741.9
hDeltaB,PFR_b,5787,196.2,0.911,16,1.0,615,103,104,0.38,56,31,hDeltaH,1261,352.5,acetylcholine,25874,739.2
vDeltaM,vDeltaK,3058,1.9,0.896,47,1.0,517,50,1376,0.19,35,1215,hDeltaA,3168,360.0,acetylcholine,16542,736.1
hDeltaA,PFR_a,2195,194.5,0.93,28,1.0,1228,581,131,0.36,606,393,hDeltaJ,769,4.3,unclear,42484,735.6
