tangential,T_nt,T_cells,columnar,T_to_X,col_uniformity,teacher_in,readout,modulator_on_X,T_ext_share,T_context,score
FB5V_a,glutamate,6,hDeltaA,1192,0.62,3806,5463,1477,0.31,LAL101:307;CRE028:212;SMP471:201;LAL129:186,1832.5
FB4P_b,glutamate,3,hDeltaA,2833,0.65,3806,5463,1477,0.19,CRE059:273;SMP133:183;CRE005:160;MBON21:96,1721.2
FB4K,glutamate,4,hDeltaA,2754,0.62,3806,5463,1477,0.13,CRE067:399;CRE027:187;CRE107:177;SMP179:159,1453.8
FB4X,glutamate,2,hDeltaJ,1651,0.45,6997,5852,2470,0.19,SLP247:314;MBON30:259;CRE042:239;LHPD5f1:227,1420.4
FB4M,dopamine,4,hDeltaJ,625,0.54,6997,5852,2470,0.19,SMP377:1111;PLP246:660;SIP064:468;CRE059:415,1383.9
FB4D_a,glutamate,2,hDeltaJ,1228,0.55,6997,5852,2470,0.12,CRE024:98;CRE071:91;CRE066:63;CRE049:34,1352.7
FB4Z_a,glutamate,8,hDeltaA,1721,0.69,3806,5463,1477,0.07,FB5V_b:577,1290.7
FB4M,dopamine,4,hDeltaA,1098,0.53,3806,5463,1477,0.19,SMP377:1111;PLP246:660;SIP064:468;CRE059:415,1286.7
FB4K,glutamate,4,hDeltaJ,1030,0.5,6997,5852,2470,0.13,CRE067:399;CRE027:187;CRE107:177;SMP179:159,1266.6
FB5X,glutamate,6,hDeltaA,1647,0.48,3806,5463,1477,0.18,SMP377:539;SMP133:314;oviIN:191;PLP246:153,1262.3
FB4Q_a,glutamate,2,hDeltaA,1443,0.57,3806,5463,1477,0.13,SMP133:133;CRE003_b:77;CRE059:68;CRE005:57,1244.4
FB4I,glutamate,2,hDeltaA,1082,0.61,3806,5463,1477,0.11,LAL101:71;LAL045:64;CRE044:61;CRE004:43,1210.5
FB4P_a,glutamate,4,hDeltaA,1508,0.59,3806,5463,1477,0.1,CRE028:275;CRE106:151;SMP122:143;SMP123:138,1188.9
FB5P,glutamate,4,hDeltaH,730,0.59,1223,4651,799,0.26,oviIN:207;CRE078:131;SIP066:123;SMP180:94,1178.2
FB5V_c,glutamate,5,hDeltaA,703,0.39,3806,5463,1477,0.29,LAL137:174;CL129:165;SMP471:154;IB005:142,1176.0
FB3A,glutamate,4,PFNd,5765,0.66,15279,64,2211,0.21,LAL143:727;PS326:511;AN06B009:319;PS196_b:195,1167.8
FB4A_a,glutamate,6,hDeltaJ,1854,0.47,6997,5852,2470,0.08,CRE107:113;CRE025:102;MBON04:66;LHPD2c7:64,1158.3
FB4R,glutamate,6,hDeltaB,3647,0.3,25408,192,5714,0.31,MBON21:756;MBON09:492;LHPV7c1:335;LAL185:176,1156.8
FB4O,glutamate,6,hDeltaJ,1236,0.41,6997,5852,2470,0.14,CRE049:299;SMP146:219;MBON22:175;SIP128m:159,1144.4
FB4P_c,glutamate,2,hDeltaA,789,0.55,3806,5463,1477,0.14,SMP133:178;MBON21:122;CRE059:77;SMP152:76,1130.4
FB1G,acetylcholine,2,hDeltaJ,1122,0.44,6997,5852,2470,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,1125.6
FB5Z,glutamate,4,hDeltaG,996,0.81,940,3933,247,0.2,oviIN:263;LAL137:93;SMP185:85;CRE105:84,1088.8
FB5Q,glutamate,4,hDeltaM,1256,0.72,363,5353,586,0.21,oviIN:261;SMP541:237;SMP376:184;CRE074:173,1088.5
FB1H,dopamine,2,hDeltaJ,1184,0.57,6997,5852,2470,0.03,CRE024:225;SMP133:184,1078.9
FB4Z_c,glutamate,4,hDeltaA,907,0.6,3806,5463,1477,0.07,FB5V_b:313,1062.6
FB4F_a,glutamate,4,hDeltaA,1604,0.54,3806,5463,1477,0.07,CRE004:167;LAL147_a:128;IB005:92,1057.7
FB4M,dopamine,4,hDeltaB,3391,0.38,25408,192,5714,0.19,SMP377:1111;PLP246:660;SIP064:468;CRE059:415,1050.5
FB4D_c,glutamate,2,hDeltaJ,1129,0.38,6997,5852,2470,0.13,CRE024:159;CRE042:86;CRE066:57;CRE070:32,1040.5
FB5D,glutamate,3,hDeltaA,537,0.6,3806,5463,1477,0.1,SMP123:213;SMP122:185;SMP124:153;OA-VPM3:125,1033.8
FB5I,glutamate,2,PFR_a,1499,0.52,11449,999,1808,0.1,SMP011_b:126;SMP011_a:109;SLP247:106;SMP504:87,1012.2
FB4F_c,glutamate,6,hDeltaA,990,0.61,3806,5463,1477,0.05,PLP161:208;CRE004:149,1005.1
FB4Y,serotonin,4,hDeltaA,1539,0.63,3806,5463,1477,0.01,AVLP705m:291,990.9
FB4E_a,glutamate,5,hDeltaI,1730,0.41,3669,5535,889,0.16,CRE028:301;CL236:90;LAL196:82;SMP376:76,988.9
FB4J,glutamate,2,hDeltaJ,606,0.35,6997,5852,2470,0.16,CRE024:198;CRE042:134;CRE070:50;CRE066:45,977.4
FB4K,glutamate,4,PFR_a,1836,0.42,11449,999,1808,0.13,CRE067:399;CRE027:187;CRE107:177;SMP179:159,976.9
FB4A_b,glutamate,2,hDeltaJ,990,0.45,6997,5852,2470,0.06,MBON04:86;LHPD2c7:70,969.5
FB5Q,glutamate,4,PFL3,1300,0.42,6858,917,1060,0.21,oviIN:261;SMP541:237;SMP376:184;CRE074:173,957.6
FB5A,gaba,4,hDeltaH,906,0.83,1223,4651,799,0.04,SMP192:379;CRE086:333;CRE085:282,955.5
FB4P_c,glutamate,2,hDeltaI,472,0.54,3669,5535,889,0.14,SMP133:178;MBON21:122;CRE059:77;SMP152:76,950.4
FB4X,glutamate,2,hDeltaH,751,0.51,1223,4651,799,0.19,SLP247:314;MBON30:259;CRE042:239;LHPD5f1:227,930.4
FB4G,glutamate,2,hDeltaI,591,0.47,3669,5535,889,0.15,CRE005:257;CRE004:128;CRE023:112;MBON25-like:86,926.7
FB4O,glutamate,6,PFR_a,1722,0.37,11449,999,1808,0.14,CRE049:299;SMP146:219;MBON22:175;SIP128m:159,912.3
FB4K,glutamate,4,hDeltaH,943,0.56,1223,4651,799,0.13,CRE067:399;CRE027:187;CRE107:177;SMP179:159,911.2
FB4P_b,glutamate,3,PFR_a,895,0.36,11449,999,1808,0.19,CRE059:273;SMP133:183;CRE005:160;MBON21:96,904.9
FB4X,glutamate,2,PFR_a,635,0.38,11449,999,1808,0.19,SLP247:314;MBON30:259;CRE042:239;LHPD5f1:227,893.8
FB5AB,acetylcholine,2,hDeltaC,1751,0.44,2405,3483,725,0.15,CRE103:333;CB1434:230;MBON13:227;LHPV5e1:224,888.8
FB6A_c,glutamate,2,hDeltaC,3485,0.42,2405,3483,725,0.12,SIP076:505;SMP347:343;SIP005:138;SMP405:127,886.2
FB4M,dopamine,4,PFR_a,735,0.37,11449,999,1808,0.19,SMP377:1111;PLP246:660;SIP064:468;CRE059:415,883.3
FB6F,glutamate,2,hDeltaG,1096,0.59,940,3933,247,0.21,SMP161:136;SMP368:112;SMP249:91;CB2814:91,876.6
FB4E_b,glutamate,4,hDeltaI,1030,0.35,3669,5535,889,0.18,CRE028:182;SMP122:105;CL236:78;SMP109:57,876.5
FB5X,glutamate,6,PFL3,1429,0.39,6858,917,1060,0.18,SMP377:539;SMP133:314;oviIN:191;PLP246:153,874.5
FB5AA,glutamate,2,hDeltaG,937,0.83,940,3933,247,0.1,CRE072:147;CRE105:102;OA-VPM3:82;CRE025:77,872.6
FB4D_b,glutamate,2,hDeltaJ,1107,0.41,6997,5852,2470,0.04,CRE071:48;CRE066:44,872.1
FB4N,glutamate,2,hDeltaJ,973,0.32,6997,5852,2470,0.1,SMP010:260;SMP117_a:235;SIP064:180;LAL007:161,870.7
FB5J,glutamate,2,hDeltaJ,672,0.47,6997,5852,2470,0.03,LHPD2c7:52;MBON04:40,869.9
FB5M,glutamate,2,hDeltaA,422,0.52,3806,5463,1477,0.08,PLP161:115;AN19B019:40;AVLP032:34,867.3
FB4Q_c,glutamate,3,hDeltaJ,725,0.39,6997,5852,2470,0.07,CRE003_b:108;CRE018:82;LHPD5f1:52,861.2
FB4R,glutamate,6,hDeltaJ,329,0.2,6997,5852,2470,0.31,MBON21:756;MBON09:492;LHPV7c1:335;LAL185:176,857.7
FB5G_c,glutamate,2,hDeltaM,557,0.65,363,5353,586,0.19,CRE074:82;oviIN:82;SMP542:81;SIP065:77,848.6
FB4P_b,glutamate,3,PFL3,1030,0.38,6858,917,1060,0.19,CRE059:273;SMP133:183;CRE005:160;MBON21:96,836.3
FB5D,glutamate,3,hDeltaH,704,0.6,1223,4651,799,0.1,SMP123:213;SMP122:185;SMP124:153;OA-VPM3:125,831.9
FB5G_a,glutamate,4,hDeltaM,1112,0.62,363,5353,586,0.15,SIP065:170;SMP542:169;SMP566:107;CB3614:96,830.7
FB5U,glutamate,4,hDeltaH,1399,0.75,1223,4651,799,0.0,,826.5
FB4F_c,glutamate,6,hDeltaI,3538,0.4,3669,5535,889,0.05,PLP161:208;CRE004:149,825.8
FB4X,glutamate,2,hDeltaA,301,0.37,3806,5463,1477,0.19,SLP247:314;MBON30:259;CRE042:239;LHPD5f1:227,825.3
FB4F_b,glutamate,2,hDeltaA,854,0.45,3806,5463,1477,0.06,CRE070:58;CRE004:51;LAL101:44,820.4
FB4C,glutamate,2,PFNd,4366,0.73,15279,64,2211,0.04,SMP374:281;CRE107:145,810.6
FB4P_c,glutamate,2,PFR_a,752,0.38,11449,999,1808,0.14,SMP133:178;MBON21:122;CRE059:77;SMP152:76,809.5
FB6C_b,glutamate,6,hDeltaC,2032,0.32,2405,3483,725,0.19,SLP405_c:414;SMP250:331;PRW001:288;SLP340:287,809.0
FB5F,glutamate,2,PFL3,609,0.43,6858,917,1060,0.18,oviIN:133;PLP246:71;SMP185:65;mALD1:62,806.6
FB5I,glutamate,2,hDeltaJ,532,0.33,6997,5852,2470,0.1,SMP011_b:126;SMP011_a:109;SLP247:106;SMP504:87,796.6
FB1G,acetylcholine,2,PFR_a,699,0.4,11449,999,1808,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,792.1
FB4L,dopamine,4,hDeltaB,1207,0.29,25408,192,5714,0.19,SIP064:394;LAL055:342;mALB5:339;LAL139:218,789.4
FB5B,glutamate,6,hDeltaC,961,0.48,2405,3483,725,0.11,SLP247:207;SIP071:125;M_lvPNm25:107;SMP126:95,787.9
FB6F,glutamate,2,hDeltaL,2764,0.68,484,3798,75,0.21,SMP161:136;SMP368:112;SMP249:91;CB2814:91,787.4
FB4C,glutamate,2,PFR_a,1184,0.48,11449,999,1808,0.04,SMP374:281;CRE107:145,782.5
FB4X,glutamate,2,hDeltaM,712,0.55,363,5353,586,0.19,SLP247:314;MBON30:259;CRE042:239;LHPD5f1:227,777.0
FB2M_a,glutamate,4,hDeltaM,1540,0.75,363,5353,586,0.05,PLP026:107;CB3056:100,776.3
FB4B,glutamate,2,hDeltaB,5373,0.4,25408,192,5714,0.03,WED153:148;CB2037:132,775.1
FB6A_b,glutamate,2,hDeltaC,1164,0.33,2405,3483,725,0.2,SIP005:317;SLP396:299;SMP186:277;SMP347:265,774.4
FB4Q_a,glutamate,2,PFR_a,580,0.38,11449,999,1808,0.13,SMP133:133;CRE003_b:77;CRE059:68;CRE005:57,770.4
FB8H,glutamate,6,FC2C,844,0.46,186,5575,325,0.36,CB1617:236;CB4022:197;CB4023:157;LHPV5a3:151,768.8
FB4R,glutamate,6,hDeltaI,301,0.26,3669,5535,889,0.31,MBON21:756;MBON09:492;LHPV7c1:335;LAL185:176,766.4
FB6D,glutamate,2,hDeltaC,1716,0.28,2405,3483,725,0.21,SMP215:687;SMP354:211;SMP186:204;PRW009:126,765.3
FB3A,glutamate,4,PFR_a,370,0.32,11449,999,1808,0.21,LAL143:727;PS326:511;AN06B009:319;PS196_b:195,762.9
FB4M,dopamine,4,PFNd,977,0.54,15279,64,2211,0.19,SMP377:1111;PLP246:660;SIP064:468;CRE059:415,762.7
FB5C,glutamate,3,hDeltaG,1018,0.73,940,3933,247,0.08,CRE072:183;OA-VPM3:163;CRE105:143,757.8
FB2F_d,glutamate,4,hDeltaG,880,0.74,940,3933,247,0.08,SIP003_a:72;LHPD2a4_a:63;CB4198:63;SMP568_d:60,756.3
FB3A,glutamate,4,hDeltaB,883,0.27,25408,192,5714,0.21,LAL143:727;PS326:511;AN06B009:319;PS196_b:195,755.7
FB5G_c,glutamate,2,PFL3,692,0.35,6858,917,1060,0.19,CRE074:82;oviIN:82;SMP542:81;SIP065:77,745.3
FB4O,glutamate,6,PFL3,1195,0.36,6858,917,1060,0.14,CRE049:299;SMP146:219;MBON22:175;SIP128m:159,736.2
FB6A_a,glutamate,2,hDeltaC,1468,0.33,2405,3483,725,0.16,SIP076:458;SMP347:239;SMP407:219;SMP034:215,734.3
FB4O,glutamate,6,hDeltaA,385,0.33,3806,5463,1477,0.14,CRE049:299;SMP146:219;MBON22:175;SIP128m:159,726.3
FB4P_b,glutamate,3,PFL2,379,0.52,4338,646,556,0.19,CRE059:273;SMP133:183;CRE005:160;MBON21:96,725.9
FB2F_b,glutamate,3,hDeltaH,736,0.66,1223,4651,799,0.02,CB1220:53,722.9
FB5F,glutamate,2,hDeltaM,425,0.57,363,5353,586,0.18,oviIN:133;PLP246:71;SMP185:65;mALD1:62,721.7
FB5X,glutamate,6,hDeltaM,480,0.55,363,5353,586,0.18,SMP377:539;SMP133:314;oviIN:191;PLP246:153,718.9
FB5W_a,glutamate,6,hDeltaM,717,0.67,363,5353,586,0.09,SMP178:129;SMP376:80;SMP114:55;CRE025:54,718.3
FB4Z_b,glutamate,3,hDeltaA,349,0.37,3806,5463,1477,0.11,FB5V_b:216,715.5
FB5I,glutamate,2,hDeltaC,2654,0.34,2405,3483,725,0.1,SMP011_b:126;SMP011_a:109;SLP247:106;SMP504:87,713.7
FB2G_b,glutamate,6,hDeltaA,836,0.41,3806,5463,1477,0.03,SIP086:110;CB2814:107,711.9
FB4M,dopamine,4,hDeltaI,380,0.31,3669,5535,889,0.19,SMP377:1111;PLP246:660;SIP064:468;CRE059:415,706.1
FB4P_b,glutamate,3,hDeltaI,649,0.26,3669,5535,889,0.19,CRE059:273;SMP133:183;CRE005:160;MBON21:96,704.7
FB2F_b,glutamate,3,hDeltaJ,695,0.36,6997,5852,2470,0.02,CB1220:53,696.1
FB2D,glutamate,6,hDeltaJ,746,0.38,6997,5852,2470,0.0,,694.5
FB2M_a,glutamate,4,hDeltaA,445,0.43,3806,5463,1477,0.05,PLP026:107;CB3056:100,693.3
FB6W,glutamate,2,hDeltaG,916,0.69,940,3933,247,0.06,SMP541:72;CRE025:66;SMP376:45,690.0
FB4O,glutamate,6,hDeltaH,475,0.43,1223,4651,799,0.14,CRE049:299;SMP146:219;MBON22:175;SIP128m:159,686.8
FB5B,glutamate,6,hDeltaG,397,0.7,940,3933,247,0.11,SLP247:207;SIP071:125;M_lvPNm25:107;SMP126:95,683.7
FB6F,glutamate,2,FC2C,1023,0.54,186,5575,325,0.21,SMP161:136;SMP368:112;SMP249:91;CB2814:91,678.1
FB2G_a,glutamate,2,hDeltaJ,355,0.32,6997,5852,2470,0.07,SMP568_b:46;LHPD2a4_a:45;CB1220:43,676.8
FB6V,glutamate,2,hDeltaG,666,0.69,940,3933,247,0.07,CRE072:174;CRE105:100;CRE025:83,672.1
FB5G_a,glutamate,4,PFL3,1176,0.3,6858,917,1060,0.15,SIP065:170;SMP542:169;SMP566:107;CB3614:96,670.1
FB6R,glutamate,4,hDeltaG,501,0.74,940,3933,247,0.07,SMP133:83;SMP136:63;SMP377:57,668.8
