type,n,superclass,class,subclass,nt,dimorphism,fruDsx,somaNeuromere,hemibrainType,flywireType,synonyms,sides
5-HTPLP01,2,cb_intrinsic,,,glutamate,,,,5-HTPLP01,5-HTPLP01,,LR
5-HTPMPD01,2,cb_intrinsic,,,serotonin,,,,5-HTPMPD01,5-HTPMPD01,,LR
5-HTPMPV01,2,cb_intrinsic,,,serotonin,,,,5-HTPMPV01,5-HTPMPV01,,LR
5-HTPMPV03,2,visual_centrifugal,,,serotonin,,,,5-HTPMPV03,5-HTPMPV03,,LR
5thsLNv_LNd6,4,visual_projection,,,acetylcholine,,fru_high,,s-LNv,"s-LNv_a,LNd_a","fru-M-000139,fru-M-100193,fru-M-300008",LR
ADNM1 MN,2,vnc_motor,,nm,unclear,,,T1,,,,LR
ADNM2 MN,2,vnc_motor,,nm,unclear,,,T1,,,,LR
AL-AST1,3,cb_intrinsic,ALON,,acetylcholine,,fru_high,,AL-AST1,AL-AST1,fru-M-700042,LR
AL-MBDL1,2,cb_intrinsic,ALIN,,acetylcholine,,,,AL-MBDL1,AL-MBDL1,,LR
ALBN1,2,cb_intrinsic,ALLN,,unclear,,,,ALBN1,ALBN1,,LR
ALIN1,4,cb_intrinsic,ALIN,,unclear,,fru_high,,ALIN1,ALIN1,fru-M-300159,LR
ALIN2,2,cb_intrinsic,ALIN,,acetylcholine,,,,ALIN2,ALIN2,,LR
ALIN3,4,cb_intrinsic,ALIN,,acetylcholine,,,,ALIN3,ALIN3,,LR
ALIN4,2,cb_intrinsic,ALIN,,gaba,,,,lLN7,ALIN4,,LR
ALIN5,2,cb_intrinsic,ALIN,,gaba,,,,,ALIN5,,LR
ALIN6,2,cb_intrinsic,ALIN,,gaba,,,,,ALIN6,,LR
ALIN7,2,cb_intrinsic,ALIN,,gaba,,,,,ALIN7,,LR
ALIN8,2,cb_intrinsic,ALIN,,acetylcholine,,,,,ALIN8,,LR
ALON1,2,cb_intrinsic,ALON,,acetylcholine,,,TC,,ALON1,,LR
ALON2,2,cb_intrinsic,ALON,,acetylcholine,,,,,ALON2,,LR
ALON3,4,cb_intrinsic,ALON,,glutamate,,fru_low,,,ALON3,"fru-M-100011, fru-M-300292",LR
AMMC-A1,6,cb_intrinsic,,,acetylcholine,,,,AMMC-A1,AMMC-A1,,LR
AMMC001,2,cb_intrinsic,,,gaba,,,MX,,CB3799,,LR
AMMC002,8,cb_intrinsic,,,gaba,,,CG,,CB2149,,LR
AMMC003,8,cb_intrinsic,,,gaba,,,MD,,CB1826,,LR
AMMC004,6,cb_intrinsic,,,gaba,,,MD,,CB0978,,LR
AMMC005,12,cb_intrinsic,,,glutamate,,,LB,,CB0958c,,LR
AMMC006,8,cb_intrinsic,,,glutamate,,,LB,,CB0958b,,LR
AMMC007,9,cb_intrinsic,,,glutamate,,,LB,,CB0958a,,LR
AMMC008,2,cb_intrinsic,,,glutamate,,,LB,,CB0451,,LR
AMMC009,2,cb_intrinsic,,,gaba,,,MX,,CB0333,,LR
AMMC010,2,cb_intrinsic,,,acetylcholine,,,MX,,CB0131,,LR
AMMC011,2,cb_intrinsic,,,acetylcholine,,,LB,,CB0749,,LR
AMMC012,2,cb_intrinsic,,,acetylcholine,,,CG,,CB0404,,LR
AMMC013,2,cb_intrinsic,,,acetylcholine,,,,(hb1744966885),CB0478,,LR
AMMC014,4,cb_intrinsic,,,acetylcholine,,,LB,,CB1350,,LR
AMMC015,8,cb_intrinsic,,,gaba,,,TC,,CB1098,,LR
AMMC016,4,cb_intrinsic,,,acetylcholine,,,MX,,CB2313,,LR
AMMC017,4,cb_intrinsic,,,acetylcholine,,,MX,,CB3805,,LR
AMMC018,9,cb_intrinsic,,,gaba,,,MD,,CB0979a,,LR
AMMC019,10,cb_intrinsic,,,gaba,,,MD,,CB0979b,,LR
AMMC020,10,cb_intrinsic,,,gaba,,,MD,,CB0989,,LR
AMMC021,5,cb_intrinsic,,,gaba,,,MD,,CB3371,,LR
AMMC022,6,cb_intrinsic,,,gaba,,,MD,,CB2067,,LR
AMMC023,4,cb_intrinsic,,,gaba,,,MD,,CB1038d,,LR
AMMC024,2,cb_intrinsic,,,gaba,,,MD,,CB1038a,,LR
AMMC025,12,cb_intrinsic,,,gaba,,,MD,,CB1978,,LR
AMMC026,10,cb_intrinsic,,,gaba,,,MD,,CB0980,,LR
AMMC027,3,cb_intrinsic,,,gaba,,,MD,,CB4240,,LR
AMMC028,4,cb_intrinsic,,,gaba,,,MD,,CB3893,,LR
AMMC029,2,cb_intrinsic,,,gaba,,,MD,,CB3275b,,LR
AMMC030,3,cb_intrinsic,,,gaba,,,MD,,CB3200,,LR
AMMC031,5,cb_intrinsic,,,gaba,,,MD,,CB3200,,LR
AMMC032,4,cb_intrinsic,,,gaba,,,MD,,CB2322,,LR
AMMC033,3,cb_intrinsic,,,gaba,,,MD,,CB3275a,,LR
AMMC034_a,3,cb_intrinsic,,,acetylcholine,,,DC,,CB2556,,LR
AMMC034_b,2,cb_intrinsic,,,acetylcholine,,,DC,,CB2556,,LR
AMMC035,10,cb_intrinsic,,,gaba,,,MD,,CB1427,,LR
AMMC036,6,cb_intrinsic,,,acetylcholine,,,LB,,CB0957,,LR
AMMC037,2,cb_intrinsic,,,gaba,,,MD,,CB3912,,LR
AMMC038,2,cb_intrinsic,,,gaba,,,MD,,CB1038b,,LR
AN00A002,1,ascending_neuron,,BA,gaba,,,T1,,AN_GNG_133,,M
AN00A006,5,ascending_neuron,,BA,gaba,potentially sexually dimorphic,,A1,,,,M
AN00A009,1,ascending_neuron,,BA,gaba,,,T1,,AN_GNG_35,,M
AN01A006,2,ascending_neuron,,CA,acetylcholine,,,A2,,AN_GNG_131,,LR
AN01A014,2,ascending_neuron,,BA,acetylcholine,,,T1,,AN_GNG_113,,LR
AN01A021,2,ascending_neuron,,BA,acetylcholine,,,A2,,,,LR
AN01A033,2,ascending_neuron,,BA,acetylcholine,,,T1,,AN_AVLP_26,,LR
AN01A049,2,ascending_neuron,,IA,acetylcholine,,,T1,,AN_GNG_SAD_7,,LR
AN01A055,2,ascending_neuron,,XA,acetylcholine,,,T1,,AN_multi_106,,LR
AN01A086,2,ascending_neuron,,XA,acetylcholine,,,T1,,"AN_AVLP_12,AN_AVLP_13",,LR
AN01A089,2,ascending_neuron,,XA,acetylcholine,,,T1,,AN_LH_AVLP_1,,LR
AN01B002,6,ascending_neuron,,BA,gaba,,,A4,,AN_GNG_29,,LR
AN01B004,6,ascending_neuron,,IA,acetylcholine,,,T2,,AN_GNG_162,,LR
AN01B005,6,ascending_neuron,,BA,gaba,,,T2,,AN_GNG_SAD_33,,LR
AN01B011,6,ascending_neuron,,IA,gaba,,,T3,,AN_GNG_VES_7,,LR
AN01B014,2,ascending_neuron,,BA,gaba,,,T2,,AN_AVLP_GNG_2,,LR
AN01B018,2,ascending_neuron,,IA,gaba,,,T2,,AN_GNG_100,,LR
AN02A001,2,ascending_neuron,,BA,glutamate,,,T2,,AN_multi_8,,LR
AN02A002,2,ascending_neuron,,BA,glutamate,,,T2,,AN_multi_12,,LR
AN02A005,2,ascending_neuron,,BA,glutamate,,,T2,,,,LR
AN02A009,2,ascending_neuron,,BA,glutamate,,,T2,,AN_GNG_IPS_8,,LR
AN02A016,2,ascending_neuron,,BA,glutamate,,,T1,,AN_GNG_56,,LR
AN02A017,2,ascending_neuron,,IA,glutamate,,,T1,,,,LR
AN02A022,2,ascending_neuron,,IA,glutamate,,,T3,,AN_IPS_GNG_2,,LR
AN02A025,2,ascending_neuron,,IA,glutamate,,,T1,,AN_multi_48,,LR
AN02A046,2,ascending_neuron,,IA,glutamate,,,T1,,AN_GNG_82,,LR
AN03A002,2,ascending_neuron,,BA,acetylcholine,,,T1,,AN_GNG_199,Chen 2023: SS42740,LR
AN03A008,2,ascending_neuron,,BA,acetylcholine,male-specific,fru_high,T1,,,Cachero 2010: vPr-j,LR
AN03B009,2,ascending_neuron,,BA,gaba,,,T2,,AN_GNG_12,,LR
AN03B011,4,ascending_neuron,,BA,gaba,,,T2,,AN_GNG_181,,LR
AN03B039,2,ascending_neuron,,IA,gaba,,,T2,,AN_GNG_IPS_9,,LR
AN03B050,2,ascending_neuron,,BA,gaba,,,T3,,,,LR
AN03B094,2,ascending_neuron,,IA,gaba,,,T1,,AN_multi_38,,LR
AN03B095,2,ascending_neuron,,IA,gaba,,,T1,,AN_GNG_31,,LR
AN04A001,6,ascending_neuron,,BA,acetylcholine,,,T1,,AN_GNG_186,,LR
AN04B001,4,ascending_neuron,,IA,acetylcholine,,fru_high,T1,,AN_GNG_VES_5,Cachero 2010: vPr-g,LR
AN04B003,6,ascending_neuron,,IA,acetylcholine,,,T2,,AN_IPS_GNG_7,,LR
AN04B004,4,ascending_neuron,,IA,acetylcholine,,,T1,,AN_GNG_201,,LR
AN04B023,6,ascending_neuron,,IA,acetylcholine,,,T1,,AN_SPS_IPS_3,,LR
AN04B051,2,ascending_neuron,,BA,acetylcholine,,,T1,,AN_multi_46,,LR
AN05B004,2,ascending_neuron,,BA,gaba,,,A8,,AN_GNG_111,,LR
AN05B005,2,ascending_neuron,,BA,gaba,,,T3,,AN_GNG_67,,LR
AN05B006,3,ascending_neuron,,BA,gaba,,,T2,,AN_multi_87,,LR
AN05B007,1,ascending_neuron,,BA,gaba,,,T1,,AN_GNG_109,,L
AN05B009,4,ascending_neuron,,CA,gaba,,,A2,,AN_GNG_65,,LR
AN05B010,1,ascending_neuron,,BA,gaba,,,T1,,AN_GNG_49,,L
AN05B015,2,ascending_neuron,,BA,gaba,,,A1,,AN_GNG_197,,LR
AN05B017,1,ascending_neuron,,BA,gaba,,,T1,,AN_GNG_101,,L
AN05B021,2,ascending_neuron,,BA,gaba,,,T2,,AN_GNG_FLA_6,,LR
AN05B023a,2,ascending_neuron,,BA,gaba,,,T2,,AN_GNG_SAD_14,,LR
AN05B023b,2,ascending_neuron,,BA,gaba,,,A2,,,,LR
AN05B023c,2,ascending_neuron,,BA,gaba,,,A6,,AN_AVLP_22,,LR
AN05B023d,2,ascending_neuron,,BA,gaba,,,A9,,AN_AVLP_GNG_10,,LR
AN05B024,1,ascending_neuron,,BA,gaba,,,T1,,AN_GNG_SAD_6,,L
AN05B025,2,ascending_neuron,,CA,gaba,,,A7,,AN_multi_94,,LR
AN05B026,1,ascending_neuron,,CA,gaba,,,T1,,AN_GNG_FLA_1,,L
AN05B027,1,ascending_neuron,,BA,gaba,,,T1,,AN_GNG_74,,L
AN05B029,1,ascending_neuron,,BA,gaba,,,T1,,AN_GNG_153,,L
AN05B035,2,ascending_neuron,,BA,gaba,potentially male-specific,,A2,,,,LR
AN05B036,2,vnc_intrinsic,,BA,gaba,,,T2,,,,LR
AN05B040,1,ascending_neuron,,,gaba,,,T1,,AN_GNG_152,,L
AN05B044,2,ascending_neuron,,IA,gaba,,,T2,,AN_GNG_VES_7,,LR
AN05B045,2,ascending_neuron,,BA,gaba,,,A2,,AN_GNG_197,,LR
AN05B046,1,ascending_neuron,,,gaba,,,T1,,AN_GNG_152,,L
AN05B048,2,ascending_neuron,,BA,gaba,,,T2,,,,LR
AN05B049_a,2,ascending_neuron,,BA,gaba,,,T2,,AN_GNG_69,,LR
AN05B049_b,2,ascending_neuron,,BA,gaba,,,T2,,AN_GNG_69,,LR
AN05B049_c,2,ascending_neuron,,BA,gaba,,,T2,,,,LR
AN05B050_a,2,ascending_neuron,,,gaba,,,T2,,,,LR
AN05B050_b,2,ascending_neuron,,,gaba,,,T2,,,,LR
AN05B050_c,4,ascending_neuron,,BA,gaba,,,T2,,AN_AVLP_GNG_13,,LR
AN05B052,3,ascending_neuron,,BA,gaba,,,T2,,AN_AVLP_GNG_23,,LR
AN05B053,4,ascending_neuron,,,gaba,,,A5,,AN_GNG_197,,LR
AN05B054_a,2,ascending_neuron,,BA,gaba,,,T2,,AN_GNG_69,,LR
AN05B054_b,4,ascending_neuron,,BA,gaba,,,T2,,AN_GNG_69,,LR
AN05B056,2,ascending_neuron,,,gaba,,,T1,,AN_GNG_75,,L
AN05B058,2,ascending_neuron,,BA,gaba,,,T1,,AN_GNG_75,,L
AN05B059,1,ascending_neuron,,BA,gaba,,,T3,,,,L
AN05B060,1,ascending_neuron,,BA,gaba,,,T3,,,,L
AN05B062,4,ascending_neuron,,BA,gaba,,,T3,,AN_AVLP_GNG_23,,LR
AN05B063,4,ascending_neuron,,,gaba,,,T2,,AN_GNG_121,,LR
AN05B067,1,ascending_neuron,,CA,gaba,,,T1,,,,L
AN05B068,7,ascending_neuron,,BA,gaba,,,T3,,AN_GNG_121,,LR
AN05B069,2,ascending_neuron,,BA,gaba,,,T1,,AN_GNG_197,,L
AN05B071,2,ascending_neuron,,BA,gaba,,,T1,,,,L
AN05B076,2,ascending_neuron,,BA,gaba,,,T2,,AN_GNG_PRW_4,,LR
AN05B078,3,ascending_neuron,,BA,gaba,,,T1,,AN_AVLP_GNG_7,,L
AN05B081,2,ascending_neuron,,CA,gaba,,,T1,,AN_AVLP_GNG_12,,L
AN05B083,1,ascending_neuron,,BA,gaba,,,T1,,AN_AVLP_GNG_23,,L
AN05B095,2,ascending_neuron,,BA,acetylcholine,potentially male-specific,,A2,,,,LR
AN05B096,4,ascending_neuron,,BA,acetylcholine,,,T3,,AN_GNG_SAD_20,,LR
AN05B097,8,ascending_neuron,,BA,acetylcholine,,,T3,,AN_multi_88,,LR
AN05B098,2,ascending_neuron,,BA,acetylcholine,,,T3,,AN_GNG_FLA_3,,LR
AN05B099,6,ascending_neuron,,BA,acetylcholine,,,A5,,AN_AVLP_GNG_8,,LR
