type_pre,type_post,weight,edge_rows
ER4d,ER4d,39443,650
Delta7,Delta7,26539,1717
ER4m,EPG,21202,506
PFNd,hDeltaB,20165,432
EPG,Delta7,19896,1670
ER2_c,ER2_c,15739,380
ER5,ER5,15478,420
ER2_c,EPG,14590,920
ER4m,ER4m,14580,110
PFNa,PFNa,14566,1654
PEN_a(PEN1),EPG,14398,426
ER3d_b,ER3d_b,13157,373
ER4d,EPG,12335,1195
EPG,EPG,11486,842
ER3m,ER3m,10798,306
ER3w_b,EPG,10568,828
ER3w_b,ER3w_b,10441,306
ER5,EL,10073,378
PEN_b(PEN2),EPG,9671,309
EPG,EL,9155,385
PFNv,PFNv,9048,210
ER3p_a,EPG,8924,644
ER2_a,EPG,8225,552
PFNd,PFNd,8109,847
Delta7,PFNa,7243,545
ER3p_a,ER3p_a,7239,182
hDeltaB,PFR_a,6717,136
EPG,PEN_b(PEN2),6230,298
PEN_b(PEN2),PEN_b(PEN2),6224,274
EPG,PEG,6154,379
EPG,PEN_a(PEN1),6100,366
ER2_c,ER2_a,6099,240
Delta7,PEN_b(PEN2),6061,224
ER2_a,ER2_c,5845,240
hDeltaB,PFR_b,5787,95
ER1_b,EPG,5634,598
Delta7,PFL3,5617,278
PEN_a(PEN1),PEN_a(PEN1),5446,257
ER3a_a,ER3m,5191,270
ER3a_a,ER3a_a,5138,210
ER3d_d,ER3d_d,4895,110
PEN_a(PEN1),EL,4799,175
PFGs,hDeltaK,4790,136
Delta7,PFL1,4732,193
hDeltaB,hDeltaK,4672,160
EPG,ER6,4580,164
EPG,ER4m,4487,504
Delta7,PFNd,4470,383
PEG,ER6,4431,72
PFNv,hDeltaB,4344,126
Delta7,EPG,4294,479
ER1_a,EPG,4292,505
hDeltaB,hDeltaJ,4232,264
EL,ER4d,4178,465
PFNa,FC1B,4151,363
ER2_a,ER2_a,4121,132
ER3m,EPG,4085,760
ER4m,EL,4052,198
ER3w_a,EPG,4034,322
PFNp_b,PFNp_b,3968,2883
Delta7,PEG,3926,219
ER4d,EL,3917,465
hDeltaA,PFL3,3881,92
EL,EPG,3709,293
ER2_c,EL,3691,360
ER3d_b,EPG,3673,854
ER6,PEG,3602,72
hDeltaB,hDeltaI,3575,161
ER3w_c,EPG,3513,276
hDeltaI,PFL3,3468,128
PFNd,PFR_a,3430,238
PEN_b(PEN2),EL,3365,112
ER2_d,EPG,3295,230
Delta7,PFL2,3269,147
EL,ER3p_a,3253,252
ER5,EPG,3222,781
hDeltaL,FC2C,3187,164
PEN_a(PEN1),PEN_b(PEN2),3179,269
ER3w_c,ER3w_b,3156,108
hDeltaB,PFGs,3125,71
ER3m,ER3a_a,3119,264
PEN_b(PEN2),PEN_a(PEN1),3067,269
hDeltaJ,FC2A,3062,172
ER3d_b,ER3d_d,3023,207
ER3d_c,ER3d_c,2963,72
PFNa,FC1A,2914,265
ER3d_e,ER3d_e,2884,42
PFNp_c,PFNp_b,2847,1674
hDeltaK,PFGs,2846,131
PFNp_c,PFNp_c,2822,778
EL,ER3d_b,2733,349
EPG,ER2_c,2701,835
FC2C,PFL3,2700,267
PFR_a,hDeltaA,2666,149
PFNa,FC1F,2604,268
ER2_c,ER4d,2601,467
EPG,ER4d,2598,992
hDeltaJ,FC2B,2573,228
FC2A,PFL3,2512,126
FC2B,PFL3,2478,183
ER2_b,EPG,2474,184
hDeltaH,FC2B,2437,70
hDeltaM,PFL3,2428,58
ER3d_d,ER3d_c,2421,99
hDeltaC,FC2B,2414,156
ER3d_c,ER3d_a,2360,63
ER3d_d,ER3d_b,2316,195
PEG,PEN_b(PEN2),2238,99
PFNm_b,PFNm_b,2231,386
hDeltaF,FC2C,2223,127
ER6,PEN_b(PEN2),2223,88
PFNp_b,PFNp_c,2218,1414
hDeltaB,hDeltaA,2216,90
hDeltaE,FC2C,2207,111
ER4m,ER2_c,2202,220
PFR_b,PFR_a,2199,269
hDeltaA,PFR_a,2195,91
Delta7,PFNv,2195,194
Delta7,PFNp_b,2188,637
ER3w_b,ER3w_c,2186,108
ER1_b,PEN_a(PEN1),2174,258
ER1_a,ER1_b,2143,143
ER3d_c,EPG,2139,407
ER2_a,EL,2069,216
PFNa,FC1D,2057,331
FC2C,PFL2,2013,149
ER3d_a,ER3d_c,2012,63
ER3d_a,ER3d_a,2007,42
ER3d_e,ER3d_a,1997,49
EPG,PFNd,1979,134
PFNp_a,PFNp_a,1970,1138
ER3d_e,EPG,1954,322
ER3d_a,ER3d_e,1947,49
PFNp_a,PFL3,1946,254
ER3a_d,ER3a_a,1944,75
hDeltaI,PFL2,1942,67
ER3d_a,EPG,1930,318
ER6,EPG,1925,149
PEN_b(PEN2),ER4m,1897,219
ER3d_d,EPG,1799,480
ER4m,ER3w_a,1761,77
PFNp_c,PFNm_a,1744,422
ER3d_c,ER3d_d,1732,99
PFR_b,PFR_b,1722,119
Delta7,PFNp_c,1721,260
hDeltaG,FC2B,1711,74
PFNp_c,hDeltaJ,1705,207
ER1_b,EL,1655,234
PFNm_a,PFNm_b,1644,306
Delta7,PFNp_a,1635,342
ER4d,ER2_c,1629,424
ER4m,ER2_a,1595,132
PFNp_b,FC2A,1595,419
PFNd,hDeltaA,1587,117
PFNp_e,PFNp_c,1586,437
PEN_b(PEN2),ER2_c,1579,321
hDeltaC,hDeltaF,1578,83
ER3p_b,EPG,1568,181
ER3w_a,ER3w_a,1565,42
hDeltaM,PFL2,1555,27
ER1_c,EPG,1552,184
ER3a_b,ER3a_a,1536,90
ER2_a,ER2_d,1534,60
ER3a_a,ER3a_d,1521,75
PFNp_a,PFNp_c,1494,679
EL,EL,1493,194
PFNm_a,PFNp_b,1479,836
ER3d_c,ER3d_e,1466,63
PEN_b(PEN2),hDeltaK,1462,174
hDeltaG,FC2C,1460,106
hDeltaH,PFL3,1448,57
hDeltaA,PFL2,1447,47
Delta7,PFGs,1443,181
Delta7,PFR_b,1429,178
PFNm_b,PFNp_b,1420,792
ER3d_b,EL,1413,331
ER1_a,EL,1407,198
PFNm_a,PFNm_a,1403,231
PEN_a(PEN1),ER1_b,1389,254
PFNp_b,PFNm_a,1389,827
hDeltaA,hDeltaI,1388,87
EL,ER2_c,1377,343
hDeltaD,FC2C,1372,90
PFNa,hDeltaJ,1368,318
EL,ER3w_b,1361,317
EPG,ER2_a,1357,487
FC1D,PFL1,1349,109
ER2_d,ER2_a,1328,60
PFNm_b,PFNm_a,1320,302
PFR_b,PFGs,1310,82
PFNa,hDeltaC,1303,224
ER2_c,ER2_d,1265,100
PFR_b,hDeltaH,1261,67
FC3_a,PFR_a,1261,111
ER3w_a,ER3w_c,1258,42
FC2B,PFL2,1230,89
ER3d_e,ER3d_c,1228,63
ER3p_b,ER3p_b,1219,12
FC3_b,PFR_a,1211,132
ER3w_a,ER3w_b,1209,117
EPG,PFL3,1182,113
PFNp_b,PFNm_b,1180,748
Delta7,PEN_a(PEN1),1178,180
PFNa,FC3_c,1171,202
PEN_a(PEN1),ER1_a,1157,215
ER2_d,ER2_c,1150,100
hDeltaH,PFR_a,1148,55
ER3a_b,EL,1148,106
ER3a_d,ER3m,1143,88
ER3w_c,ER3w_c,1135,30
PFNp_a,PFNp_e,1134,512
PFNp_b,PFNp_a,1124,874
Delta7,PFR_a,1109,196
FC2A,PFL2,1090,60
PFNp_a,PFL2,1081,140
ER4m,ER2_b,1076,44
FC2B,hDeltaM,1073,104
ER1_a,PEN_a(PEN1),1073,208
Delta7,EPGt,1067,27
ER3a_b,ER3a_b,1062,30
PEN_b(PEN2),ER2_a,1062,210
EPG,PFL2,1036,71
hDeltaA,PFR_b,1034,56
EL,ER3p_b,1034,72
ER4m,ER2_d,1028,55
ER2_b,ER3w_a,1025,28
hDeltaB,hDeltaH,1010,50
ER3a_c,ER3a_b,1008,24
PFNd,hDeltaJ,1005,320
EPG,ER1_b,1003,451
Delta7,PFNm_b,1002,173
PEG,EPG,994,290
hDeltaC,FC2C,980,155
ER3p_a,EL,980,244
hDeltaF,hDeltaC,971,84
hDeltaM,FC2B,958,57
PFNp_e,PFNp_a,952,489
PFNp_e,PFNp_b,921,618
ER3d_d,ER3d_a,917,77
PFNa,FC3_b,909,237
PFNp_c,PFNm_b,908,303
ER6,EL,905,72
PFNp_a,PFNp_b,896,717
hDeltaB,hDeltaB,882,143
ER2_c,ER4m,871,216
EL,ER2_a,854,205
Delta7,PFNm_a,853,137
PFL3,PFL3,853,253
FC1E,PFL1,849,77
EL,ER3m,844,264
PFNp_b,FC2B,838,365
PFNm_a,PFNp_c,834,305
ER1_b,ER1_b,833,152
ER1_a,ER1_a,832,110
EPG,PFNa,816,169
PFNm_b,FC2C,814,184
PFR_b,hDeltaG,795,63
PFNa,FC1E,790,232
ER3a_c,EL,785,72
EL,ER3d_e,782,123
PFNv,hDeltaC,780,78
ER4d,PEN_b(PEN2),775,341
PFR_a,hDeltaJ,769,247
PFR_a,hDeltaB,763,179
FC3_a,hDeltaH,762,66
ER2_d,EL,758,90
hDeltaF,hDeltaL,756,41
Delta7,PFNp_e,750,133
PFNv,PFNa,749,128
PFNm_a,FC2C,749,161
PFNp_b,PFL3,746,249
FC3_b,hDeltaH,745,68
hDeltaB,hDeltaG,736,46
ER3w_a,ER2_b,731,28
ER3p_a,ER3w_b,730,205
PFNp_b,PFNp_e,728,514
hDeltaF,PFGs,726,38
PFNp_c,PFNp_a,719,473
ER3a_b,ER3a_d,718,30
EPG,PFGs,703,88
ER1_b,ER1_a,703,140
ER3a_c,ER3a_c,702,12
ER3w_a,EL,702,124
PEN_a(PEN1),ER4m,700,165
FC3_b,PFGs,695,75
ER3w_c,ER3w_a,693,42
ER4m,ER3w_c,691,65
ER2_a,ER4m,682,130
ER3d_b,ER3p_b,681,48
FC3_c,PFR_a,678,90
ER1_c,ER1_b,675,52
ER2_d,ER2_d,674,20
FC1A,PFL1,672,68
FC1D,FC1C_b,668,109
FC1A,FC1E,666,100
FC2C,hDeltaM,665,104
FC1B,hDeltaC,665,112
EL,ER3w_a,658,124
ER3a_c,EPG,656,151
FC1A,FC1D,649,121
EL,ER5,646,295
hDeltaE,PFGs,640,34
ER2_d,ER3w_a,635,35
EL,ER3d_a,627,125
PFR_a,hDeltaH,619,96
EL,ER3d_c,613,149
FC2C,FC2C,607,394
PFL2,PFL2,606,125
ER3w_b,EL,604,261
hDeltaL,FC2B,594,34
EPGt,Delta7,594,109
EPG,ER3w_a,593,248
ER2_a,ER2_b,591,48
EPG,ER3w_b,587,353
hDeltaJ,PFR_a,584,157
hDeltaG,PFL3,582,48
PFR_a,PFR_b,579,214
ER3p_b,EL,578,72
ER3d_a,ER3d_d,576,75
FC3_b,hDeltaJ,575,128
ER3a_b,ER3a_c,571,24
PFNp_c,hDeltaC,570,118
PEG,EL,569,133
FC1B,FC3_c,568,91
ER2_d,ER2_b,567,20
EL,ER3w_c,567,108
PFNp_c,FC2B,561,133
ER3p_b,ER3p_a,559,55
FC1C_b,PFL1,554,66
PFNa,FC3_a,553,143
PFNp_d,PFL3,552,115
hDeltaI,hDeltaI,548,87
FC3_a,hDeltaJ,544,110
FC3_b,PFR_b,543,80
PEG,PEG,543,114
EPG,PFL1,538,63
hDeltaE,hDeltaF,537,28
ER1_c,EL,537,71
FC3_a,PFR_b,535,69
FC1B,FC1C_b,531,100
FC1D,FC1E,531,153
PFNp_c,PFNp_e,527,275
ER3m,ER3a_d,526,81
PFNp_e,PFNp_e,522,205
ER3d_b,ER3d_c,519,127
EPG,ER1_a,519,295
ER2_b,EL,518,72
hDeltaM,hDeltaH,516,25
ER2_a,ER3w_a,512,71
EPG,ER2_d,511,192
FC1A,FC1C_b,510,75
FC1B,FC1E,508,130
ER3a_a,ER3a_b,507,88
PFNp_c,FC2C,503,188
EL,ER1_a,503,173
FC3_a,PFGs,502,67
hDeltaE,hDeltaE,498,24
hDeltaM,hDeltaM,493,20
FC1B,FC1D,491,142
FC2A,FC2A,491,157
PFNp_e,PFNp_d,489,197
PFL1,PFL1,481,83
EL,ER4m,479,170
FC3_c,hDeltaJ,474,110
ER3a_d,ER3a_d,473,20
hDeltaF,hDeltaF,468,22
PFNm_b,PFNp_c,465,228
ER3p_b,ER3d_b,460,45
PFNp_c,FC2A,457,113
PFNp_a,hDeltaI,456,96
ER3w_b,ER3w_a,456,98
FC1B,FC3_a,455,84
PFNv,Delta7,455,305
FC2A,hDeltaM,452,64
EL,ER3d_d,452,173
PFNp_e,PFL3,451,81
EPG,PFNv,450,69
ER3d_d,ER3d_e,440,70
hDeltaJ,hDeltaJ,440,233
ER3d_e,ER3m,434,79
EPG,PFNp_c,434,98
PEN_b(PEN2),ER4d,434,215
ER2_b,ER2_a,433,48
ER2_b,ER2_d,432,20
PFNp_a,PFNp_d,430,287
ER4m,ER4d,429,207
hDeltaH,PFL2,427,25
hDeltaB,PFNd,427,137
ER2_b,ER2_b,422,12
FC1F,hDeltaC,421,71
ER3m,ER3d_e,418,70
ER3w_a,ER2_d,416,35
EL,ER1_b,415,185
PFR_b,Delta7,414,246
hDeltaL,hDeltaL,413,32
PFNa,PFL1,411,125
ER3w_b,ER3p_a,410,182
hDeltaJ,hDeltaC,408,160
FC3_a,hDeltaG,400,57
EL,ER2_d,400,85
PFNp_e,PFNm_a,394,150
PFR_a,hDeltaI,394,136
PFNv,hDeltaJ,387,119
PFR_a,PFR_a,387,229
hDeltaM,FC2A,383,39
PFNp_b,FC2C,383,220
FC1A,FC1C_a,377,51
hDeltaK,hDeltaK,372,131
EPGt,PFNd,369,8
ER3a_a,EL,369,157
FC1F,FC1C_b,366,75
FC1F,FC3_a,365,63
ER2_d,ER4m,364,55
ER1_a,ER1_c,363,44
FC3_c,hDeltaG,362,53
hDeltaG,hDeltaG,361,20
ER3w_a,ER4m,357,74
hDeltaB,hDeltaL,356,44
hDeltaC,hDeltaC,355,120
hDeltaI,PFGs,352,54
FC1B,FC3_b,352,109
FC3_c,hDeltaH,351,49
ER2_b,ER3w_c,351,24
FC1D,FC1C_a,351,71
FC3_c,hDeltaC,342,89
EPGt,PEG,341,5
FC1A,FC3_c,339,59
PFR_a,FC2B,337,129
FC1B,FC1C_a,334,76
EPG,ER2_b,334,146
ER3a_d,EL,333,70
ER3w_c,EL,333,101
ER3m,EL,326,192
PEN_a(PEN1),ER1_c,325,75
FC1F,FC1E,322,87
ER3a_b,ER3m,321,88
hDeltaM,hDeltaK,320,44
PFNm_a,hDeltaC,319,64
PFNp_b,PFNp_d,319,257
ER3d_a,EL,314,114
FC1E,FC1D,313,136
PEN_b(PEN2),PEG,312,68
ER3d_e,ER3d_d,312,69
ER4d,ER4m,312,185
EL,ER2_b,311,70
ER3a_d,ER3a_b,309,30
ER3d_c,EL,307,129
FC1D,FC1D,305,148
FC1E,FC1C_b,304,118
PFNp_c,PFNp_d,302,167
ER3d_e,EL,301,109
ER1_c,ER1_a,298,43
PFNm_a,FC2B,297,69
hDeltaB,hDeltaC,297,70
PFNp_a,FC2A,296,105
PFR_a,PFL3,296,108
ER3w_a,ER2_a,295,64
ER2_b,ER4m,295,44
EL,ER3a_c,293,68
FC1A,FC1B,293,90
ER3p_a,ER3p_b,289,49
ER2_c,ER2_b,289,70
hDeltaJ,hDeltaH,286,61
hDeltaA,hDeltaA,284,33
EPG,PFNp_b,282,150
FC1C_a,PFL1,280,42
FC1F,FC3_c,278,56
ER2_a,ER4d,277,147
PFNp_b,PFL2,276,91
Delta7,PFNp_d,276,106
FC1F,FC3_b,274,69
ER5,ER3a_b,273,101
ER5,ER3a_a,272,139
ER3p_a,ER3m,270,129
PEN_b(PEN2),ER2_d,266,64
ER3d_c,ER3d_b,265,78
PFR_b,hDeltaA,265,61
ER3d_d,EL,264,140
EPG,ER3w_c,262,137
hDeltaD,hDeltaE,261,27
hDeltaB,hDeltaM,261,31
EL,ER3a_b,258,84
PFNv,PFNd,258,108
