type,neurons
Delta7,42
EL,18
EPG,46
EPGt,4
ER1_a,11
ER1_b,13
ER1_c,4
ER2_a,12
ER2_b,4
ER2_c,20
ER2_d,5
ER3a_a,15
ER3a_b,6
ER3a_c,4
ER3a_d,5
ER3d_a,7
ER3d_b,20
ER3d_c,9
ER3d_d,11
ER3d_e,7
ER3m,18
ER3p_a,14
ER3p_b,4
ER3w_a,7
ER3w_b,18
ER3w_c,6
ER4d,26
ER4m,11
ER5,21
ER6,4
FC,3
FC1A,17
FC1B,22
FC1C_a,12
FC1C_b,17
FC1D,25
FC1E,22
FC1F,15
FC2A,18
FC2B,27
FC2C,47
FC3_a,17
FC3_b,20
FC3_c,15
PEG,18
PEN_a(PEN1),20
PEN_b(PEN2),22
PFGs,18
PFL1,14
PFL2,12
PFL3,24
PFNa,58
PFNd,40
PFNm_a,21
PFNm_b,26
PFNp_a,64
PFNp_b,136
PFNp_c,40
PFNp_d,28
PFNp_e,23
PFNv,20
PFR_a,28
PFR_b,16
hDeltaA,12
hDeltaB,19
hDeltaC,20
hDeltaD,8
hDeltaE,8
hDeltaF,8
hDeltaG,8
hDeltaH,8
hDeltaI,17
hDeltaJ,31
hDeltaK,31
hDeltaL,11
hDeltaM,8
