type,n,nt,sign,total_in,self_syn,self_share,self_off0,self_off180,self_broad,vel_total,vel_share,vel_hDeltaB,vel_PFNd,vel_PFNv,vel_PFNa,vel_peak_conc,head_total,read_total,read_goal,read_steer,read_inv,dopa_total,dopa_top,ext_share,recip_partner,recip_w,recip_roundtrip_offset
FC,3,acetylcholine,1,1752,5,0.003,0.0,0.2,0.8,38,0.022,5,0,3,30,0.8,0,13,3,6,4,30,FB2A:12;FB1H:10;FB4M:4,0.0,FC1C_b,15,0
FC1A,17,acetylcholine,1,10899,151,0.014,0.15,0.05,0.81,2929,0.269,8,5,2,2914,1.0,0,178,56,32,90,359,FB2A:309;FB1H:26;FB1C:10,0.0,FC1B,256,0
FC1B,22,acetylcholine,1,14246,156,0.011,0.46,0.01,0.53,4190,0.294,10,6,23,4151,0.65,1,159,79,15,65,660,FB2A:561;FB1H:66;FB4M:22,0.0,FC1A,256,0
FC1C_a,12,acetylcholine,1,5954,100,0.017,0.05,0.13,0.82,34,0.006,4,2,2,26,0.69,0,48,30,4,14,100,FB2A:61;FB4M:19;FB1H:13,0.0,FC1C_b,130,0
FC1C_b,17,acetylcholine,1,8512,172,0.02,0.19,0.11,0.7,60,0.007,3,3,4,50,1.0,1,53,40,3,10,141,FB2A:93;FB1H:34;FB4M:10,0.0,FC1E,194,0
FC1D,25,acetylcholine,1,11476,305,0.027,0.34,0.03,0.63,2081,0.181,6,7,11,2057,0.73,3,232,133,28,71,309,FB2A:235;FB1H:48;FB4M:18,0.0,FC1E,313,0
FC1E,22,acetylcholine,1,9463,207,0.022,0.33,0.09,0.58,814,0.086,7,5,12,790,0.75,0,175,133,16,26,203,FB2A:146;FB1H:32;FB4M:20,0.0,FC1D,313,0
FC1F,15,acetylcholine,1,9625,53,0.006,0.42,0.0,0.58,2638,0.274,2,6,26,2604,0.69,0,106,42,18,46,396,FB2A:298;FB1H:64;FB4M:21,0.0,FC1A,149,0
FC2A,18,acetylcholine,1,32155,491,0.015,0.18,0.1,0.72,47,0.001,21,5,11,10,1.0,3,4896,640,3602,654,594,FB1H:347;FB1C:105;FB5H:74,0.0,hDeltaM,383,4
FC2B,27,acetylcholine,1,42364,253,0.006,0.27,0.1,0.63,84,0.002,52,9,15,8,0.88,5,5442,618,3708,1116,449,FB1H:213;FB5H:116;FB1C:58,0.0,hDeltaM,958,3
FC2C,47,acetylcholine,1,47523,607,0.013,0.36,0.06,0.57,169,0.004,73,37,27,32,0.77,17,6299,862,4713,724,279,FB5H:81;FB1C:67;FB1H:53,0.0,FC2B,201,0
FC3_a,17,acetylcholine,1,10351,51,0.005,0.63,0.0,0.37,629,0.061,9,14,53,553,0.59,8,328,195,51,82,284,FB1H:119;FB2A:71;FB4M:39,0.02,PFR_a,173,0
FC3_b,20,acetylcholine,1,10346,175,0.017,0.71,0.0,0.29,1016,0.098,13,18,76,909,0.72,5,371,185,36,150,329,FB1H:114;FB2A:99;FB5H:57,0.02,PFR_a,154,0
FC3_c,15,acetylcholine,1,9745,32,0.003,0.56,0.0,0.44,1246,0.128,27,15,33,1171,0.7,3,181,104,34,43,273,FB2A:144;FB1H:86;FB4M:26,0.0,FC1B,121,0
FR1,18,acetylcholine,1,28741,8694,0.302,0.03,0.14,0.84,3379,0.118,3168,28,6,177,0.83,17,22,21,0,1,367,FB4M:155;FB5H:93;FB1H:50,0.0,PFR_b,52,0
FR2,18,acetylcholine,1,5362,76,0.014,0.04,0.12,0.84,40,0.007,10,12,4,14,1.0,2,11,6,3,2,102,FB1H:52;FB2A:25;FB4M:24,0.0,FR1,9,2
FS1A_a,16,acetylcholine,1,8138,224,0.028,0.12,0.11,0.77,114,0.014,13,5,96,0,0.55,1,73,63,1,9,127,FB1H:61;FB4M:35;FB5H:14,0.0,FS1A_b,124,5
FS1A_b,13,acetylcholine,1,7593,123,0.016,0.19,0.15,0.66,29,0.004,9,2,12,6,1.0,0,86,71,6,9,76,FB1H:32;FB5H:24;FB4M:11,0.0,FS1A_c,134,3
FS1A_c,18,acetylcholine,1,9753,166,0.017,0.06,0.08,0.86,18,0.002,7,2,4,5,1.0,21,50,27,1,22,104,FB1H:44;FB5H:22;FB4M:20,0.02,FS1A_b,134,3
FS1B_a,13,acetylcholine,1,5953,55,0.009,0.09,0.13,0.78,16,0.003,6,2,5,3,1.0,0,67,53,13,1,79,FB5H:25;FB2A:23;FB1H:17,0.0,FS1A_c,60,0
FS1B_b,16,acetylcholine,1,5295,138,0.026,0.12,0.12,0.76,29,0.005,6,6,6,11,0.67,2,3,3,0,0,70,FB2A:20;FB1H:16;FB5H:16,0.0,FS4C,54,4
FS2,42,acetylcholine,1,28869,753,0.026,0.18,0.14,0.68,1557,0.054,1413,118,23,3,1.0,10,98,68,18,12,219,FB4M:94;FB1H:73;FB5H:33,0.0,hDeltaG,321,7
FS3_a,15,acetylcholine,1,6501,67,0.01,0.13,0.09,0.78,272,0.042,211,16,37,8,0.62,1,19,16,3,0,53,FB1C:22;FB1H:18;FB4M:9,0.0,hDeltaE,119,4
FS3_b,14,acetylcholine,1,4792,73,0.015,0.07,0.12,0.81,100,0.021,78,8,8,6,0.62,2,20,8,11,1,33,FB1C:11;FB4M:9;FB1H:7,0.0,FS3_a,32,6
FS3_c,14,acetylcholine,1,6109,41,0.007,0.24,0.0,0.76,247,0.04,185,27,33,2,1.0,4,18,13,5,0,49,FB1C:21;FB1H:12;FB4M:12,0.0,hDeltaE,82,5
FS3_d,31,acetylcholine,1,6629,132,0.02,0.08,0.08,0.84,221,0.033,194,13,5,9,1.0,3,10,7,3,0,39,FB4M:18;FB1H:8;FB1C:5,0.0,FS2,34,7
FS4A,57,acetylcholine,1,14093,706,0.05,0.07,0.14,0.79,864,0.061,849,5,5,5,0.6,23,20,11,7,2,112,FB4M:49;FB1H:17;FB4L:17,0.03,FS4B,116,7
FS4B,29,acetylcholine,1,5122,182,0.036,0.1,0.07,0.83,44,0.009,17,0,4,23,1.0,0,0,0,0,0,67,FB4M:18;FB2A:15;FB4L:14,0.03,FS4C,130,4
FS4C,28,acetylcholine,1,6647,235,0.035,0.06,0.13,0.8,111,0.017,12,6,12,81,0.83,3,1,1,0,0,100,FB4L:26;FB2A:23;FB1H:18,0.02,FS4B,130,4
PFGs,18,unclear,0,32900,107,0.003,0.33,0.01,0.66,3207,0.097,3125,42,39,1,1.0,2146,65,34,17,14,310,FB4M:193;FB4L:67;FB1H:38,0.0,hDeltaK,2846,0
PFL1,14,acetylcholine,1,15998,481,0.03,0.0,0.14,0.86,619,0.039,195,7,6,411,0.71,5270,92,9,74,9,208,FB2A:135;FB1H:35;FB4M:21,0.0,PFL3,31,0
PFL2,12,acetylcholine,1,31957,606,0.019,0.07,0.15,0.79,33,0.001,14,4,8,7,0.83,4305,656,4,642,10,339,FB1C:110;FB1H:88;FB5H:83,0.0,PFL3,36,0
PFL3,24,acetylcholine,1,60811,853,0.014,0.07,0.16,0.77,59,0.001,32,9,5,13,0.92,6799,980,28,889,63,888,FB1H:284;FB1C:249;FB5H:242,0.0,hDeltaA,47,4
PFNa,58,acetylcholine,1,38884,14566,0.375,0.14,0.14,0.72,15331,0.394,2,14,749,14566,0.79,8059,118,50,20,48,527,FB2A:420;FB1C:80;FB1H:21,0.0,PFNv,106,0
